,A,AlsR
ml_abx__dox__2,-0.7616883692,-1.3178825238
ml_abx__dox__3,-0.7008674897,-1.3771976693
ml_abx__glob__1,0.42898591100000005,0.2793664446
ml_abx__glob__2,-0.21556461840000002,0.2677047094
ml_abx__glob__3,0.7900898899000001,-0.11435578140000001
ml_abx__lvx__1,-0.5613845713,0.0635415357
ml_abx__lvx__2,-1.0379847731,-0.1793547311
ml_abx__lvx__3,-0.9530046820000001,-0.44653496200000004
ml_abx__mec__1,0.3736399628,0.2997733234
ml_abx__mec__2,-0.7477640361,0.0034201033
ml_abx__mec__3,-1.1585142812,-0.3946461036
ml_abx__mem__1,0.6145090046,0.3967403393
ml_abx__mem__2,-1.0346352537,0.0375698828
ml_abx__mem__3,-0.048839424000000006,-0.29675757880000003
ml_abx__nit__1,1.2528109529,-0.339862476
ml_abx__nit__2,0.9363204897,-0.7133458169
ml_abx__nit__3,1.3216137821,-0.9109945887
ml_abx__ntx__1,-3.1238488252,-0.229063231
ml_abx__ntx__2,-2.6271861999,-0.4787037569
ml_abx__nor__1,-1.1118480653,0.0738220773
ml_abx__nor__2,-1.5080957726,-0.0364455538
ml_abx__nor__3,-1.0581523069,-0.4629136513
ml_abx__pb__1,0.0584058246,0.4368252932
ml_abx__pb__2,-0.6026811281000001,0.45431310750000004
ml_abx__pb__3,0.4345830271,0.5821427938
ml_abx__tmp__1,-1.6505399206,-0.1277643363
ml_abx__tmp__2,-1.3944399855,-0.6684246961
ml_abx__tmp__3,-0.8678250139,-0.9471940275
mut_abx__del_mutS_000nor__1,-0.8772501816,-0.2753104047
mut_abx__del_mutS_000nor__2,0.0072393242,-0.1538418634
mut_abx__del_mutS_000nor__3,0.8700108574000001,0.4291522681
mut_abx__del_mutS_125nor__1,-1.2210645698,-0.1117878639
mut_abx__del_mutS_125nor__2,-1.7840110379,-0.4077286385
mut_abx__del_mutS_125nor__3,-2.0984149476,-0.54468142
mut_abx__del_mutS_250nor__1,-2.1509645232,-0.49333605420000004
mut_abx__del_mutS_250nor__2,-1.1249554471,-0.2850028958
mut_abx__del_mutS_250nor__3,-2.7049841017,-1.0018979621
mut_abx__del_mutS_375nor__1,-2.1783446689,-0.3417561673
mut_abx__del_mutS_375nor__2,-0.6508258813000001,-0.044388519200000004
mut_abx__del_mutS_375nor__3,-1.7605449556,-0.3417281655
mut_abx__del_mutS_500nor__1,-0.6568341076,0.1184890217
mut_abx__del_mutS_500nor__2,-0.6467462176000001,-0.15397879750000001
mut_abx__del_mutS_500nor__3,-0.5937265660000001,0.1940614723
mut_abx__del_mutS_625nor__1,1.0789661706,0.3715109956
mut_abx__del_mutS_625nor__2,0.5267037920000001,0.2849100392
mut_abx__del_mutS_625nor__3,0.36808556530000003,0.41097221910000004
mut_abx__del_mutS_750nor__1,0.16580697360000002,0.4120510832
mut_abx__del_mutS_750nor__2,0.1746472866,0.0891237793
mut_abx__del_mutS_750nor__3,-0.13837793310000002,0.20852350700000002
mut_abx__del_mutS_875nor__1,1.6996897556000001,0.09283395480000001
mut_abx__del_mutS_875nor__2,0.8082866276,0.1322156479
mut_abx__del_mutS_875nor__3,1.4345128775,0.1600668502
nit_yeaG__wt_Nminus__1,0.49440747370000004,0.5397399373
nit_yeaG__wt_Nminus__2,-0.49440747370000004,-0.5397399373
nit_yeaG__wt_Nplus__1,-0.1701251838,-0.1965107104
nit_yeaG__wt_Nplus__2,0.6294122917,-0.010626852
nit_yeaG__del_yeaG_Nminus_24h__1,-2.5703195535,-0.8374286008
nit_yeaG__del_yeaG_Nminus_24h__2,-1.4016221851,-0.2882250944
nit_yeaG__del_yeaG_Nminus_24h__3,0.06746342970000001,1.0877552953
nit_yeaG__del_yeaG_Nminus__1,0.6294649158,0.5967826494
nit_yeaG__del_yeaG_Nminus__2,-0.5147027193,-0.5905219780000001
nit_yeaG__del_yeaG_Nplus__1,-0.0001565293,-0.1945733943
nit_yeaG__del_yeaG_Nplus__2,0.3692486303,-0.5840882226
opex__amp__1,0.3179700214,0.3031406445
opex__amp__2,-0.1635892975,-0.14688778830000002
opex__amp__3,-0.9965598766,0.19295154320000002
opex__bak_amp__1,-0.5743732089,0.09709888800000001
opex__bak_amp__2,-1.1370552857,0.004776303
opex__bak_amp__3,-1.0876814032,0.2825275117
opex__bak_kan__1,-0.0384222184,0.29114346680000003
opex__bak_kan__2,-1.3305099063,0.052849296000000004
opex__bak_kan__3,-0.9435706667,0.09875856050000001
opex__bak_nor__1,0.0107592282,0.2769166524
opex__bak_nor__2,-0.46244488450000004,0.3801857897
opex__bak_nor__3,-0.10773194500000001,0.4902193412
opex__bak_rif__1,-1.1986053564,0.0437499297
opex__bak_rif__2,-0.2579800793,0.3501214192
opex__bak_rif__3,-0.3040013529,0.33016673020000004
opex__chx_amp__1,-0.8920136471000001,0.0245198816
opex__chx_amp__2,0.7671648217,-0.1035225755
opex__chx_amp__3,-0.6385510663,-0.0207899304
opex__chx_kan__1,-0.9976952627000001,0.0075059210000000005
opex__chx_kan__2,-0.7749407339000001,0.0383680545
opex__chx_kan__3,-0.4813580441,-0.2730349153
opex__chx_nor__1,-0.5521343651,0.0292921912
opex__chx_nor__2,-0.33681842910000004,0.155818867
opex__chx_nor__3,-0.3047731725,0.070297895
opex__chx_rif__1,-1.0206527369,0.2638187596
opex__chx_rif__2,-1.049620117,0.0401494383
opex__chx_rif__3,-0.5704404629000001,-0.3118610542
opex__ctrl__1,-0.6616269722,-0.23170691540000002
opex__ctrl__2,0.1318051686,-0.010891525400000001
opex__ctrl__3,0.5298218035,0.2425984408
opex__etoh_amp__1,-0.32176571130000003,0.0854182391
opex__etoh_amp__2,-0.9015970227000001,0.4363736682
opex__etoh_amp__3,-0.725909801,0.07868862110000001
opex__etoh_kan__1,-0.8448084569000001,-0.4300218053
opex__etoh_kan__2,-0.2168645505,-0.24807066860000002
opex__etoh_kan__3,-1.0789498374,0.2680895137
opex__etoh_nor__1,-1.3576970511,-0.1514441766
opex__etoh_nor__2,0.1946011024,-0.29295797030000004
opex__etoh_nor__3,0.1230134086,0.1522174068
opex__etoh_rif__1,-1.1035931671,-0.3686705428
opex__etoh_rif__2,-1.4430687868,-0.3232699633
opex__etoh_rif__3,0.21493888220000001,-0.1995040845
opex__glual_amp__1,-1.1520495527,0.2117864308
opex__glual_amp__2,-0.0550440872,0.1449560268
opex__glual_amp__3,-0.008003029200000001,0.3055188186
opex__glual_kan__1,-1.9163752611,-0.1712767875
opex__glual_kan__2,-1.24689844,0.15946486810000002
opex__glual_kan__3,-1.4711675656,-0.15412176930000002
opex__glual_nor__1,-1.3300144108,-0.0918202375
opex__glual_nor__2,-1.081116448,0.2165213798
opex__glual_nor__3,-1.7171259752,-0.2181383257
opex__glual_rif__1,-0.4038773359,0.10745940720000001
opex__glual_rif__2,-0.2199306966,-0.06707351710000001
opex__glual_rif__3,0.4905586588,0.1664289653
opex__h2o2_amp__1,-0.8435172973,0.3564910211
opex__h2o2_amp__2,-1.5562435696999999,0.1322554012
opex__h2o2_amp__3,-1.7285456392,-0.10836593530000001
opex__h2o2_kan__1,-0.7223848867,0.19979170540000002
opex__h2o2_kan__2,0.1781987721,0.1999079977
opex__h2o2_kan__3,0.9516828515,0.5793294461
opex__h2o2_nor__1,0.1906189339,0.40859624910000003
opex__h2o2_nor__2,-1.9281279106,0.3206479839
opex__h2o2_nor__3,1.4779842212,0.7161575494
opex__h2o2_rif__1,0.4798806957,-0.2098689968
opex__h2o2_rif__2,2.2352701533,0.2717002314
opex__h2o2_rif__3,1.5389313363000001,0.0810562819
opex__ippoh_amp__1,-1.9651239090000001,0.344462266
opex__ippoh_amp__2,-1.3570302332,0.0646039375
opex__ippoh_amp__3,-0.564305053,0.2214677293
opex__ippoh_kan__1,-1.4304667869,0.1488759318
opex__ippoh_kan__2,0.12034491950000001,0.4856142611
opex__ippoh_kan__3,-1.6141466657999999,0.2669371287
opex__ippoh_nor__1,-1.7047058323000002,0.21970149100000003
opex__ippoh_nor__2,-1.544063452,0.0433087838
opex__ippoh_nor__3,1.7399546945000002,0.8476352546
opex__ippoh_rif__1,-1.7818817759,-0.18655859160000002
opex__ippoh_rif__2,-1.7301830443,-0.47081476800000005
opex__ippoh_rif__3,-2.2387731559,-0.3703330148
opex__kan__1,0.1842318744,-0.1192135649
opex__kan__2,-0.5931435261,0.015324228
opex__kan__3,-0.4681661177,-0.08897701940000001
opex__nor__1,-1.007567798,0.1732710148
opex__nor__2,0.6774333898,0.3062460335
opex__nor__3,-0.2611474012,0.0488440484
opex__paa_amp__1,-0.3617072908,-0.088932672
opex__paa_amp__2,-0.3743757565,0.1043075898
opex__paa_amp__3,-0.8292561581000001,-0.026226629100000003
opex__paa_kan__1,0.0964839485,0.18524386310000002
opex__paa_kan__2,-0.7277390748,0.13886059250000002
opex__paa_kan__3,-0.2372024564,-0.2594628008
opex__paa_nor__1,-1.1577551615,0.25464658030000004
opex__paa_nor__2,-1.2303383533,-0.18292590290000002
opex__paa_nor__3,-0.9937534222000001,-0.0039336578
opex__paa_rif__1,-0.2392910869,-0.013766957600000001
opex__paa_rif__2,0.3852879356,0.1509085387
opex__paa_rif__3,-0.533168729,-0.2701150325
opex__phenol_amp__1,-1.3887304925000001,0.3738252185
opex__phenol_amp__2,-0.5068619571,0.0330006898
opex__phenol_amp__3,0.4229202187,0.37385488380000004
opex__phenol_kan__1,-0.19611685040000001,0.3685141222
opex__phenol_kan__2,-1.9755630317000001,0.12412570190000001
opex__phenol_kan__3,0.5207779655,0.23591033900000002
opex__phenol_nor__1,-0.38039962600000005,0.4420464055
opex__phenol_nor__2,-0.8924332021,0.2879057357
opex__phenol_nor__3,-0.23488769,0.2133125445
opex__phenol_rif__1,0.3933146884,-0.39454610570000004
opex__phenol_rif__2,0.1209573049,0.3691982694
opex__phenol_rif__3,-1.5345256481,-0.2083065408
opex__pvpi_amp__1,-1.0620813016,0.1198189625
opex__pvpi_amp__2,-1.0536549576,-0.08202827830000001
opex__pvpi_amp__3,-0.45064834610000004,-0.0755859603
opex__pvpi_kan__1,0.8786420384,0.2977012576
opex__pvpi_kan__2,-0.4519701773,0.19440622500000002
opex__pvpi_kan__3,-0.1789388341,0.0830251328
opex__pvpi_nor__1,-0.3356091514,0.5220711155000001
opex__pvpi_nor__2,-0.3376314642,0.3767609968
opex__pvpi_nor__3,-0.7523474314,0.3309964307
opex__pvpi_rif__1,0.0967815554,0.32503071980000003
opex__pvpi_rif__2,1.2998535344,0.2934767713
opex__pvpi_rif__3,0.5793177326,0.3723124995
opex__rif__1,1.2945444596,0.3715068371
opex__rif__2,1.4339508165,0.3948944252
opex__rif__3,0.4838443207,-0.0278100446
opex__naocl_amp__1,-0.18912317250000002,-0.1386646828
opex__naocl_amp__2,0.1336834713,0.15860941850000002
opex__naocl_amp__3,-1.0615558462,-0.3121301495
opex__naocl_kan__1,0.08779133600000001,0.0189526247
opex__naocl_kan__2,-1.3927742168,-0.16080902160000002
opex__naocl_kan__3,-0.3496690672,-0.3798271661
opex__naocl_nor__1,0.1859552056,-0.09260139390000001
opex__naocl_nor__2,0.0164529609,-0.07614139760000001
opex__naocl_nor__3,0.45720001870000004,-0.1775701368
opex__naocl_rif__1,0.2248345031,0.0718776814
opex__naocl_rif__2,0.9860190372000001,0.42614218870000004
opex__naocl_rif__3,0.3237607454,0.298963871
phage_lysogen__wt_ctrl__1,-0.034410417,-0.12656818350000001
phage_lysogen__wt_ctrl__2,0.041920229600000004,-0.0215590383
phage_lysogen__wt_ctrl__3,-0.0075098126000000005,0.14812722180000001
phage_lysogen__O104_H4__1,-0.6671271905,-0.3754479865
phage_lysogen__O104_H4__2,-0.6727995881000001,-0.082878423
phage_lysogen__O104_H4__3,0.331470704,0.132549982
phage_lysogen__O157_H7_PA8__1,-0.5584791116,-0.5267442973
phage_lysogen__O157_H7_PA8__2,-0.0997203135,-0.07896654
phage_lysogen__O157_H7_PA8__3,1.0754735965,0.0798176298
phage_resist__ygbE_oe__1,-1.1591618073,-0.5101647274000001
phage_resist__wt__1,-2.0302383631,-1.6288743941
phage_resist__wt__2,1.1958484737,0.5976990294
phage_resist__wt__3,0.47829442650000004,0.5230944683000001
phage_resist__wt__4,0.3560954629,0.5080808965
phage_resist__ygbE_oe__2,-0.4392593544,-0.5427960277
phage_resist__ygbE_oe__3,0.2209552861,-0.1082183583
phage_resist__ygbE_oe__4,-0.4714468352,-0.3956679844
phage_resist__yahA_oe__1,-1.4875826264,-0.1622360313
phage_resist__yahA_oe__2,-1.597529212,-0.1431308182
phage_resist__yahA_oe__3,-1.4295900862,-0.2197454235
phage_resist__yrfF_ko__1,0.0208617322,0.5974273219
phage_resist__yrfF_ko__2,2.7424224537,1.0376999557
phage_resist__yrfF_ko__3,-0.7035789196000001,0.338945055
pollution__wt_ctrl__1,-0.6273577765,-0.1126364487
pollution__wt_ctrl__2,0.3883190367,0.0384948961
pollution__wt_ctrl__3,0.2390387398,0.07414155260000001
pollution__wt_urban__1,-0.9181341855,0.1832455664
pollution__wt_urban__2,-0.9000762840000001,-0.128126075
pollution__wt_urban__3,-0.2636992546,0.3188793652
pollution__wt_diesel__1,-1.0311906346,0.1673792141
pollution__wt_diesel__2,0.1379838621,0.5304446042000001
pollution__wt_diesel__3,-0.6089289523,0.23109044620000002
pollution__evo_diesel__1,1.1184968585,0.1347740475
pollution__evo_diesel__2,3.2138787723,1.8734026574
pollution__evo_diesel__3,2.7068664611,2.0276583066
ppGpp__wt_relAtrunc_00m__1,0.203856268,-0.307984333
ppGpp__wt_relAtrunc_00m__2,0.41757014340000004,-0.0748339603
ppGpp__mut_delrelA_10m__1,-1.3559197308,0.3266497315
ppGpp__mut_delrelA_05m__1,-0.7648708581,-0.0068325343
ppGpp__mut_delrelA_10m__2,-1.0964964736,0.2213138926
ppGpp__mut_delrelA_10m__3,-1.1211380075,0.46200131320000004
ppGpp__mut_delrelA_00m__1,-0.9606626602,0.15575215280000002
ppGpp__mut_delrelA_00m__2,-0.8178382115,-0.1469894713
ppGpp__mut_delrelA_05m__2,-0.7995986976,0.015065387900000001
ppGpp__mut_delrelA_05m__3,-1.0629709117,-0.0306291588
ppGpp__mut_delrelA_00m__3,-1.4391502069,-0.0590652583
ppGpp__wt_delrelA_10m__1,0.4340187172,1.0604646196
ppGpp__wt_delrelA_05m__1,1.4729999606,1.0322119059000001
ppGpp__wt_delrelA_05m__2,1.6567165463,1.1428693151
ppGpp__wt_delrelA_10m__2,0.3229007044,0.9394421774
ppGpp__wt_delrelA_10m__3,0.3206741662,1.0323976456
ppGpp__wt_delrelA_00m__1,-0.0898080186,0.0274273695
ppGpp__wt_delrelA_00m__2,0.0931728497,0.042709600800000004
ppGpp__wt_delrelA_05m__3,1.5258765804,0.9274413786000001
ppGpp__wt_delrelA_00m__3,-0.0033648311,-0.07013697020000001
ppGpp__mut_relAtrunc_10m__1,-1.1931053424,-0.0273153345
ppGpp__mut_relAtrunc_05m__1,-0.6381273379,0.0452413179
ppGpp__mut_relAtrunc_05m__2,-0.522066609,-0.1903793516
ppGpp__wt_relAtrunc_10m__1,0.0651389329,-0.09406750430000001
ppGpp__wt_relAtrunc_10m__2,0.1208574474,0.0316913356
ppGpp__wt_relAtrunc_10m__3,0.248227462,-0.19370630900000002
ppGpp__mut_relAtrunc_00m__1,-0.6430427097,0.25491944440000003
ppGpp__wt_relAtrunc_00m__3,0.2736910522,0.1224626894
ppGpp__wt_relAtrunc_05m__1,-0.2711660376,-0.0834519118
ppGpp__wt_relAtrunc_05m__2,-0.00011246140000000001,-0.2522358454
ppGpp__wt_relAtrunc_05m__3,-0.0785849608,-0.26674229990000003
ppGpp__mut_relAtrunc_00m__2,-1.1930632357,-0.11248191040000001
ppGpp__mut_relAtrunc_00m__3,-0.2830993913,-0.0616933221
ppGpp__mut_relAtrunc_10m__2,-1.2573334594,-0.2175584526
ppGpp__mut_relAtrunc_05m__3,-0.6199138601,0.0617644949
ppGpp__mut_relAtrunc_10m__3,-1.31157134,-0.0594340171
pressure__high_pressure__1,-0.7373944003,-0.4023523741
pressure__high_pressure__2,-2.071736443,-0.2825004626
pressure__low_pressure__1,-0.3223873458,-0.012566651600000001
pressure__low_pressure__2,0.3223873458,0.012566651600000001
quantum_dots__ctrl__1,-0.1911239327,0.044701017100000004
quantum_dots__ctrl__2,0.1911239327,-0.044701017100000004
quantum_dots__cdte_light__1,0.1600855329,0.2611186524
quantum_dots__cdte_light__2,0.1604561468,-0.0013546846
quantum_dots__cdte_dark__1,-0.2004943729,0.25527867590000003
quantum_dots__cdte_dark__2,0.1522333714,0.27863004080000003
quantum_dots__cdse_light__1,0.1503413842,0.09426260930000001
quantum_dots__cdse_light__2,0.33693751800000005,0.13868821750000002
quantum_dots__cdse_dark__1,0.6859701752,0.4375610874
quantum_dots__cdse_dark__2,0.4069303691,0.4606840776
raman__wt__1,-0.8615530382000001,-0.35349488830000003
raman__del_cyaA__1,-1.7864058697,-0.4232928427
raman__del_cyaA_01mM__1,-1.7727026212,-0.5198062644
raman__del_cyaA_05mM__1,-1.9823403229,-0.6948963754
raman__del_cyaA_1mM__1,-1.9206992118000001,-0.5381331845
raman__wt__2,0.45920971,-0.0609966642
raman__del_cyaA__2,-1.6386203253,-0.4511898809
raman__del_cyaA_01mM__2,-1.6390081839000001,-0.5645354482
raman__del_cyaA_05mM__2,-1.7037379805000001,-0.3697718439
raman__del_cyaA_1mM__2,-1.842873905,-0.7944594727000001
raman__wt__3,0.4023433282,0.41449155260000003
raman__del_cyaA__3,-1.2120445109,-0.5575166984000001
raman__del_cyaA_01mM__3,-2.6151527268,-0.8866448840000001
raman__del_cyaA_05mM__3,-2.0054764666,-0.9075659587
raman__del_cyaA_1mM__3,-1.637445375,-0.44418460800000004
rand_barrel__mut_nanE__1,0.7765476145,0.4613861544
rand_barrel__mut_nanE__2,0.7143112736,0.3178463379
rand_barrel__mut_nanE__3,0.37756959640000004,0.3669257877
rand_barrel__mut_pdxJ_1__1,0.3350462323,0.2700427924
rand_barrel__mut_pdxJ_1__2,0.1452601074,-0.0096830638
rand_barrel__mut_pdxJ_1__3,0.3897602934,0.5038829861
rand_barrel__mut_pdxJ_2__1,0.5709408922,0.3290768582
rand_barrel__mut_pdxJ_2__2,1.0305841916,-0.1492457958
rand_barrel__mut_pdxJ_3__1,-0.1325867113,-0.1875878285
rand_barrel__mut_pdxJ_3__2,1.4741318354000001,-0.37015216900000003
rand_barrel__del_serB__1,1.2919668359,0.2200891612
rand_barrel__del_serB__2,-1.2919668359,-0.2200891612
rockhopper__CV104_pHDB3__1,-1.820716434,-1.5235675935000002
rockhopper__CV104_pHDB3__2,-2.1984079783,-0.8646500460000001
rockhopper__CV104_pHDB3__3,-2.2364383918,-1.2286328664
rockhopper__CV104_pLCV1__1,-2.1332643962,-0.9082062628
rockhopper__CV104_pLCV1__2,-2.3056155099,-1.0411684536
rockhopper__CV104_pLCV1__3,-2.41099379,-1.3622350920000001
rockhopper__wt_lb__1,-2.3929130615,-1.6989855728
rockhopper__wt_lb__2,-2.2343480787,-1.6602403396
rockhopper__wt_lb__3,-2.3278047716,-1.641384488
rockhopper__wt_lb_aMG__1,-2.2529976725,-1.591255955
rockhopper__wt_lb_aMG__2,-1.7499693006,-1.3673343821000001
rockhopper__wt_lb_aMG__3,-1.3967372158,-1.4947231419
rockhopper__del_sgrR_lb_aMG__1,-1.1131650343,-1.0183678427
rockhopper__del_sgrR_lb_aMG__2,-0.6253170889,-0.7386287906
rockhopper__del_sgrR_lb_aMG__3,-1.4849696772,-0.7154158424
rockhopper__del_sgrS_glyc_aMG__1,-2.1760189653,-0.33048807900000005
rockhopper__del_sgrS_glyc_aMG__2,-0.7308236546,-0.21713179640000002
rockhopper__del_sgrS_glyc_aMG__3,-4.0411537808,-0.3228873675
rockhopper__del_sgrS_glyc__1,-2.4048587298,-2.0741694224
rockhopper__del_sgrS_glyc__2,-2.7593642706,-2.5224342333000003
rockhopper__del_sgrS_glyc__3,-2.5713812860000003,-1.7091114855
rockhopper__wt_lb_aMG__4,-2.2108855124,-0.7506765016
rockhopper__wt_lb_aMG__5,-1.6243797941,-0.9137579275000001
rockhopper__wt_lb_aMG__6,-1.3463585361,-0.7603555448
rockhopper__wt_glyc_aMG__1,-2.2354779253,-0.5159178196
rockhopper__wt_glyc_aMG__2,-2.1050361186,-0.6769900239000001
rockhopper__wt_glyc_aMG__3,-3.6197307800000003,-0.9711732951000001
rockhopper__wt_glyc__1,-2.1542906,-1.4945817168
rockhopper__wt_glyc__2,-1.9952544653,-1.5200256950000002
rockhopper__wt_glyc__3,-2.3399350952,-2.0033876805
rockhopper__CV108_glyc_aMG__1,-2.3801759253,-1.4116269993000001
rockhopper__CV108_glyc_aMG__2,-3.3932270857,-1.1621136537
rockhopper__CV108_glyc_aMG__3,-2.6589079511,-0.5786602245
rockhopper__wt_glyc__4,0.8652462335000001,-0.7858709745
rockhopper__wt_glyc__5,-0.26984971020000004,-0.8742511888000001
rockhopper__wt_glyc__6,1.9961033194,0.6498263952000001
rockhopper__wt_glyc_aMG__4,-0.3368626677,0.0770450028
rockhopper__wt_glyc_aMG__5,-2.3288172894,-0.7950192045000001
rockhopper__wt_glyc_aMG__6,-2.1561392776,-0.419746608
rockhopper__wt_glyc__7,1.1851471301,1.2258205753
rockhopper__wt_glyc__8,-0.30099902570000003,1.3251129389
rockhopper__wt_glyc__9,1.3860290058,1.3407039009
rockhopper__wt_glyc__10,1.4034535611,1.0027338382
rockhopper__wt_glyc__11,0.28470606670000004,0.49196512750000004
rockhopper__wt_glyc__12,-0.060356420200000004,0.6419544796000001
rpoD__wt__1,-0.10551902490000001,-0.1662921128
rpoD__wt__2,0.5615863705,0.2170824597
rpoD__rpoD_mut__1,1.4722569725999999,1.134364958
rpoD__rpoD_mut__2,0.9665580237,0.6216436630000001
rpoD__rpoD_mut__3,3.7588596671000003,0.7228984309
rpoD__wt__3,-0.4560673456,-0.050790346900000005
rpoN_peptide__ctrl__1,-0.038047705700000004,0.102254467
rpoN_peptide__ctrl__2,0.0805320216,0.0951411094
rpoN_peptide__ctrl__3,-0.0424843159,-0.19739557630000001
rpoN_peptide__nminus__1,0.404842902,-0.12770848140000002
rpoN_peptide__nminus__2,0.2432631892,0.0361397008
rpoN_peptide__nminus__3,0.1205566878,-0.017882141100000002
rpoN_peptide__nplus__1,0.7979914622000001,1.8247886877
rpoN_peptide__nplus__2,0.7386425985,1.7746232669
rpoN_peptide__nplus__3,0.9529662982,1.6547214252
rpoN_peptide__s54_wt__1,-0.2617077062,0.1217848078
rpoN_peptide__s54_wt__2,-0.3999662036,0.0383219611
rpoN_peptide__s54_wt__3,-0.4232950438,0.1852427774
rsd__wt_ee__1,0.0099318154,0.0411091118
rsd__wt_ee__2,-0.0099318154,-0.0411091118
rsd__del_rsd_ee__1,0.5055164782,0.163198156
rsd__del_rsd_ee__2,-0.0933150648,0.08522260670000001
rsd__del_ssrS_ee__1,0.6275948876,1.0207187148
rsd__del_ssrS_ee__2,0.418676686,0.8362918182
rsd__del_rsd_ssrS_ee__1,-1.0279909776,0.42775363450000004
rsd__del_rsd_ssrS_ee__2,-0.8569416283,0.3704748393
rsd__del_rpoS_ee__1,1.6657558041,1.0396913278
rsd__del_rpoS_ee__2,1.8814961276000002,1.1700110219
rsd__wt_me__1,-0.554554538,-0.6472623126
rsd__wt_me__2,-0.056029452800000004,-0.6354856084
rsd__del_rpoS_me__1,0.29354092060000003,-0.3463405336
rsd__del_rpoS_me__2,0.8493562432,-0.16599728760000002
rsd__wt_ts__1,-0.18125211830000001,-0.8550664219
rsd__wt_ts__2,-0.9758238763,-0.8491463655
rsd__del_rsd_ssrS_ts__1,-0.4201937297,-0.5490699207
rsd__del_rsd_ssrS_ts__2,-0.960649846,-0.6359696445
rsd__del_rpoS_ts__1,1.5993099955,-0.2674196465
rsd__del_rpoS_ts__2,1.4976908973,-0.3011744102
rsd__wt_s__1,-0.38825798100000003,-0.1298013723
rsd__wt_s__2,-0.4998299499,-0.3258743898
rsd__del_rsd_s__1,-0.4961046502,-0.3095251493
rsd__del_rsd_s__2,-0.47312969520000003,-0.4588521669
rsd__del_rsd_ssrS_s__1,0.6667269718000001,-0.3043178258
rsd__del_rsd_ssrS_s__2,0.8454221649,-0.3166744989
rsd__del_rsd_ls__1,-2.5514219411,-0.6986351242000001
rsd__del_rsd_ls__2,-2.5035704602,-0.6385849001
rsd__del_ssrS_ls__1,-0.7297285495,-0.5975840825000001
rsd__del_ssrS_ls__2,-1.5600467733999999,-0.8399779368
rsd__del_rsd_ssrS_ls__1,0.3298453237,-0.2117922523
rsd__del_rsd_ssrS_ls__2,0.0598785477,-0.43160528130000003
rsd__del_rpoS_ls__1,1.001346145,0.15889804570000002
rsd__del_rpoS_ls__2,0.483245631,-0.0524879474
sdsR_ryeA__wt_3h__1,1.3924154955999999,0.44392147540000004
sdsR_ryeA__wt_8h__1,-7.2603843252,-2.1658449845
sdsR_ryeA__wt_3h__2,-1.3924154955999999,-0.44392147540000004
sdsR_ryeA__wt_8h__2,-7.4121862125,-2.1311943176
starve_series__t00_growth1__1,0.0124929347,0.09910478460000001
starve_series__t00_growth1__2,0.4364263619,0.0260038476
starve_series__t00_growth1__3,-0.16373868390000001,0.150364345
starve_series__t00_growth1__4,-0.2851806127,-0.2754729772
starve_series__t01_starve__1,7.5860608267,1.2762114809
starve_series__t01_starve__2,8.1839211805,1.1784635648
starve_series__t02_starve__1,3.5113499959,0.6379549274
starve_series__t02_starve__2,3.7504156550000003,0.6150131768
starve_series__t03_starve__1,0.7137548087000001,0.2577908899
starve_series__t03_starve__2,0.5723430941000001,0.3873085224
starve_series__t04_starve__1,0.8576761391000001,0.28130973800000003
starve_series__t04_starve__2,0.8258244926,0.15888359
starve_series__t05_starve__1,-0.3740344189,-0.5574901563
starve_series__t05_starve__2,0.2544573626,-0.391481209
starve_series__t06_starve__1,-0.7279859705,-0.3991698302
starve_series__t06_starve__2,-0.0783361875,-0.3282644799
starve_series__t07_starve__1,-0.8029026319,-0.585208849
starve_series__t07_starve__2,-0.7251517651,-0.5408412339
starve_series__t08_starve__1,-0.3005734169,-0.616731955
starve_series__t08_starve__2,-0.1754408525,-0.6029017506000001
starve_series__t09_starve__1,-0.2341716946,-0.8074941576
starve_series__t09_starve__2,-0.3177696534,-0.9024691871
starve_series__t10_starve__1,-0.8088219798,-0.7530363535
starve_series__t10_starve__2,-0.45761380560000003,-0.7751058583
starve_series__t11_starve__1,-0.34584676740000003,-0.6817923461000001
starve_series__t11_starve__2,-0.17913350860000002,-0.40262211070000004
starve_series__t12_starve__1,-0.9143104632,-0.4730528559
starve_series__t12_starve__2,-0.6621653175000001,-0.5020124099000001
starve_series__t14_starve__1,-0.6546342993,-0.1305079713
starve_series__t14_starve__2,0.23073613850000002,-0.140249451
starve_series__t16_starve__1,-0.336973893,-0.0567662228
starve_series__t16_starve__2,-0.20837374420000002,0.19293846
starve_series__t17_starve__1,-0.2073542873,-0.0009077692000000001
starve_series__t17_starve__2,-0.6790399355,0.1483222498
starve_series__t18_starve__1,-0.7875176698,0.26996414690000003
starve_series__t18_starve__2,-0.27218522370000003,0.0413327145
starve_series__t20_starve__1,2.9065048486,-0.47451361200000003
starve_series__t20_starve__2,3.2561470787,-0.3929757209
starve_series__t21_growth2__1,1.4765313527,-0.9870059764
starve_series__t21_growth2__2,1.7971083825,-0.7566479818
starve_series__t22_growth2__1,0.8057253317,-0.1022481669
starve_series__t22_growth2__2,1.0484316925,-0.5718495899
starve_series__t23_growth2__1,0.0090316962,-0.2336499991
starve_series__t23_growth2__2,0.4069996547,-0.33794591620000003
starve_series__t25_growth2__1,0.7201343278,-0.3417205609
