,A,RpoE
SRX2391465,-0.0818390392,0.1125407207
SRX2391466,-0.1012116925,-0.093505847
SRX2391467,-0.0293436633,0.015161761800000001
SRX2391468,0.0373558824,0.1827289661
SRX2391469,0.14530860410000002,0.1135652402
SRX2391470,-0.2111952023,0.4791238839
SRX2391471,-1.5782585618,-0.2651702331
SRX2391472,-0.5378418175,0.3407007711
SRX2391473,-0.4757505556,-0.011796374
SRX2391474,-0.2147565494,-0.1766937604
SRX2391475,-1.0756531979,0.2086456493
SRX2391476,-1.5425987547000002,0.2638181227
SRX2391477,-0.8571695742000001,-0.2380506808
SRX2391478,-0.5085778437,0.1189677299
SRX2391479,-1.8557189604,0.34562085470000004
SRX2391480,0.18546741320000001,0.3579106489
SRX2391481,-0.3019022849,0.1478033446
SRX2391482,-0.15462775280000002,0.4100459791
SRX2391483,-0.0401576519,0.029933828200000002
SRX2391484,-0.7006782733,-0.1922190232
SRX2391485,-1.1983012668,-0.7572118757
SRX2391486,-0.5915218872,-0.338813317
SRX2391487,-1.42806625,-0.2830595531
SRX2391488,-0.9407733483,-0.2986646589
SRX2391489,-0.5796024647,-0.2648722237
SRX2391490,-0.6724896353,-0.1696566526
SRX2391491,-0.4424492595,-0.1522650151
SRX2391492,-0.0032883279,0.1695483442
SRX2391493,-0.2549496672,0.016236026100000002
SRX2391494,-0.8057560975,-0.053594361900000005
SRX2391495,0.0293436633,-0.015161761800000001
SRX2391496,0.0290647307,0.0043595106
SRX2391497,0.0791850478,0.0543378634
SRX2391498,-1.2799430002,0.0771112099
SRX2391499,-1.3153045631,-0.0646914079
SRX2391500,-0.8770496191,0.1849888321
SRX2391501,-0.8940751516000001,-0.1925669676
SRX2391502,-0.6993933915,-0.369486741
SRX2391503,-0.7528527638,0.3086427208
SRX2391505,-0.7374998908,0.16009161100000002
SRX2391506,-0.6579511209000001,-0.1827934872
SRX2391507,-0.7866933292,-0.3697035594
SRX2391508,0.21061102040000002,0.5975414653000001
SRX2391510,0.16266335780000002,0.33549315690000003
SRX2391512,-0.010990295300000001,0.3083721076
SRX2391513,-0.1498808081,0.0827894532
SRX2391514,-0.20447136670000002,-0.081828065
SRX5632598,11.6051837043,3.5809069109
SRX5632599,12.2861512967,3.5010990889
SRX5632600,0.3917706482,1.0355906812
SRX5632601,0.2547445277,1.1841341257
SRX5632602,5.2982691899,2.9386848784
SRX5632603,0.5710616962,1.146781694
SRX5632604,5.58613786,2.72435074
SRX5632605,5.750250199,2.8850555988
SRX5632606,10.9617172703,3.5299327111
SRX5632607,1.4544768778,0.6818471724
SRX5632608,0.3721355078,0.0750096551
SRX5632609,-0.46869399800000006,0.19062818010000002
SRX5632610,12.8893312109,3.248939842
SRX5632611,0.0965584902,-0.2656378353
SRX5632612,13.363818079,3.2792255269
SRX5632613,13.2942797913,3.8650195954
SRX5632614,0.7079318215,-0.1026626259
SRX5632615,-0.45607310230000003,0.45986821440000003
ERX2874132,-2.1641781866,-0.6960199032000001
ERX2874133,-1.1444929364,-0.6166253728000001
ERX2874134,-2.7760816449,-1.6988264642000002
ERX2874135,-2.448027225,-1.8249590761
ERX2874136,-3.6331608596000002,-1.8255165792999999
ERX2874137,-3.7876842977000003,-1.8184887402
ERX2874138,3.8833583984,0.09132302090000001
ERX2874139,4.9570886073,0.7618238513000001
ERX2874140,-0.66087322,-0.0668441053
ERX2874141,0.66087322,0.0668441053
ERX2874142,-0.8635191045,-0.5833873773
ERX2874143,-0.21750334640000002,-0.38670115250000003
ERX2874144,-0.6584080777,-0.6897476586
ERX2874145,-0.4231586905,-0.6621195839
ERX2874146,-2.5383197170000003,-0.8306672264
ERX2874147,-1.7881696310000001,-0.6972871645000001
SRX1300292,0.1844194036,0.1151635173
SRX1300293,-0.1844194036,-0.1151635173
SRX1300299,0.1078456903,0.053142853500000004
SRX1300300,1.7208465694,0.0170215644
SRX1300304,-0.5766344823,-1.1161662703
SRX1300305,0.21507843140000002,-0.23188489580000002
SRX1300306,-0.170488481,-0.2549722448
SRX1300310,-0.938117014,-1.1760487155
SRX1300311,-1.0401554224,-0.7075138529
SRX7291195,-0.1995892005,0.0630084434
SRX7291196,0.066433739,-0.026311201200000002
SRX7291197,0.3481903437,0.11749707670000001
SRX7291198,-0.0241799623,-0.084498049
SRX7291199,-0.3739870482,-0.1243064197
SRX7291200,0.39816701050000003,0.2088044687
SRX7291201,1.2455792016,0.3821179652
SRX7291202,1.2933113563,0.48097832370000004
SRX7291203,0.6050133878,0.1431734847
SRX7291204,0.7451727442,0.1471282937
SRX7291205,1.1776829957000001,0.34896386360000003
SRX7291206,0.5632108921,0.0866953999
SRX2436955,0.33683414370000003,0.21901524760000002
SRX2436956,-1.3043328672,-1.1044182081
SRX2436957,-0.9807331286000001,-1.1006236866
SRX2436958,-1.6175030703000002,-0.9015049689
SRX2436959,-0.8525802565,-0.5188252657
SRX2436960,-0.3311970382,-0.32509130070000003
SRX2436961,-1.3550574198,-0.5715422098
SRX2436962,0.0345183409,0.21990460790000002
SRX2436963,-0.9342360234,-0.6182397034
SRX2436964,2.6707811145,0.8490403179
