,A,CsrA,ModE,Fnr,CueR
abx_mega__tmp_dmso__6,-2.8170193559000003,-1.4579332814,0.1191090056,-0.4506960218,-0.5108299552
abx_mega__ceru_ethanol__3,-6.2678376406,-0.6422659221,0.572887943,1.4078249743,0.6349663929
abx_mega__teix_dmso__10,1.9960451801999999,-0.4308088218,0.2413393563,-0.024926434900000002,-0.2758470839
abx_mega__novo_h2o__7,-5.4656831051,-1.7237556982000002,-1.279298284,0.28331731590000003,-0.8823182358
abx_mega__fidax_dmso__3,0.0986451978,0.0200149877,0.2983603631,0.1656484172,-0.0399447068
abx_mega__h2o-1a__2,-0.06646035160000001,0.07495332660000001,-0.0073403223,0.0397621094,0.07727364860000001
abx_mega__dcs_h2o__2,-0.4347866563,-1.3915945664,0.1805855089,0.0295181061,-0.3293250129
abx_mega__cst_h2o__4,0.14167573590000002,-0.6590203822,0.1546295476,0.6765520599,-0.2718955755
abx_mega__van_h2o__2,0.6412302858000001,-1.7957614059,-0.0675901896,-0.1313395527,-0.10290891690000001
abx_mega__pen_h2o__4,-4.3744837199,-1.6548015847,0.2674816518,-1.1849000443,-0.3539264482
abx_mega__h2o-8b__2,-0.5940704943,-2.8229341407,0.7238910025,0.1917764428,-0.558348661
abx_mega__reta_dmso__3,-1.8596382303,-3.3822258418,-0.2974565288,-0.1254083886,-1.1166007396
abx_mega__dmso-7__2,-0.2587996677,-2.4545325971,0.4169401043,0.0413045956,-0.6039965432000001
abx_mega__rfp_h2o__2,-5.6005270725,-0.5939329097,-0.6787149323,-1.2130654544000001,0.2808487503
abx_mega__rif_dmso__6,-1.6435610809,0.2893874976,-0.8891469509000001,-1.1475451275,0.6245201865000001
abx_mega__sxt_dmso__4,-1.8352857445000001,-3.9127858644,0.3110710304,0.23990241980000002,-1.1600540168
abx_mega__cip_naoh__5,0.4312637606,-0.3669965799,0.2982337802,-0.042177127,0.3211444337
abx_mega__dmso-9__3,-2.398192129,-0.4169961062,0.195054197,-0.341587067,-0.0711783426
abx_mega__mem_dmso__5,-0.1699375918,-3.5224119362,-0.0358773718,0.1067217318,-0.6834650741
abx_mega__tric_h2o__2,-0.4979497003,-2.3655723948,1.5570650109000002,1.3284647298,-0.0544627015
abx_mega__phos_h2o__6,-0.8490791157,-0.058492526700000005,0.3603399329,0.13667702310000002,0.2368375039
abx_mega__h2o-7__2,-3.1009195917,-3.5040180556,0.2563986118,0.0400555976,-0.7554910396000001
abx_mega__h2o-10__3,3.698719443,-3.2866800793,0.4890009878,0.1579017148,-1.740912236
abx_mega__h2o-8a__2,-1.6200840193000001,-0.9683011242,0.2419019131,-0.2295144067,-0.13137537700000002
abx_mega__thio_dmso__3,-3.4316793819,-5.1045044827,-0.2087597689,-0.40999634500000004,-1.6639338917000002
