,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
135,pal__lyx_ale2,-4.724040831513411,0.6710827389636733,2.0,229.0,-5.198567986971866,230.0,-4.2495136760549554,,,,,,,,
136,pal__lyx_ale4,-5.257783864901905,0.9687452794690281,2.0,231.0,-5.942790221256911,232.0,-4.572777508546897,,,,,,,,
137,pal__5drib_ale10_f18,-5.251749467706154,0.6741839974161951,2.0,233.0,-5.728469544046599,234.0,-4.775029391365709,,,,,,,,
138,pal__5drib_ale10,-6.195497246029408,,1.0,235.0,-6.195497246029408,,,,,,,,,,
139,pal__arab_ale14_f9,-0.10783287833464146,0.4432404047108578,2.0,236.0,0.2055854175322758,237.0,-0.4212511742015587,,,,,,,,
140,pal__arab_ale14,-0.5380793889748411,0.7059691824480867,2.0,238.0,-0.038883792757076,239.0,-1.0372749851926062,,,,,,,,
141,pal__arab_ale16,-3.5773845095038777,0.07608197165737929,2.0,240.0,-3.5235864314189023,241.0,-3.6311825875888535,,,,,,,,
142,pal__tartr_ale26_f10,-5.092856528656037,0.05475092760496189,2.0,242.0,-5.13157128084176,243.0,-5.054141776470315,,,,,,,,
143,pal__tartr_ale26,-6.033461379341743,0.12264648021535346,2.0,244.0,-5.946737221492805,245.0,-6.1201855371906815,,,,,,,,
144,pal__tartr_ale28_f10,4.26948330634487,0.9105360466497813,2.0,246.0,4.91332951944572,247.0,3.6256370932440185,,,,,,,,
145,pal__tartr_ale28,-1.313790412420765,0.013315154645028644,2.0,248.0,-1.3043751762787177,249.0,-1.3232056485628123,,,,,,,,
146,efeU__delmenFentC_citr,2.002242440756346,0.04994887060003464,2.0,250.0,1.966923255642452,251.0,2.03756162587024,,,,,,,,
147,efeU__delmenFentC,3.6776945680820674,0.39107108007720864,2.0,252.0,3.954223580730609,253.0,3.401165555433526,,,,,,,,
148,efeU__menFentC_ale39,-4.781452358732073,0.1073129676389408,2.0,254.0,-4.705570631605325,255.0,-4.85733408585882,,,,,,,,
149,efeU__menFentC_ale29,-2.151565193354949,0.5629872316721707,2.0,256.0,-2.5496572825917827,257.0,-1.7534731041181153,,,,,,,,
150,efeU__menFentC_ale30,-4.541324333332444,0.5857838781930497,2.0,258.0,-4.127112580752384,259.0,-4.955536085912504,,,,,,,,
151,efeU__menFentCubiC_ale36,-0.5187150569721943,0.08346322881415887,2.0,260.0,-0.4596976418979782,261.0,-0.5777324720464105,,,,,,,,
152,efeU__menFentCubiC_ale37,1.4471730639482643,0.01799622790448199,2.0,262.0,1.459898318735302,263.0,1.4344478091612265,,,,,,,,
153,efeU__menFentCubiC_ale38,-4.4500830538923495,0.16781729589796338,2.0,264.0,-4.331418305962511,265.0,-4.568747801822189,,,,,,,,
154,misc2__salc_glc,2.669559401226657,0.4428071671005175,2.0,266.0,2.9826713518414376,267.0,2.3564474506118764,,,,,,,,
155,misc2__dbcn_glc,-3.139646735952385,0.6710077834236495,2.0,268.0,-3.614120889840202,269.0,-2.6651725820645686,,,,,,,,
156,misc2__tyr_glc,-3.744568139838659,0.018384563016650292,2.0,270.0,-3.757567989016884,271.0,-3.731568290660434,,,,,,,,
157,misc2__arg_cytd,-4.855513705825211,0.15353911367186304,2.0,272.0,-4.746945157370464,273.0,-4.964082254279957,,,,,,,,
158,misc2__delyheO_pyr,0.21059614162350343,0.3588261264485036,2.0,274.0,0.4643245289021419,275.0,-0.043132245655135,,,,,,,,
159,misc2__dellon_glc,-2.5016739954089653,0.5975242392748733,2.0,276.0,-2.9241874369235616,277.0,-2.0791605538943694,,,,,,,,
160,nquinone__delubiC,-3.694430556713498,0.3296874136191818,2.0,278.0,-3.9275547625554754,279.0,-3.4613063508715203,,,,,,,,
161,nquinone__ubiC_ale1,0.2154118644790911,0.1137443712362044,2.0,280.0,0.1349824482561709,281.0,0.2958412807020113,,,,,,,,
162,nquinone__ubiC_ale2,1.4732615413544474,0.17353478722359927,2.0,282.0,1.595969166172019,283.0,1.3505539165368756,,,,,,,,
163,nquinone__ubiC_ale3,-4.08208850876584,0.20610508216286574,2.0,284.0,-3.936350207531467,285.0,-4.227826810000213,,,,,,,,
164,nquinone__ubiC_ale4,1.2028685352644106,0.2364931582884056,2.0,286.0,1.0356426193344554,287.0,1.3700944511943658,,,,,,,,
165,nquinone__delpdhR,-3.750635673478542,0.4632363217744887,2.0,288.0,-4.078193217897197,289.0,-3.423078129059888,,,,,,,,
166,quinone__glu_ale4,-4.896257283994325,0.3771114510013611,2.0,290.0,-4.629599219728164,291.0,-5.162915348260486,,,,,,,,
167,quinone__delmenF,1.612287011560595,0.6106221479552416,2.0,292.0,2.0440620731224417,293.0,1.1805119499987484,,,,,,,,
168,quinone__menF_ale5,0.9693219827252739,0.08878508408333899,2.0,294.0,1.0321025177488208,295.0,0.9065414477017272,,,,,,,,
169,quinone__menF_ale6,1.6280948611523214,0.6127956402134013,2.0,296.0,2.061406813828769,297.0,1.1947829084758734,,,,,,,,
170,quinone__menF_ale7,2.033418791348603,0.23815404225944065,2.0,298.0,2.201819129597241,299.0,1.8650184530999647,,,,,,,,
171,quinone__menF_ale8,-3.23210572911227,0.726990254135689,2.0,300.0,-3.7461654676681473,301.0,-2.718045990556393,,,,,,,,
172,quinone__delmenFubiC,2.078167760011582,0.11371257860125318,2.0,302.0,1.997760824576428,303.0,2.158574695446737,,,,,,,,
173,quinone__menFubiC_ale1,0.8639331984214962,0.9666213634140576,2.0,304.0,0.1804286775116299,305.0,1.5474377193313624,,,,,,,,
174,quinone__menFubiC_ale2,2.8878787599824483,0.1912507627246224,2.0,306.0,2.752644048752768,307.0,3.023113471212128,,,,,,,,
175,quinone__menFubiC_ale3,-6.512111080360739,0.5337814663475854,2.0,308.0,-6.889551574886816,309.0,-6.134670585834663,,,,,,,,
176,quinone__menFubiC_ale4,-1.3874873806478054,0.05977960160047913,2.0,310.0,-1.3452168189794764,311.0,-1.4297579423161344,,,,,,,,
177,oxyR__wt_glc,-2.3153262215099097,0.026045988666119232,2.0,312.0,-2.3337435167184304,313.0,-2.2969089263013887,,,,,,,,
178,oxyR__wt_h2o2,-0.7556401067711978,0.1412179680244447,2.0,314.0,-0.8554962895866676,315.0,-0.6557839239557278,,,,,,,,
179,oxyR__glu_ale4,-2.621085673876994,0.029412674172933546,2.0,316.0,-2.641883575237506,317.0,-2.6002877725164826,,,,,,,,
180,oxyR__glu_ale4_h2o2,-1.3626785200588905,0.7777766093660975,2.0,318.0,-1.9126496347899384,319.0,-0.8127074053278426,,,,,,,,
181,oxyR__oxyR_ale17,-1.1340828893749928,0.20195102631864958,2.0,320.0,-1.276883829552493,321.0,-0.9912819491974928,,,,,,,,
182,oxyR__oxyR_ale17_h2o2,-2.7767092738666155,0.6359020925644455,2.0,322.0,-2.3270585920435805,323.0,-3.2263599556896505,,,,,,,,
183,oxyR__oxyR_ale18,-3.463820051270882,0.280621492629609,2.0,324.0,-3.662249411655969,325.0,-3.2653906908857944,,,,,,,,
184,oxyR__oxyR_ale18_h2o2,-0.22815466965245906,0.2309195618124263,2.0,326.0,-0.0648698815862663,327.0,-0.3914394577186518,,,,,,,,
185,oxyR__oxyR_ale19,-2.719660828400785,0.9502697755409993,2.0,328.0,-3.391603030642444,329.0,-2.047718626159126,,,,,,,,
186,oxyR__oxyR_ale19_h2o2,-3.482721894476053,0.21077039277627183,2.0,330.0,-3.333684720470599,331.0,-3.631759068481507,,,,,,,,
187,oxyR__oxyR_ale20,-0.2131541197531763,0.00028002366304793596,2.0,332.0,-0.2129561131221424,333.0,-0.2133521263842102,,,,,,,,
188,oxyR__oxyR_ale20_h2o2,-0.8695264708595023,0.15976308094720634,2.0,334.0,-0.9824960287805272,335.0,-0.7565569129384774,,,,,,,,
189,svns_pgi__BmePgi24_15,0.16538580476952905,0.05721605724403021,2.0,336.0,0.2058436668395405,337.0,0.1249279426995176,,,,,,,,
190,svns_pgi__BmePgi24_26,-2.36322137559326,0.2044665862140597,2.0,338.0,-2.2186416659552344,339.0,-2.5078010852312853,,,,,,,,
191,svns_pgi__BmePgi24_41,-5.692999207409125,0.9687897308455777,2.0,340.0,-6.378036995633924,341.0,-5.007961419184327,,,,,,,,
192,svns_pgi__BmePgi24_52,-2.234985427395131,0.6302603973927504,2.0,342.0,-1.789324026485389,343.0,-2.680646828304873,,,,,,,,
193,svns_pgi__PaePgi2_34,-3.257071300022152,0.050839518878673016,2.0,344.0,-3.293020268573523,345.0,-3.2211223314707804,,,,,,,,
194,svns_pgi__PaePgi2_63,-4.838962713287161,0.0418212282020945,2.0,346.0,-4.80939063922791,347.0,-4.868534787346412,,,,,,,,
195,svns_pgi__PaePgi24_54,-5.05626365733721,0.1754155015281552,2.0,348.0,-5.180301147993007,349.0,-4.932226166681412,,,,,,,,
196,svns_pgi__PaePgi24_90,-6.618421298342678,0.4048331956068548,2.0,350.0,-6.332161000479651,351.0,-6.904681596205705,,,,,,,,
197,abx_media__m9_ctrl,2.8666071638351553,0.5385933673948972,2.0,352.0,3.247450186222185,353.0,2.485764141448126,,,,,,,,
198,abx_media__rpmi_ctrl,-5.115423445738953,0.5870245631824823,2.0,354.0,-4.7003343963895485,355.0,-5.530512495088357,,,,,,,,
199,abx_media__camhb_ctrl,-4.194828249719425,0.11106602556139546,2.0,356.0,-4.116292709885523,357.0,-4.273363789553326,,,,,,,,
200,abx_media__m9_mero,1.8046649486561654,0.16823342462378824,2.0,358.0,1.6857059532824488,359.0,1.923623944029882,,,,,,,,
201,abx_media__rpmi_mero,-6.158378030048035,0.10468617779337604,2.0,360.0,-6.232402336262232,361.0,-6.084353723833838,,,,,,,,
202,abx_media__camhb_mero,-5.249639106486308,0.051709603658195685,2.0,362.0,-5.286203317885487,363.0,-5.2130748950871295,,,,,,,,
203,abx_media__m9_trisulf,3.044484865583888,0.10567578054734686,2.0,364.0,3.1192089266160985,365.0,2.9697608045516777,,,,,,,,
