,A,KdpE
oxyR__oxyR_ale18_h2o2__1,-0.27994290920000003,-0.500647103
oxyR__oxyR_ale18_h2o2__2,-0.7965676666,-0.394674707
oxyR__oxyR_ale19__1,-1.2029639902,-1.094522104
oxyR__oxyR_ale19__2,-0.9438870631,-0.805607712
oxyR__oxyR_ale19_h2o2__1,-1.1452503966,-0.780391385
oxyR__oxyR_ale19_h2o2__2,-1.026284073,-1.12956682
oxyR__oxyR_ale20__1,-0.18483156180000002,-0.9067173390000001
oxyR__oxyR_ale20__2,-0.0687964149,-0.7541504800000001
oxyR__oxyR_ale20_h2o2__1,-0.2557617703,-0.621573424
oxyR__oxyR_ale20_h2o2__2,-0.5596674356,-0.6831363490000001
svns_pgi__BmePgi24_15__1,-0.7468243484,-0.500460954
svns_pgi__BmePgi24_15__2,-0.4822621084,-0.683902656
svns_pgi__BmePgi24_26__1,-1.4263345203,-0.8886060560000001
svns_pgi__BmePgi24_26__2,-1.553033143,-0.691665755
svns_pgi__BmePgi24_41__1,0.1299769241,-0.26459545900000003
svns_pgi__BmePgi24_41__2,-0.9095027878,-0.5947289570000001
svns_pgi__BmePgi24_52__1,-1.5807825368000001,-0.749283645
svns_pgi__BmePgi24_52__2,-1.3321409585000001,-0.550123075
svns_pgi__PaePgi2_34__1,-1.1607703666,-0.32531702700000004
svns_pgi__PaePgi2_34__2,-1.4838119369,-0.34283516
svns_pgi__PaePgi2_63__1,-1.5665006154,-0.47503945900000005
svns_pgi__PaePgi2_63__2,-1.2834428098,-0.634541424
svns_pgi__PaePgi24_54__1,-0.35523390400000004,0.040154194000000004
svns_pgi__PaePgi24_54__2,-0.6961250182000001,-0.438282463
svns_pgi__PaePgi24_90__1,-0.6926103795,-0.263906803
svns_pgi__PaePgi24_90__2,-0.4595361766,-0.31815969600000005
abx_media__m9_ctrl__1,-0.7358256414000001,-1.398647105
abx_media__m9_ctrl__2,-1.1144298473,-1.3575257170000001
abx_media__rpmi_ctrl__1,-2.5978183242,-2.522533642
abx_media__rpmi_ctrl__2,-2.3873368558,-1.8437818140000002
abx_media__camhb_ctrl__1,-3.8105512329,-2.014670993
abx_media__camhb_ctrl__2,-3.185469942,-1.934892502
abx_media__m9_mero__1,-1.346724401,-2.117784572
abx_media__m9_mero__2,-0.9386011164,-1.929500472
abx_media__rpmi_mero__1,-2.4283959777,-2.203021359
abx_media__rpmi_mero__2,-2.435624251,-2.418081984
abx_media__camhb_mero__1,-3.4402518756,-3.237336141
abx_media__camhb_mero__2,-3.4168776027,-2.819152227
abx_media__m9_trisulf__1,-1.9569204947,-1.678108455
abx_media__m9_trisulf__2,-1.4830741787,-1.6200782230000002
abx_media__rpmi_trisulf__1,-0.0403842146,-1.723822995
abx_media__rpmi_trisulf__2,-0.2837593073,-1.80593718
abx_media__camhb_trisulf__1,-2.9243648745,-1.890873096
abx_media__camhb_trisulf__2,-2.7388453049,-2.243449169
abx_media__m9_cef__1,-1.2845475543,-1.369134538
abx_media__m9_cef__2,-1.3384984614,-1.958600665
abx_media__rpmi_cef__1,-0.6453499370000001,-1.6606929410000002
abx_media__rpmi_cef__2,-0.5898174508,-1.691017103
abx_media__camhb_cef__1,-3.1035786421,-2.159817219
abx_media__camhb_cef__2,-3.5332962219,-2.109099126
abx_media__m9_cipro__1,-0.3092446965,-1.143182926
abx_media__m9_cipro__2,-0.43234913220000004,-1.153256358
