,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
276,lrp__dellrp_rich_trans,-1.4943828068,0.04327943404622277,2.0,831.0,-1.4637796255,832.0,-1.5249859881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,lrp__dellrp_rich_stat,-0.8676304691000001,0.08855963606362216,2.0,833.0,-0.9302515883,834.0,-0.8050093499000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,mazF_circuit__t0,0.0,0.18882521077785439,2.0,835.0,0.133519587,840.0,-0.133519587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,mazF_circuit__t2,-0.38772610695,0.16736825766457733,2.0,836.0,-0.5060733369,841.0,-0.269378877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,mazF_circuit__t4,-0.6059373886,0.47729412583721487,2.0,837.0,-0.9434353016,842.0,-0.26843947560000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,mazF_circuit__t6,0.21373982215,0.22927598767749496,2.0,838.0,0.0516172165,843.0,0.3758624278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,mazF_circuit__t8,0.3016196533,0.357079542323591,2.0,839.0,0.5541130191,844.0,0.049126287500000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,mazF_ribo__emptyvec_mrna_5m,0.0,0.027684316458047878,2.0,845.0,0.0195757679,846.0,-0.0195757679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,mazF_ribo__mazF_mrna_5m,1.2643517281499999,0.03941007608955198,2.0,847.0,1.2364845961,848.0,1.2922188602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,mazF_ribo__emptyvec_total_5m,-1.5011594546000002,0.07390127656860054,2.0,849.0,-1.5534155484,850.0,-1.4489033608000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,mazF_ribo__mazF_total_60m,-0.6491698717000001,0.08074994275148423,2.0,851.0,-0.5920710396000001,852.0,-0.7062687038000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,mercury__ctrl_t00,-4.625929269271485e-18,0.07340082656311918,3.0,853.0,0.0387922216,863.0,0.0458653173,873.0,-0.08465753890000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,mercury__ctrl_t10,-0.5209072255,0.06287613645519187,3.0,854.0,-0.5353699824,864.0,-0.45205985860000003,874.0,-0.5752918355000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,mercury__ctrl_t30,-0.7799082471000002,0.07169346377190602,3.0,855.0,-0.8356104593,865.0,-0.8050939246000001,875.0,-0.6990203574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,mercury__ctrl_t60,-0.5336587558,0.12442157397396418,3.0,856.0,-0.43643809380000004,866.0,-0.6738760474000001,876.0,-0.4906621262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,mercury__hg_t10,-0.8839207462333333,0.35005175584822895,3.0,857.0,-0.8556758719,867.0,-1.2472392631,877.0,-0.5488471037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
