,A,RhaR,RhaS,ExuR,YdfH
ros_tale__7_103_0pq__4,3.5891888779,1.254649792,0.26337449100000004,1.3819195450000001,-0.06803643100000001
ros_tale__7_103_250pq__1,2.0793742207,1.113680679,0.448395327,0.6909381330000001,-0.404913815
ros_tale__7_103_250pq__2,2.1932691392,1.37615968,0.273537291,0.6108258040000001,-0.37773080400000003
ros_tale__7_103_750pq__1,2.4878295959,1.25048321,0.9494016590000001,0.9167323380000001,-0.467262828
ros_tale__7_103_750pq__2,2.0610771681,0.904086856,0.535359669,0.992190581,-0.589319041
ros_tale__9_77_0pq__1,-0.8565606277000001,0.356933728,0.228169174,1.517283984,0.34232542
ros_tale__9_77_0pq__2,-0.9839519969,0.7599451570000001,-0.196618928,1.4252361150000001,0.23988631600000002
ros_tale__9_77_250pq__1,-0.4395967059,0.857211197,0.42072463200000004,1.681773328,0.7867619690000001
ros_tale__9_77_250pq__2,0.1546507838,0.6301285240000001,-0.010127559000000001,2.073700775,0.860323516
ros_tale__9_77_750pq__1,-0.9354553922000001,0.38893993200000004,0.27051803,1.5217262580000002,0.208498857
ros_tale__9_77_750pq__2,-0.25778593310000003,0.422644458,-0.07743894600000001,1.511940972,0.381123894
ros_tale__11_83_0pq__1,0.9943849437000001,-0.154835049,-0.8797101340000001,1.44512297,0.9459360160000001
ros_tale__11_83_0pq__2,0.485119632,-0.06484888600000001,-1.090905166,1.441389198,0.986124953
ros_tale__11_83_250pq__1,0.9117660049,-0.10595926800000001,-0.802005268,1.388111414,0.6441059520000001
ros_tale__11_83_250pq__2,1.0450641972,-0.139626721,-1.047961555,1.470080808,0.380595332
ros_tale__11_83_750pq__1,0.2825056164,-0.081933691,-0.747298282,1.7945347850000002,0.550033532
ros_tale__11_83_750pq__2,1.0318482252,-0.402620851,-0.853415404,1.721279816,0.542730169
ros_tale__13_87_0pq__1,-0.9219092998,-0.37894751800000004,-1.309655126,0.7491069880000001,0.553598864
ros_tale__13_87_0pq__2,-1.4526539388000002,-0.341165451,-1.504207945,0.5272169010000001,0.673051713
ros_tale__13_87_250pq__1,0.1284839414,0.713175737,-0.38570313300000003,1.06431325,0.991784599
ros_tale__13_87_250pq__2,-0.2307507932,-0.24750628600000002,-0.886891779,1.229507739,0.909381995
ros_tale__13_87_750pq__1,0.1696764198,0.18831572300000002,-0.9043397870000001,1.547133066,0.9979779670000001
ros_tale__13_87_750pq__2,-0.1001425709,-0.162257907,-0.47812136200000005,1.4425225940000002,1.122957641
ros_tale__14_27_0pq__1,-0.60845304,0.8902885190000001,-0.510520626,0.44935645700000004,0.5914637070000001
ros_tale__14_27_0pq__2,-1.013313721,0.925980024,0.273605406,0.580067689,0.677924022
ros_tale__14_27_250pq__1,-0.6777017939000001,1.200875378,0.350579062,0.65253483,0.5789668480000001
ros_tale__14_27_250pq__2,0.37446054630000003,1.198666823,0.557549511,0.77608045,0.627830721
ros_tale__14_27_750pq__1,-1.2573503892,0.907646963,0.49068979900000004,1.717097984,0.07075687500000001
ros_tale__14_27_750pq__2,-0.8981897347000001,0.977831196,0.576503364,1.844512139,-0.086291592
ros_tale__16_28_250pq__1,0.9361183190000001,-0.379831373,-0.434156419,-0.28450303600000004,-0.49324043300000003
ros_tale__16_28_250pq__2,1.4231332636,0.395552909,-0.407241844,-0.346374463,-0.52815617
ros_tale__16_32_0pq__1,2.4959472731,0.010407032,-1.223568346,2.262846814,0.189209709
ros_tale__16_32_0pq__2,2.8380301868,0.358543349,-0.6656127420000001,2.358366192,0.563933243
ros_tale__16_32_0pq__3,1.6235653046,0.47208696200000005,0.02533262,-0.368380321,-0.853338025
ros_tale__16_32_0pq__4,1.0237824192,-0.10700614700000001,-0.21957299300000002,-0.34740291900000003,-0.69337351
ros_tale__16_32_250pq__1,0.9696097681,-0.512570494,0.48557038,-0.30321742300000004,-0.9008282400000001
ros_tale__16_32_250pq__2,1.0474690641,0.974600451,0.6952307120000001,-0.150915814,-0.809338168
ros_tale__16_32_750pq__1,2.515055545,0.33237666,-0.039208768000000005,1.797331744,0.14851386700000002
ros_tale__16_32_750pq__2,3.1787653667,-0.10304212800000001,-0.40471735400000003,2.154933938,-0.10623226100000001
ros_tale__17_104_0pq__1,-0.1405373636,0.26369275600000003,-1.231789058,1.161751148,0.29741231700000004
ros_tale__17_104_0pq__2,-0.0251377762,0.23325777,-1.057029041,1.115114398,0.208208471
ros_tale__17_104_250pq__1,-0.1099887669,0.472172362,-0.49442049400000004,0.34346134500000003,0.6527319070000001
ros_tale__17_104_250pq__2,0.201079473,-0.206219909,-0.507763637,0.853515353,0.626198107
ros_tale__17_104_250pq__3,-0.0362767847,0.46181309600000003,-0.752036837,0.746293584,0.6858589030000001
ros_tale__17_104_250pq__4,-3.1357807979,0.47024411800000004,-0.567178315,0.705940965,-0.11724812600000001
ros_tale__17_104_750pq__1,-0.3265772053,0.391053189,-0.741899486,0.720147078,0.617489544
ros_tale__17_104_750pq__2,0.0565933392,-0.178073632,-0.711984354,0.6328062590000001,0.609369487
ros_tale__18_24_250pq__1,-0.5311732662,0.049713858,0.36737102800000004,-0.089705199,-0.620575262
ros_tale__18_24_250pq__2,0.3391370973,0.153138368,-0.195373401,-0.193221301,-0.576272475
ros_tale__18_36_0pq__1,0.8351542379,-0.22229214300000003,-0.581076408,1.877842849,-0.020056574
ros_tale__18_36_0pq__2,1.6195147318,-0.230601568,-0.619676395,1.940679716,-0.062470039000000005
ros_tale__18_36_0pq__3,1.4793403851,0.5353634150000001,-0.24059876,-0.443742878,-1.178934851
ros_tale__18_36_0pq__4,1.6592240758,0.061964586,-0.745447685,-0.30023640100000004,-1.168683718
ros_tale__18_36_250pq__1,1.196783527,0.19349665300000002,0.9754291850000001,-0.15811835200000002,-0.9273426250000001
ros_tale__18_36_250pq__2,1.8107650389,-0.263756598,0.48163636200000004,-0.165750889,-1.089621264
ros_tale__18_36_750pq__1,0.1057454366,0.128913188,0.47241342300000005,1.669365026,-0.36010359000000003
ros_tale__18_36_750pq__2,0.1996908593,-0.195179186,-0.412113184,1.817112786,-0.382555808
ros_tale__19_91_0pq__1,0.0970977533,0.39613235,-0.6551897720000001,0.7993835850000001,0.34544276900000004
ros_tale__19_91_0pq__2,-0.2193405188,0.154065993,-1.054037939,0.8157264160000001,0.432180563
ros_tale__19_91_250pq__1,0.055898160200000005,0.308005176,-0.630472719,0.6543520810000001,0.480712709
ros_tale__19_91_250pq__2,-0.4535476158,0.37844262300000003,-0.526153284,0.46724434000000004,0.37109429400000005
ros_tale__19_91_750pq__1,-0.8431476376,0.020130931,-1.130927505,0.29952494700000004,0.483817376
ros_tale__19_91_750pq__2,-0.3568962229,-0.110439225,-0.5970071220000001,0.9469152430000001,0.619589617
ros_tale__19_91_750pq__3,0.3533086575,-0.39138400900000003,-0.619192249,0.70158894,0.5937236730000001
ros_tale__19_91_750pq__4,0.0494779967,-0.694365334,-0.57681838,0.979824652,-0.07951314300000001
ros_tale__21_97_0pq__1,0.8345470163,0.544447203,-0.5256085380000001,0.640086881,0.287602047
ros_tale__21_97_0pq__2,0.8218179142,0.900298597,-0.133630935,0.466013752,0.30320431200000003
ros_tale__21_97_250pq__1,2.3006607111,1.021882931,-0.010957852,1.044702912,0.525427781
ros_tale__21_97_250pq__2,1.4384413921,0.73934062,-0.40851605500000004,0.946564311,0.550623828
ros_tale__21_97_750pq__1,1.8496439993,1.5163752060000002,0.70250243,1.292390759,0.545636758
ros_tale__21_97_750pq__2,1.3241133245,0.9514503,0.597405642,0.956949318,0.494098054
ros_tale__25_111_0pq__1,2.1768633988,-0.03771447,-1.092454223,1.035551814,0.473452721
ros_tale__25_111_0pq__2,1.3635646478,-0.540422861,-0.23055593900000002,1.465605872,0.856085913
ros_tale__25_111_250pq__1,2.330474582,0.5170949930000001,-0.04569318,1.330853242,0.6432387770000001
ros_tale__25_111_250pq__2,1.055173392,0.68777166,-0.8543960530000001,1.657248191,0.713752617
ros_tale__25_111_750pq__1,1.3989812430000002,0.49323298600000004,-0.10905593200000001,1.6065922270000002,0.79529734
ros_tale__25_111_750pq__2,-1.0757661305,0.674701063,-0.492990272,1.190266227,0.9504654240000001
ros_tale__29_119_0pq__1,2.3391327289,-0.274686137,-0.89563317,1.938865983,0.9070434820000001
ros_tale__29_119_0pq__2,2.1702901196,0.17701187300000001,-1.139528054,1.8505884940000001,0.30634028700000004
ros_tale__29_119_250pq__1,2.4918466053,0.585030691,0.087436225,1.597257714,0.36494759
ros_tale__29_119_250pq__2,2.7738159479,0.58242558,-0.7688667530000001,1.367547389,0.37547204500000003
ros_tale__29_119_750pq__1,2.370940563,0.35030152000000003,-0.153498093,1.948970781,0.324667723
ros_tale__29_119_750pq__2,2.4792122209,0.50962822,-0.278516774,1.8385171599999999,0.150585527
ros_tale__ALE4_0pq__1,0.1183359581,0.057892504000000004,-0.381984311,-0.202425026,-0.413639725
ros_tale__ALE4_0pq__2,0.5475187083,0.17745021,-0.179105752,-0.146672098,-0.585059742
ros_tale__ALE4_250pq__1,-2.356066122,0.12313465700000001,0.28264156100000004,1.274735992,-0.838487799
ros_tale__ALE4_250pq__2,-2.3989683782,0.26916854700000004,0.107209357,1.260104876,-0.626769008
pcoli__atASMT_325G__1,1.2672445114,7.949322265,9.163278499,0.09747668300000001,-0.340561618
pcoli__atASMT_325G__2,1.0696966986,7.866601617,9.037863629,0.14542385100000002,-0.367954693
pcoli__bpTDC__1,3.8424750956000002,7.504459989,8.546367689,0.679471385,-0.818756562
pcoli__bpTDC__2,3.796066625,7.419690516,8.536286029,0.73335097,-1.197477135
pcoli__BRCA__1,3.9182726074,7.65923827,8.998697489,0.457247371,-0.349227153
pcoli__BRCA__2,3.6860242314000002,7.644126809,9.026640429,0.453762824,-0.188696833
pcoli__BRCActrl__1,4.1219519207,8.573133637,9.842880729,1.489356333,-0.7037602620000001
pcoli__BRCActrl__2,4.1729854705000005,8.75484379,9.942097869,1.634424894,-1.023054033
pcoli__BRCAswap__1,2.9628654653,6.873597567,7.761338749,0.616123473,-0.645624945
pcoli__BRCAswap__2,3.2328002907,6.757430161,7.59723957,0.6286130430000001,-0.7864105290000001
pcoli__btAANAT__1,2.3274142137,7.969101333,8.764396129,0.376394514,-0.518022257
pcoli__btAANAT__2,3.0556691748,7.670422124,8.778472889,0.596613359,-0.7169444810000001
pcoli__btASMT__1,2.920033149,7.933443389,8.775674239,0.5968473990000001,-0.48435256400000004
pcoli__btASMT__2,2.8321848831,7.822677847,8.813400669,0.533633043,-0.548954998
pcoli__CC1__1,1.9743784997,7.941071034,8.929384529,0.5497673150000001,-0.7298580050000001
pcoli__CC1__2,1.1673552707,7.615782649,8.471117009,0.6100004130000001,-0.590076426
pcoli__ccCOMT__1,0.5788150511,7.756806913,8.780356379,0.17672699800000002,-0.334970606
pcoli__ccCOMT__2,0.9391797933,7.673100659,8.646813509,0.073713811,-0.239366672
pcoli__ckDDC__1,1.1734917537,7.906696604,9.188409399,0.6382497220000001,-1.243596714
pcoli__ckDDC__2,0.7698287878000001,8.140488148,9.420534329,0.8350927610000001,-1.671312569
pcoli__CNTF_belt__1,0.8518859835,7.808253653,8.864595259,0.503660415,-0.45511775
pcoli__CNTF_belt__2,0.9484683218000001,7.590360422,8.473719289,0.668334388,-0.487357013
pcoli__cobPNMT__1,1.0648053379,8.133345616,9.391536049,0.23569241,-0.646737313
pcoli__cobPNMT__2,1.1275092844,8.108309216,9.400791249,0.148748025,-0.58465489
pcoli__cvPhhB__1,0.390632535,8.040865869,9.228937189,0.129100099,-0.169998544
pcoli__cvPhhB__2,1.1192753548,8.117226195,9.636401849,0.473108258,-0.38176458500000005
pcoli__ggAANAT__1,1.0271939418,7.690620433,8.721866099,0.331217888,-0.39966557700000005
pcoli__ggAANAT__2,1.4884850467000001,7.773785242,8.827657909,0.24499146400000002,-0.37090837800000004
pcoli__ggTPH__1,2.9924537756,7.678998479,8.891524739,0.33096342,-0.47068605100000005
pcoli__ggTPH__2,2.5073940845,7.979352052,9.172661829,0.372586853,-0.45413740700000005
pcoli__hsAANAT__1,3.2900857543,5.426004524,5.933433031,1.130877496,-1.182950944
pcoli__hsAANAT__2,1.7968765505,5.697713074,6.387788936,0.8305280730000001,-0.811206233
pcoli__hsASMT__1,3.9815199621,7.2790358,8.422024359,0.214285953,-0.703459955
pcoli__hsASMT__2,4.3818757301,7.452187293,8.601419639,0.30662694300000004,-0.709673583
pcoli__hsPNMT_mb__1,0.19400679210000002,7.446846728,8.529513479,-0.011706320000000001,-0.620400445
pcoli__hsPNMT_mb__2,0.009417342700000001,7.409709089,8.466306779,0.007167139,-0.5610401850000001
pcoli__hsTPH__1,2.2814120851,7.506705381,8.628766649,0.131785691,-0.501916688
pcoli__hsTPH__2,2.5760107355,7.669259642,9.248884099,0.5039576640000001,-0.46730849500000005
pcoli__hsTPH_E2K__1,3.9229991244,7.411725107,8.550904589,1.225497988,-0.9794596090000001
pcoli__hsTPH_E2K__2,3.4364028985,7.3522399400000005,8.556127149,1.243664172,-1.599865711
pcoli__hsTPH_E2K_N91I_P99C__1,2.6093502841,7.514542412,8.547156889,0.383644635,-0.355192924
pcoli__hsTPH_E2K_N91I_P99C__2,3.1753253623,7.471530668,8.610911679,0.313984582,-0.557554944
pcoli__hsTPH_N158trunc__1,5.6842978866,8.232496739,9.463355439,1.392456276,-1.525340993
pcoli__hsTPH_N158trunc__2,5.1345459511,8.406694104,9.530123479,1.398923564,-1.633156042
pcoli__hsTPH_N174trunc__1,3.1024718011,7.419107298,8.464857889,0.500891058,-0.772260801
pcoli__hsTPH_N174trunc__2,4.295222621,8.044504155,9.437325599,1.296911594,-0.93773899
pcoli__hsTPH_Ntermtrunc__1,11.4228282595,8.515408185,9.549339969,1.454043478,-1.339041332
pcoli__hsTPH_Ntermtrunc__2,9.0574429812,7.225107996,8.230608709,0.822160035,-0.945333551
pcoli__hsTPH1__1,3.2027845889,7.683851894,8.818701749,0.675380979,-0.6233838150000001
pcoli__hsTPH1__2,2.7574192836,7.600415384,8.715851489,0.55906078,-0.7094100280000001
pcoli__MBP__1,1.2210280844999999,7.840536515,9.036104949,0.019421205,-0.49294257900000005
pcoli__MBP__2,2.4081524309,8.318317795,9.576290999,1.018764587,-0.6970723430000001
pcoli__msCOMT__1,8.9618332398,7.72003239,8.836310169,0.618061127,-0.367268252
pcoli__msCOMT__2,8.8334673882,7.5872987510000005,8.747682389,0.578778254,-0.30992425100000004
pcoli__ocAANAT__1,1.2210113899000001,7.636665905,8.705645389,0.309002936,-0.502555446
pcoli__ocAANAT__2,1.299318463,7.68732932,8.705866349,0.25466039500000004,-0.27808284
pcoli__osTDC_K374H__1,1.7652735436,7.422799103,8.321704259,0.676598168,-0.6394657610000001
pcoli__osTDC_K374H__2,1.1045147677,7.057371955,7.970486489,0.5736271270000001,-0.942031912
pcoli__osTDC_K374L__1,9.3050263202,7.80519058,8.981791219,0.611561401,-0.24367751
pcoli__osTDC_K374L__2,9.8875780253,7.6452225810000005,8.899807049,0.797085833,-0.51154482
pcoli__osTDC_K374Q__1,2.7315435185,6.9469232850000004,7.965070859,0.470105101,-0.851312837
pcoli__osTDC_K374Q__2,2.917521796,6.984960675,7.942288609,0.47258871,-0.7798193360000001
pcoli__osTDC_L360V__1,2.2841400843,7.136983548,8.423099069,0.238127258,-0.557796631
pcoli__osTDC_L360V__2,2.3465498577,7.307545592,8.585459179,0.50935249,-1.00039758
pcoli__pmTPH__1,7.7297903602,8.348187302,9.353092349,0.40566745400000004,-0.293019162
pcoli__pmTPH__2,8.9072761319,8.492078193,9.847896429,0.5657196170000001,-0.9386802780000001
pcoli__RFC__1,0.9603628921,7.028834423,8.212055779,0.040503664,-0.42677544
pcoli__RFC__2,0.6543639481,6.931826292,8.078149719,-0.012819329,-0.416127725
pcoli__RFCctrl__1,1.6981311215,5.062958275,5.20558397,0.322168699,-1.012599641
pcoli__RFCctrl__2,1.9457730247,4.834985003,5.074527377,0.461431782,-0.9094828680000001
pcoli__RFCnopause__1,2.4043145048,5.918269238,7.081795098,0.75047191,-0.8796908280000001
pcoli__RFCnopause__2,3.1331167834,5.907734765,7.129460133,1.040569027,-1.534353668
pcoli__RFCpluspause__1,4.9354757424999995,7.683011218,8.783544149,1.09961873,-1.502351062
pcoli__RFCpluspause__2,5.301366646,8.2536909,9.194758849,1.181968322,-1.929082602
pcoli__rnCOMT_sol__1,4.1444260331,5.287533028,5.731794072,0.952650113,-0.98509252
pcoli__rnCOMT_sol__2,4.0200349482,5.177033116,5.608027766,0.850462428,-1.037642058
pcoli__rnPNMT__1,9.9887835458,7.895582486,9.085450269,0.6132489250000001,-0.48942099200000005
pcoli__rnPNMT__2,10.6112871506,8.067210776,9.104373579,0.699943461,-0.6236817410000001
pcoli__rnTDC__1,3.9036460304,7.745194702,8.916243979,0.428887532,-0.367865337
pcoli__rnTDC__2,3.1820235143,7.684601544,8.767797509,0.457020849,-0.272625921
pcoli__rnTDC_trunc__1,6.8439322531,8.407392416,9.708067409,0.790746932,-0.274933772
pcoli__rnTDC_trunc__2,7.2940562841,8.67641957,10.324971899,0.955846371,-0.234185249
pcoli__saCOMT_T2A__1,0.8763062191000001,7.946042976,9.276774769,0.15886572100000002,-0.47306295200000004
pcoli__saCOMT_T2A__2,0.8601795145000001,7.923858203,9.198893839,0.201242114,-0.32101115900000005
pcoli__sfCOMT__1,1.7259582097,8.023325614,9.175811879,0.07919949400000001,-0.602474213
pcoli__sfCOMT__2,1.377731056,8.00267216,9.202697339,-0.034650001,-0.729134869
pcoli__sgAANAT_D63G__1,1.502890116,8.109572499,9.318528849,0.23563485,-0.568090665
pcoli__sgAANAT_D63G__2,0.6073683034,7.944123127,9.003406859,0.366518357,-0.519327914
pcoli__ssDDC__1,3.2305667046,7.242254289,8.256485079,0.35332728100000005,-0.444260994
pcoli__ssDDC__2,3.7693849976,7.338577952,8.426894009,0.6558653550000001,-0.6883079350000001
pcoli__TP53B__1,1.7215381229000002,7.932473911,9.055260539,0.322970754,-0.37114856900000004
pcoli__TP53B__2,1.6774202694,7.788218169,8.987050499,0.31880019800000003,-0.49746032900000003
pcoli__WT__1,1.6282338067,2.136722431,2.7389717300000003,1.149656874,-1.079568369
pcoli__WT__2,1.0164126483,1.450309126,0.718057527,1.108519993,-0.9408696430000001
cck__glu_ale4__1,-1.5651017208,0.624984314,-0.025394042000000002,-0.09020188900000001,-0.502773276
cck__glu_ale4__2,-1.2319975477,0.225359215,-0.28584729400000003,-0.16824565900000002,-0.6892322190000001
cck__cck_ale1__1,-0.7874896718000001,-0.045449263000000004,-1.085319201,-0.427599732,-0.7899052240000001
cck__cck_ale1__2,-0.9268064918000001,-0.37925542300000004,-0.9750683680000001,-0.49485131,-0.8148946180000001
cck__cck_ale2__1,-0.9055674625000001,0.060447273,-1.133830822,-0.270354252,-0.9635984340000001
cck__cck_ale2__2,-1.2503236016,0.072538289,-0.293770537,-0.334457777,-0.8169458220000001
cck_pgi__gmos_delpgi__1,3.4913076837,1.216578351,0.299748552,0.697120297,-0.16064425200000002
cck_pgi__gmos_delpgi__2,3.8694572571,1.328181497,0.14676508,0.427041846,-0.5991334140000001
cck_pgi__pgi_ale1__1,-0.9198676362,1.606318614,0.7568711450000001,-0.25348281300000003,-0.7008730390000001
cck_pgi__pgi_ale1__2,-1.1451091989,0.36933480500000004,-0.092262518,-0.25730289500000003,-0.7274937570000001
cck_pgi__pgi_ale2__2,-0.1110016196,0.7462217670000001,0.127347279,0.04417222,-0.661557236
cck_pgi__pgi_ale3__1,-0.6833836160000001,0.7351639830000001,0.11575773800000001,-0.277254624,-0.6187007010000001
cck_pgi__pgi_ale3__2,-0.2650362308,0.296411937,-0.107263668,-0.35810719999999996,-0.618668977
cck_pgi__pgi_ale4__1,-2.4481164268,-0.100644206,-0.10394760700000001,-0.189164622,-0.6542051750000001
cck_pgi__pgi_ale4__2,-1.9890951183,0.47069577100000004,-0.619607906,-0.41815189500000005,-1.076196901
cck_pgi__pgi_ale4__3,-1.3545851,0.33788228200000003,-0.46062674400000003,-0.261034473,-0.959863919
cck_pgi__pgi_ale5__1,-0.8376830377000001,0.429192667,0.28088224,0.05126555,-0.41344631
cck_pgi__pgi_ale5__2,-0.671151626,0.296910019,0.089551664,-0.10984596,-0.6764715640000001
cck_pgi__pgi_ale6__1,0.21345601020000002,0.342165954,0.047780088000000005,0.0010806890000000001,-0.561788034
cck_pgi__pgi_ale6__2,-0.3316559631,-0.15648889500000002,-0.078252546,-0.079794661,-0.6966427930000001
cck_pgi__pgi_ale7__1,0.7791627915,0.457973399,-0.0070782530000000005,0.072396735,-0.546716121
cck_pgi__pgi_ale7__2,0.7755363098,0.8081518940000001,-0.213634962,-0.017618803000000002,-0.757611804
cck_pgi__pgi_ale8__1,-0.9050731726000001,0.584060639,-0.776670233,0.040721668,-0.51600659
cck_pgi__pgi_ale8__2,-0.40958070090000004,0.333786521,-0.650241029,-0.17807477700000002,-0.8515052780000001
cck_sdh__gmos_delsdhCB__1,0.5789949355,1.320802797,-0.161187101,0.36496292700000005,-0.079583054
cck_sdh__gmos_delsdhCB__2,0.8737120794000001,0.981338263,-0.43002050900000005,0.9241292280000001,-0.280649594
cck_sdh__sdh_ale1__1,-1.8025611603,0.768721363,-0.33929816,-0.062650887,-0.598063824
cck_sdh__sdh_ale1__2,-2.7100982136000002,0.7948112340000001,-0.446330769,-0.25303720500000004,-0.605602816
cck_sdh__sdh_ale2__1,-2.3435170688999998,0.134050594,-0.11744133200000001,-0.33698525300000004,-0.59875044
cck_sdh__sdh_ale3__2,-2.0129849337,0.6218691590000001,-1.03662824,-0.236744855,-0.566810272
cck_sdh__sdh_ale3__1,-1.7795215489,0.500769553,-0.48921602700000005,-0.23248816400000002,-0.615111971
cck_sdh__sdh_ale3__3,-1.4274442468,0.008251306,-0.760291087,-0.133242661,-0.5924669330000001
cck_pts__gmos_delptsHIcrr__2,1.9516335628,1.489443352,-0.308102521,0.9548196910000001,-0.9465633040000001
cck_pts__gmos_delptsHIcrr__1,2.2246005817,1.223273735,-0.282878858,0.737942744,-0.622441965
cck_pts__pts_ale1__2,-1.6549109393,1.429133905,-0.263167026,-0.21731442,-0.594012659
cck_pts__pts_ale1__1,-2.3121152771,1.324615821,-0.611297348,-0.281734666,-0.742976551
cck_pts__pts_ale2__2,-0.5629136345,0.7292890310000001,-0.611973838,-0.6012283700000001,-0.940234263
cck_pts__pts_ale2__1,-0.6927875888,0.5961198870000001,-0.887940264,-0.7154668550000001,-1.058112695
cck_pts__pts_ale3__2,-2.5492218277000003,0.585464858,-0.51207123,-0.920067395,-1.433564373
cck_pts__pts_ale3__1,-2.3645334937999998,0.149860205,-0.575688736,-0.83261193,-1.308910019
cck_pts__pts_ale4__2,-0.2048327301,-0.124504551,-0.7256075390000001,-0.6929320290000001,-1.25463949
cck_pts__pts_ale4__1,0.0228685772,0.18710742400000002,0.24486402000000002,-0.55094145,-1.000152794
cck_gnd__gmos_delgnd__1,0.2044178651,1.088132795,-0.20491156100000002,0.15038858200000002,-0.30429242300000003
cck_gnd__gmos_delgnd__2,-0.9998237936000001,0.716790337,-0.263116687,0.10342216100000001,0.063389361
cck_gnd__gnd_ale1__1,-0.5762218402,0.054386073,-0.437853676,-0.416917384,-0.833011574
cck_gnd__gnd_ale1__2,-0.5523882008000001,0.237588918,-0.616002755,-0.382447197,-0.9731321890000001
cck_gnd__gnd_ale2__1,-1.7980041098,0.200818,-0.345911002,-0.53825592,-0.85166299
cck_gnd__gnd_ale2__2,-1.834594311,0.17455646800000002,-0.608117915,-0.522789642,-0.9272231320000001
cck_gnd__gnd_ale3__1,-1.0300237747,0.381642888,-0.415970575,-0.535486403,-0.801037077
cck_gnd__gnd_ale3__2,-0.9061011975000001,0.20313358,-0.528129768,-0.576963711,-1.037418602
cck_tpiA__gmos_deltpiA__1,4.4985653086,1.7560003260000001,0.733633784,0.496416363,-1.3789338020000002
cck_tpiA__gmos_deltpiA__2,2.6482609452,2.37780979,1.017535887,0.207034571,-1.5108342220000002
cck_tpiA__tpiA_ale1__1,-0.2922462031,0.6461978030000001,0.808332967,-0.317447341,-0.442674106
cck_tpiA__tpiA_ale1__2,-0.5076294784000001,0.51220839,0.450171496,-0.39950477500000003,-0.425064025
cck_tpiA__tpiA_ale2__1,0.7819459649,0.93993715,0.6266764530000001,-0.273676207,-0.59814428
cck_tpiA__tpiA_ale2__2,0.1616951004,0.965918075,-0.39080944300000003,-0.18192239600000001,-0.888837151
cck_tpiA__tpiA_ale3__1,-0.5978387751,0.8022792630000001,0.059096319,-0.132418859,-0.8793205620000001
cck_tpiA__tpiA_ale3__2,-0.1769022035,0.716798809,-0.134879935,0.042173839000000005,-0.808439631
cck_tpiA__tpiA_ale4__1,-0.41530065920000003,0.956320995,0.5210528160000001,-0.106184866,-0.6110589860000001
cck_tpiA__tpiA_ale4__2,-0.5690761454000001,0.869934674,-0.093969072,-0.056576945000000003,-0.5677768320000001
acid_tale__acid_ale1_pH7__1,1.0041731401,0.104032255,-0.31095937900000004,-0.29498696500000005,-0.634233872
acid_tale__acid_ale1_pH7__2,1.3062546017,0.16623426600000002,-0.46864990900000003,-0.25119013100000004,-0.7494785260000001
acid_tale__acid_ale1_pH5__1,-0.33616886100000004,0.9603829650000001,-0.39290824500000004,0.272870885,0.103402911
acid_tale__acid_ale1_pH5__2,-0.7206539961,1.525056689,-0.37161180800000004,0.25664521300000004,-0.0025503770000000004
acid_tale__acid_ale2_pH7__1,1.1347104517,0.43828478400000004,-0.08387921100000001,-0.265526321,-0.8641592640000001
acid_tale__acid_ale2_pH7__2,1.4136828484000001,0.07906355200000001,-0.27916455700000004,-0.22449111600000002,-0.90723798
acid_tale__acid_ale2_pH5__1,0.9069366395,-0.152782673,-0.357550013,-0.164175562,-0.43109129
acid_tale__acid_ale2_pH5__2,1.6538762539,0.08656239900000001,-0.45197449500000003,0.143333381,-1.16257416
acid_tale__low_Mg_ale_pH7__1,0.8296867391,0.669852321,0.307624824,0.191175114,-0.604374749
acid_tale__low_Mg_ale_pH7__2,0.7985514406,0.208618989,0.091175552,0.118933203,-0.68416513
acid_tale__low_Mg_ale_pH5__1,-0.3739980919,0.49647051400000003,0.050741261,0.19198600200000002,-0.13542341900000002
acid_tale__low_Mg_ale_pH5__2,-0.24356490360000002,0.076747219,-0.40386467600000003,0.066580868,-0.20328116000000002
acid_tale__MES_ale_pH7__1,1.5219284181,0.5260626070000001,-0.187510018,-0.34093390300000004,-0.848648186
acid_tale__MES_ale_pH7__2,1.5656167086,0.280207731,-0.149807706,-0.198328009,-0.746155636
acid_tale__MES_ale_pH5__1,-1.1622892731,0.33839332800000005,-0.22857616700000002,-0.411191425,-0.24687889300000002
acid_tale__MES_ale_pH5__2,-1.5349938068,0.550807677,0.20951791,-0.058477321000000006,-0.092003661
acid_tale__gmos_pH7__1,0.8743952610000001,0.12261843600000001,-0.43235158300000004,-0.27595194,-0.719799132
acid_tale__gmos_pH7__2,0.7990408272,0.32626446800000003,-0.685069848,-0.238824574,-0.712800145
acid_tale__gmos_pH5__1,-0.1194167336,0.766957882,-0.45338684,-0.08815336,-0.275160137
acid_tale__gmos_pH5__2,-0.3676901202,0.6400305270000001,0.439674691,-0.11880855300000001,-0.225660037
adnB__wt_adn__1,0.0300108289,0.65951181,-1.11490856,0.5679727050000001,0.167453652
adnB__wt_adn__2,1.3659447057,0.976187498,-0.982752508,-0.42265424300000004,0.53825814
adnB__delydhB_adn__1,0.143151248,0.502528591,-1.125468659,0.21001419200000002,-0.005764267
adnB__delydhB_adn__2,-0.5370843513,1.187819935,-1.459428896,0.6508107280000001,-0.030750646000000003
ytf2__wt_glc__1,-0.6577737138,-0.000237044,-0.235063393,0.39521436200000004,-0.28985471900000004
