,b4169
p1k_00354,-0.2776112029999993
p1k_00355,-0.19303999999999988
p1k_00356,-0.05222901899999943
p1k_00357,0.18958965300000047
p1k_00358,0.27540907100000034
p1k_00359,-0.027848831999999213
p1k_00360,0.3661300400000007
p1k_00361,-0.7042699279999995
p1k_00362,-0.7013224729999994
p1k_00363,-0.2372039129999992
p1k_00364,-0.001349326999998901
p1k_00365,-0.13568262600000036
p1k_00366,0.09197661700000026
p1k_00367,-0.6552160449999995
p1k_00368,-0.6576074379999994
p1k_00369,0.04532633200000191
p1k_00370,-0.1002827929999981
p1k_00371,0.13222225200000182
p1k_00372,-0.03638387999999981
p1k_00373,0.3958958820000005
p1k_00374,0.35687560200000057
p1k_00375,-0.037091761999999306
p1k_00376,-0.0443762560000005
p1k_00377,0.2729047410000005
p1k_00378,0.3111694210000007
p1k_00379,0.09574559400000028
p1k_00380,-0.050891553999999666
p1k_00381,0.3244837870000019
p1k_00382,0.3277605889999995
p1k_00383,0.07305688000000021
p1k_00384,0.461749534
p1k_00385,-0.30415218399999944
p1k_00386,-0.3070170869999993
p1k_00387,-0.4683157140000001
p1k_00388,-0.6893156619999994
p1k_00389,-0.4367117479999996
p1k_00390,-0.35324018599999985
p1k_00391,0.4986244860000006
p1k_00392,0.6387644770000005
p1k_00393,-0.3405385679999995
p1k_00394,-0.3592917910000004
p1k_00395,-0.3234405099999993
p1k_00396,-0.5425580919999993
p1k_00397,0.2171734530000009
p1k_00398,0.2710226899999988
p1k_00399,-0.5984419729999981
p1k_00400,-0.4394894689999989
p1k_00401,-0.7015640979999995
p1k_00402,-0.5331831709999992
p1k_00403,-0.04623950199999882
p1k_00404,0.1155842939999996
p1k_00405,-0.6244107400000001
p1k_00406,-0.5343509189999995
p1k_00407,-0.6499034419999994
p1k_00408,-0.6744136509999992
p1k_00409,0.3750801480000012
p1k_00410,0.24529982300000075
p1k_00411,-0.4177544159999993
p1k_00412,-0.5698951589999997
p1k_00413,-0.5213730410000004
p1k_00414,-0.5720187339999994
p1k_00415,0.6396131380000005
