,A,CsqR
ecoli_00485,3.116091618,-1.186703527
ecoli_00486,3.0595485125,-0.986338055
ecoli_00487,5.1000494299,1.205282076
ecoli_00488,5.2613457233,1.26717959
ecoli_00489,1.1486787445,0.305243052
ecoli_00490,1.0189019942,0.16275856
ecoli_00491,2.7092328489,1.257348365
ecoli_00492,2.8666827416,1.260396773
ecoli_00493,1.7510167703000001,0.762183264
ecoli_00494,1.8040200047,0.785527847
ecoli_00495,-0.037288072400000004,-1.289324466
ecoli_00496,-0.1640787089,-0.9869915520000001
ecoli_00497,0.6599409304,-0.8688063970000001
ecoli_00498,0.13668123940000002,-0.967297142
ecoli_00499,-0.9558972998,-0.947602283
ecoli_00500,0.0336178236,-1.077417648
ecoli_00501,2.1767805721,0.5860029520000001
ecoli_00502,2.9257326479,0.609590348
ecoli_00503,4.4151898488,1.688661255
ecoli_00504,4.5743330029,1.661232062
ecoli_00505,0.6175267929,-0.079933802
ecoli_00506,0.7921336136,-0.336382092
ecoli_00507,1.0347532466,-0.486735246
ecoli_00508,0.14213215710000002,-0.37838304300000003
ecoli_00509,0.9251721702000001,-0.389147309
ecoli_00510,0.6665698102000001,-0.305870028
ecoli_00511,2.5697083413,-1.096365288
ecoli_00512,2.3405315782000002,-1.034710774
ecoli_00513,0.6423824131,-0.9101147980000001
ecoli_00514,1.3715991453,-0.913303367
ecoli_00515,2.5795564358,0.44412209
ecoli_00516,2.8711558322,0.5027228420000001
ecoli_00517,1.2769193542,-0.76736159
ecoli_00518,0.7220616024000001,-0.47070444800000005
ecoli_00519,0.7865185733000001,-0.086930965
ecoli_00520,0.4243978431,-0.301080454
ecoli_00521,0.4684124779,-0.377494005
ecoli_00522,0.9061348112000001,-0.340962286
ecoli_00523,0.4025178965,-0.66519233
ecoli_00524,3.0754705827,0.6145544110000001
ecoli_00525,3.3048356793,0.704651236
ecoli_00526,3.2165523952,0.613253571
ecoli_00527,3.4533843423,0.868541199
ecoli_00528,1.1311299235,-1.286967491
ecoli_00529,0.38761258590000003,-1.197269539
ecoli_00530,0.7718813804,-1.142903285
ecoli_00531,0.6052378851,-1.862617416
ecoli_00532,2.0983568893,0.11327345600000001
ecoli_00533,2.3399378632,0.5438636490000001
ecoli_00534,2.2692361962,0.106006242
