,A,DsdC
ml_abx__ctrl__1,0.2101189542,0.0125202943
ml_abx__ctrl__2,-0.1135119219,0.1176216657
ml_abx__ctrl__3,0.7530852087000001,0.2658802263
ml_abx__ctrl__4,0.8577029303,0.1926930684
ml_abx__ctrl__5,-0.7324867249,-0.23564987540000001
ml_abx__ctrl__6,-0.9749084463000001,-0.35306537930000004
ml_abx__dox__1,-2.5858932170999998,-0.8755859204
ml_abx__dox__2,-2.193024129,-0.9111444750000001
ml_abx__dox__3,-3.437815895,-0.8776086453
ml_abx__glob__1,-0.0375420552,-0.1210595891
ml_abx__glob__2,1.5542140375,0.0800966041
ml_abx__glob__3,-0.39498270010000003,-0.5870862666000001
ml_abx__lvx__1,-1.2835021329,-1.0280127548
ml_abx__lvx__2,1.2629248356,-0.4047585335
ml_abx__lvx__3,-1.3747756775,-1.3989607306
ml_abx__mec__1,-0.1562963498,0.0843909452
ml_abx__mec__2,0.9078888195,0.1357786979
ml_abx__mec__3,-1.4221942942,-0.1318795731
ml_abx__mem__1,-0.20590766400000002,-0.0005306032
ml_abx__mem__2,1.1880044746,0.29650066270000003
ml_abx__mem__3,-0.44971672570000004,-0.5691707991
ml_abx__nit__1,-1.722258539,-0.7055154213
ml_abx__nit__2,-2.2611288278,-0.5366198646
ml_abx__nit__3,-2.8226038918,-0.9611465817
ml_abx__ntx__1,-1.4441086601,0.6956339811000001
ml_abx__ntx__2,-0.7068917297,1.0867786653
ml_abx__nor__1,-1.2301466586,-1.3026262354
ml_abx__nor__2,0.6214686613,-0.35497059880000004
ml_abx__nor__3,-2.4770359167000002,-1.367155608
ml_abx__pb__1,-1.4655294411,-0.2013046565
ml_abx__pb__2,0.9907859349,0.1685671846
ml_abx__pb__3,-0.5139614382000001,-0.00055511
ml_abx__tmp__1,-1.9126132221,-1.1049473595000001
ml_abx__tmp__2,-1.9340693972,-1.5468332402
ml_abx__tmp__3,-3.7312510588,-2.3523536866
mut_abx__del_mutS_000nor__1,-0.614617767,-0.9937763896
mut_abx__del_mutS_000nor__2,-0.1443867277,0.0744404243
mut_abx__del_mutS_000nor__3,0.7590044947,0.9193359652
mut_abx__del_mutS_125nor__1,-0.902258255,-0.9461363113000001
mut_abx__del_mutS_125nor__2,-1.347294853,-1.0495956192
mut_abx__del_mutS_125nor__3,-1.2798729329,-1.8780520254000002
mut_abx__del_mutS_250nor__1,-2.0134345443,-1.5823096266999999
mut_abx__del_mutS_250nor__2,-1.1233515633,-0.5753509183000001
mut_abx__del_mutS_250nor__3,-1.1420054712,-2.032376933
mut_abx__del_mutS_375nor__1,-1.3611163538,-1.9850808775000002
mut_abx__del_mutS_375nor__2,-0.3954094316,-0.5761942927
mut_abx__del_mutS_375nor__3,-1.5727462496,-1.8614467932
mut_abx__del_mutS_500nor__1,-1.2627451703,-1.7108782213
mut_abx__del_mutS_500nor__2,-1.0136476151,-1.9470597002
mut_abx__del_mutS_500nor__3,-1.9539250088000002,-1.7560572112
mut_abx__del_mutS_625nor__1,-1.4362293669000001,-0.9019157727
mut_abx__del_mutS_625nor__2,-1.0957214543,-1.5306900833000001
mut_abx__del_mutS_625nor__3,-0.5045598325,-1.5162571217
mut_abx__del_mutS_750nor__1,-0.30038890290000003,-1.7217186770000001
mut_abx__del_mutS_750nor__2,-0.5708174960000001,-1.1985081061
mut_abx__del_mutS_750nor__3,-0.5660644551,-1.2396602915
mut_abx__del_mutS_875nor__1,-0.18860598750000002,-1.1302131644
mut_abx__del_mutS_875nor__2,-0.0322625018,-1.7350016061
mut_abx__del_mutS_875nor__3,-0.4159082758,-1.0571826859
nit_yeaG__wt_Nminus__1,-0.8287517908,0.07737364890000001
nit_yeaG__wt_Nminus__2,0.8287517908,-0.07737364890000001
nit_yeaG__wt_Nplus__1,2.0331571307,-0.22330366270000002
nit_yeaG__wt_Nplus__2,0.7329321962,-1.2676928146
nit_yeaG__del_yeaG_Nminus_24h__1,2.1233483976,-0.8160583116
nit_yeaG__del_yeaG_Nminus_24h__2,1.7096386666,0.2366978243
nit_yeaG__del_yeaG_Nminus_24h__3,-2.2917575481,0.1212050063
nit_yeaG__del_yeaG_Nminus__1,-0.1588011956,0.0798530496
nit_yeaG__del_yeaG_Nminus__2,0.9901625415,-0.3570767094
nit_yeaG__del_yeaG_Nplus__1,1.7750642099,-0.34223499350000003
nit_yeaG__del_yeaG_Nplus__2,0.39923769600000003,-1.1561029399
opex__amp__1,0.3128554817,0.543397694
opex__amp__2,-0.0205866354,-0.3983517378
opex__amp__3,-0.1236512933,-0.1250240949
opex__bak_amp__1,-0.15995961620000002,0.1037822254
opex__bak_amp__2,-0.38340864490000004,-0.4339446381
opex__bak_amp__3,-0.7576164755,-0.1745539451
opex__bak_kan__1,-1.0371886581,-0.2705226431
opex__bak_kan__2,-0.279351314,-0.6717349751
opex__bak_kan__3,-0.3002338765,0.0903122819
opex__bak_nor__1,-0.4903578356,-0.0770483405
opex__bak_nor__2,0.0808295792,-0.1365865772
opex__bak_nor__3,-1.0194808071,-0.34042490200000003
opex__bak_rif__1,-0.0473819527,0.31497567
opex__bak_rif__2,-0.7340179719000001,0.49081690570000003
opex__bak_rif__3,0.6516501225,0.7495415866
opex__chx_amp__1,-0.4526107713,-0.4696366971
opex__chx_amp__2,0.0113744714,0.5467046457
opex__chx_amp__3,-0.4413177814,0.233275006
opex__chx_kan__1,-0.1037131039,-0.0674471318
opex__chx_kan__2,-0.5309831689,-0.1248214161
opex__chx_kan__3,-0.6081853013,-0.1934474886
opex__chx_nor__1,0.0781613828,-0.2531534432
opex__chx_nor__2,0.3021563701,-0.2851125101
opex__chx_nor__3,-0.1106750907,0.0121793738
opex__chx_rif__1,-0.11378203490000001,-0.07325429950000001
opex__chx_rif__2,0.111244568,0.37214179340000003
opex__chx_rif__3,-0.04092225,-0.053006493
opex__ctrl__1,-0.22297947440000002,-0.1538125431
opex__ctrl__2,0.058787650100000005,-0.0520208559
opex__ctrl__3,0.1641918243,0.205833399
opex__etoh_amp__1,-0.9740933688000001,0.34333997650000003
opex__etoh_amp__2,-0.8385634241000001,0.9932175561000001
opex__etoh_amp__3,-0.7376174237,0.35377072190000003
opex__etoh_kan__1,-1.5482410859,0.0047574672000000005
opex__etoh_kan__2,-1.0592014272,0.10908034100000001
opex__etoh_kan__3,-1.6122921669,0.0169318971
opex__etoh_nor__1,-1.5365366803,0.12866635070000002
opex__etoh_nor__2,-0.5868247021,0.7945708181000001
opex__etoh_nor__3,-0.5360435969,0.5074336552000001
opex__etoh_rif__1,-1.2674889861,0.3273320078
opex__etoh_rif__2,-0.2695555522,0.1972500731
opex__etoh_rif__3,0.1567625932,0.321586296
opex__glual_amp__1,-0.0688887774,0.0169191198
opex__glual_amp__2,0.17602053210000002,0.2480555592
opex__glual_amp__3,0.3125028704,-0.277399846
opex__glual_kan__1,-0.5090635297,-0.4301651743
opex__glual_kan__2,-0.7902794446,-0.3550860139
opex__glual_kan__3,-0.8799971808,-0.5339653204
opex__glual_nor__1,-0.5522185417000001,-0.1804019375
opex__glual_nor__2,-1.2566522745,-0.1060324243
opex__glual_nor__3,-0.5858471860000001,-0.14410273040000002
opex__glual_rif__1,0.1299363324,0.0021069120000000003
opex__glual_rif__2,-0.1162107044,-0.2437022201
opex__glual_rif__3,-0.3931251397,0.032968662600000004
opex__h2o2_amp__1,-0.0566414333,0.3438400797
opex__h2o2_amp__2,0.0255540873,0.44566171060000004
opex__h2o2_amp__3,-0.5278587770000001,0.2142981011
opex__h2o2_kan__1,-0.4545113147,0.37482014140000003
opex__h2o2_kan__2,0.1107243998,0.2607739443
opex__h2o2_kan__3,0.0105841838,1.1294507476
opex__h2o2_nor__1,-0.41703616920000003,0.0882130158
opex__h2o2_nor__2,-1.2150329984,-0.017131843100000002
opex__h2o2_nor__3,-0.0753654242,1.0354956986
opex__h2o2_rif__1,0.6281824105,0.43985212090000003
opex__h2o2_rif__2,0.7058878887000001,1.1015145118
opex__h2o2_rif__3,0.49002167700000004,0.4657558365
opex__ippoh_amp__1,-1.2292793512,0.0093318751
opex__ippoh_amp__2,-0.2239287234,0.36874947
opex__ippoh_amp__3,-1.2418632528,0.38739963600000005
opex__ippoh_kan__1,-1.2744162154,0.2999656081
opex__ippoh_kan__2,-0.5046075926,0.7275366778
opex__ippoh_kan__3,-1.3571512978,-0.0583592702
opex__ippoh_nor__1,-0.6932243002,0.39708682
opex__ippoh_nor__2,-0.7352184322,0.620766652
opex__ippoh_nor__3,-0.4367237352,1.3063738362000001
opex__ippoh_rif__1,-1.78607608,-0.3298459831
opex__ippoh_rif__2,-0.5127895713,0.12447518040000001
opex__ippoh_rif__3,-0.033091373800000004,-0.4128213525
opex__kan__1,-0.2502348605,0.28366868230000003
opex__kan__2,0.1408388623,0.1999683854
opex__kan__3,0.1616061454,-0.173397942
opex__nor__1,-0.501681131,-0.48482530220000003
opex__nor__2,0.030000999,-0.0527962619
opex__nor__3,-0.12698277560000001,-0.0165199915
opex__paa_amp__1,0.0966143458,0.0127178021
opex__paa_amp__2,-0.1482538396,0.0468232387
opex__paa_amp__3,-0.7184243141000001,0.1947858446
opex__paa_kan__1,-0.2800117197,0.1370991643
opex__paa_kan__2,0.1558562234,0.2129595948
opex__paa_kan__3,-0.24743716710000002,-0.0914243694
opex__paa_nor__1,0.15402673390000002,0.2288243472
opex__paa_nor__2,0.1069597894,0.3994235222
opex__paa_nor__3,-0.0303657695,0.20593939490000002
opex__paa_rif__1,-0.5394838425,0.251713279
opex__paa_rif__2,-0.4665069189,0.3986424778
opex__paa_rif__3,-0.5945678587000001,-0.13502062580000002
opex__phenol_amp__1,-0.6195743947,-0.10120590600000001
opex__phenol_amp__2,-1.3316229444,-0.35172863260000004
opex__phenol_amp__3,-0.078851114,0.2019047921
opex__phenol_kan__1,-1.3760746776000001,0.3802511751
opex__phenol_kan__2,-1.3339940684,0.1063612144
opex__phenol_kan__3,-0.96856083,-0.0411574165
opex__phenol_nor__1,0.10876318950000001,0.6879048132000001
opex__phenol_nor__2,-1.6011953939999999,-1.0039218121
opex__phenol_nor__3,0.0732812729,0.27368716190000003
opex__phenol_rif__1,-0.3776798326,-0.19324508140000002
opex__phenol_rif__2,-0.8837823111,0.46414322500000005
opex__phenol_rif__3,-0.9281300758000001,-0.7599179962
opex__pvpi_amp__1,0.053600762100000005,-0.0827304548
opex__pvpi_amp__2,0.032491378,0.5405259586
opex__pvpi_amp__3,0.7745801207,0.4753067641
opex__pvpi_kan__1,0.37454599720000004,0.9311090919
opex__pvpi_kan__2,0.5804653040000001,0.29637364790000004
opex__pvpi_kan__3,-0.10654209220000001,0.1125198969
opex__pvpi_nor__1,-1.1213919486,-0.3736738061
opex__pvpi_nor__2,-0.1500111522,0.3320976671
opex__pvpi_nor__3,-0.4699828874,-0.12320588730000001
opex__pvpi_rif__1,-0.5572118328,0.7769896277
opex__pvpi_rif__2,0.0964441236,0.3452450904
opex__pvpi_rif__3,0.5510170684,0.21608258530000002
opex__rif__1,-0.048918748000000005,0.706921996
opex__rif__2,0.6545464697000001,0.8165641651000001
opex__rif__3,0.47280086870000004,0.43042345670000004
opex__naocl_amp__1,0.47024548520000004,-0.0459969203
opex__naocl_amp__2,0.20555857360000002,0.2005272002
opex__naocl_amp__3,0.7964054078,-0.233953239
opex__naocl_kan__1,-0.43020274000000003,0.23277803300000002
opex__naocl_kan__2,-0.7127562983,0.4162349507
opex__naocl_kan__3,-0.5736581545,-0.3764236047
opex__naocl_nor__1,-0.4031159836,-0.4014561547
opex__naocl_nor__2,-0.568533413,-0.4015779841
opex__naocl_nor__3,-0.1805892636,-0.0918459092
opex__naocl_rif__1,-0.1889625667,0.4638052013
opex__naocl_rif__2,0.3508616331,0.4768311865
opex__naocl_rif__3,-1.3385181899,0.0123942092
phage_lysogen__wt_ctrl__1,0.3690652358,-0.132347363
phage_lysogen__wt_ctrl__2,0.07590097130000001,-0.054538407100000005
phage_lysogen__wt_ctrl__3,-0.4449662072,0.1868857702
phage_lysogen__O104_H4__1,-3.8304410897,-0.9065688313
phage_lysogen__O104_H4__2,-4.421669487,-0.6111431933
phage_lysogen__O104_H4__3,-5.4566133238,-0.5763791376
phage_lysogen__O157_H7_PA8__1,-3.6320391425,-0.9947567842
phage_lysogen__O157_H7_PA8__2,-5.7412482286,-0.7042816305
phage_lysogen__O157_H7_PA8__3,-5.0877780402,-0.5134432258
phage_resist__ygbE_oe__1,-0.0753881235,-0.0505066501
phage_resist__wt__1,-1.2019731109,-0.65621708
phage_resist__wt__2,1.608138507,0.3631552471
phage_resist__wt__3,-0.0689951585,0.2143043048
phage_resist__wt__4,-0.3371702375,0.0787575281
phage_resist__ygbE_oe__2,1.5415850531,-0.2710222568
phage_resist__ygbE_oe__3,2.2945380104,0.0826448427
phage_resist__ygbE_oe__4,1.6627818117,-0.33631007820000003
phage_resist__yahA_oe__1,-2.0474647802,-0.17314433640000002
phage_resist__yahA_oe__2,-2.4903573237,-0.1186505097
phage_resist__yahA_oe__3,-2.3647840544,-0.2371488663
phage_resist__yrfF_ko__1,3.2951631722,1.0776148838
phage_resist__yrfF_ko__2,5.5879240907,1.6231167762
phage_resist__yrfF_ko__3,1.0063460798,0.5765632823
pollution__wt_ctrl__1,-0.1417965229,-0.015206123600000001
pollution__wt_ctrl__2,-0.27992862690000003,-0.0539505772
pollution__wt_ctrl__3,0.42172514980000003,0.0691567008
pollution__wt_urban__1,0.8017804322000001,0.0170490427
pollution__wt_urban__2,0.6487347896,-0.0406835969
pollution__wt_urban__3,0.4038423873,0.25854740730000003
pollution__wt_diesel__1,1.0877345213,0.400181985
pollution__wt_diesel__2,0.6547896735000001,-0.00816639
pollution__wt_diesel__3,0.5382709117,0.4011244722
pollution__evo_diesel__1,1.3140542625,0.4761285663
pollution__evo_diesel__2,0.0456737684,0.3079791357
pollution__evo_diesel__3,0.378472874,0.24242037430000002
ppGpp__wt_relAtrunc_00m__1,-0.0131850842,0.097722314
ppGpp__wt_relAtrunc_00m__2,0.1619268508,-0.19642204530000001
ppGpp__mut_delrelA_10m__1,1.9383613971,1.0120381767
ppGpp__mut_delrelA_05m__1,1.3394268978000001,0.5611629092
ppGpp__mut_delrelA_10m__2,2.2898993953,0.9635011534000001
ppGpp__mut_delrelA_10m__3,1.8907396525,1.0601316907
ppGpp__mut_delrelA_00m__1,0.9068026838000001,0.8147996660000001
ppGpp__mut_delrelA_00m__2,1.81988299,0.8521260919
ppGpp__mut_delrelA_05m__2,1.4035756071,0.8212304504
ppGpp__mut_delrelA_05m__3,1.3541780492,0.6936684589000001
ppGpp__mut_delrelA_00m__3,1.4967259383,0.6613617930000001
ppGpp__wt_delrelA_10m__1,-0.2661645943,0.8786683438
ppGpp__wt_delrelA_05m__1,-0.6673054835000001,0.5001708565
ppGpp__wt_delrelA_05m__2,-0.47800948,0.4064124129
ppGpp__wt_delrelA_10m__2,-0.29254762970000003,0.7872674045
ppGpp__wt_delrelA_10m__3,-0.742536025,0.7713983435
ppGpp__wt_delrelA_00m__1,0.11926053680000001,0.0280289983
ppGpp__wt_delrelA_00m__2,-0.5067994358,-0.147024386
ppGpp__wt_delrelA_05m__3,-0.9377130984000001,0.28672819790000004
ppGpp__wt_delrelA_00m__3,0.38753889900000005,0.11899538770000001
ppGpp__mut_relAtrunc_10m__1,0.9566101929,0.4708092253
ppGpp__mut_relAtrunc_05m__1,1.5535726801,0.5170781187
ppGpp__mut_relAtrunc_05m__2,1.0376469017,0.4325514992
ppGpp__wt_relAtrunc_10m__1,-0.038029553,-0.2613152943
ppGpp__wt_relAtrunc_10m__2,-0.1321771216,-0.0752867078
ppGpp__wt_relAtrunc_10m__3,-0.2145165497,-0.061203573600000005
ppGpp__mut_relAtrunc_00m__1,1.1935704476,0.8703169313
ppGpp__wt_relAtrunc_00m__3,0.1350715157,0.1540733654
ppGpp__wt_relAtrunc_05m__1,-0.21584958840000001,-0.0853847937
ppGpp__wt_relAtrunc_05m__2,-0.0470058484,-0.26459523420000003
ppGpp__wt_relAtrunc_05m__3,-0.3543644527,-0.3417330826
ppGpp__mut_relAtrunc_00m__2,1.6178739205000001,0.4008630235
ppGpp__mut_relAtrunc_00m__3,1.7084569039000002,0.8400752289000001
ppGpp__mut_relAtrunc_10m__2,1.5457502942999999,0.5066219146000001
ppGpp__mut_relAtrunc_05m__3,1.198518343,0.5616725127000001
ppGpp__mut_relAtrunc_10m__3,1.2622729981,0.6340156626
pressure__high_pressure__1,-1.5749608486,-0.5341077682
pressure__high_pressure__2,-0.490051294,-1.1651832817
pressure__low_pressure__1,0.24874440190000002,-0.020026947700000002
pressure__low_pressure__2,-0.24874440190000002,0.020026947700000002
quantum_dots__ctrl__1,-0.0196948654,-0.13788140740000002
quantum_dots__ctrl__2,0.0196948654,0.13788140740000002
quantum_dots__cdte_light__1,-0.1005093838,0.399003961
quantum_dots__cdte_light__2,-0.1395514007,0.5738479817000001
quantum_dots__cdte_dark__1,-0.29244133580000004,0.2475236795
quantum_dots__cdte_dark__2,-0.3090974567,0.4847243826
quantum_dots__cdse_light__1,0.1261880503,0.0263142152
quantum_dots__cdse_light__2,0.1545279997,0.4695647311
quantum_dots__cdse_dark__1,-0.12069741810000001,0.7331532653
quantum_dots__cdse_dark__2,-0.0380931978,0.4196416323
raman__wt__1,0.0111498038,-0.0557344439
raman__del_cyaA__1,0.9559084414000001,0.1710650074
raman__del_cyaA_01mM__1,0.8739044364,0.3118747485
raman__del_cyaA_05mM__1,0.5588907032,0.1122107723
raman__del_cyaA_1mM__1,0.36725393980000004,0.1488244673
raman__wt__2,0.39004049830000004,0.1133451674
raman__del_cyaA__2,0.7526650044000001,0.20294369310000002
raman__del_cyaA_01mM__2,0.4841060519,-0.0520065783
raman__del_cyaA_05mM__2,0.3320733308,0.5822351444
raman__del_cyaA_1mM__2,0.5749027964,0.0997127954
raman__wt__3,-0.4011903022,-0.0576107235
raman__del_cyaA__3,0.9310290224000001,0.4475046728
raman__del_cyaA_01mM__3,0.0502966065,-0.0962394651
raman__del_cyaA_05mM__3,-0.2425258475,0.0192231055
raman__del_cyaA_1mM__3,-0.039183227800000005,-0.715727466
rand_barrel__mut_nanE__1,-0.8523953135000001,0.1539052451
rand_barrel__mut_nanE__2,-1.3893640555,-0.5539115888
rand_barrel__mut_nanE__3,-2.682087476,0.019248411400000002
rand_barrel__mut_pdxJ_1__1,-1.9267021639,-0.3141563479
rand_barrel__mut_pdxJ_1__2,-0.0120626008,0.635525212
rand_barrel__mut_pdxJ_1__3,-3.1474611275,-0.2067714964
rand_barrel__mut_pdxJ_2__1,-1.5474033843,-0.2277391681
rand_barrel__mut_pdxJ_2__2,0.2624129283,-0.1766336097
rand_barrel__mut_pdxJ_3__1,-0.5003600697,-0.2750431485
rand_barrel__mut_pdxJ_3__2,-1.3614738118,0.3399207031
rand_barrel__del_serB__1,-0.7187602377,0.3930646438
rand_barrel__del_serB__2,0.7187602377,-0.3930646438
rockhopper__CV104_pHDB3__1,-1.6869269106,-1.7762177142
rockhopper__CV104_pHDB3__2,-1.2985800598,-1.6348759971
rockhopper__CV104_pHDB3__3,-1.6731891674,-1.7914132923000001
rockhopper__CV104_pLCV1__1,-0.9719421549,-1.5342383955
rockhopper__CV104_pLCV1__2,-1.5614831216,-1.6597386307000002
rockhopper__CV104_pLCV1__3,-1.2613247686,-1.5533407072
rockhopper__wt_lb__1,-2.1765048914,-1.32458077
rockhopper__wt_lb__2,-2.0841203968,-1.8615530826
rockhopper__wt_lb__3,-2.9096524772,-1.6631715169999999
rockhopper__wt_lb_aMG__1,0.1383218349,-0.8034177910000001
rockhopper__wt_lb_aMG__2,-0.1749911633,-1.2056290005
rockhopper__wt_lb_aMG__3,-1.7560829826000002,-1.1892428480000001
rockhopper__del_sgrR_lb_aMG__1,-1.0862072292,-0.7009493069
rockhopper__del_sgrR_lb_aMG__2,-0.3968145206,-0.3562294559
rockhopper__del_sgrR_lb_aMG__3,-0.8726989439,-0.6799627629
rockhopper__del_sgrS_glyc_aMG__1,0.3561787736,-1.4259486611
rockhopper__del_sgrS_glyc_aMG__2,-1.385214428,-2.4753421675
rockhopper__del_sgrS_glyc_aMG__3,-0.4961479539,-1.578209173
rockhopper__del_sgrS_glyc__1,0.28249890850000003,-2.8054984706
rockhopper__del_sgrS_glyc__2,0.8008068892,-3.0085703592
rockhopper__del_sgrS_glyc__3,0.2730398144,-2.2318707865
rockhopper__wt_lb_aMG__4,-0.5223997451,-0.5609778336
rockhopper__wt_lb_aMG__5,-0.0488862472,-0.7624073379
rockhopper__wt_lb_aMG__6,0.6539691746,-0.2851366791
rockhopper__wt_glyc_aMG__1,4.3102616006,-0.6964864402000001
rockhopper__wt_glyc_aMG__2,2.8131095643,-1.2584726433
rockhopper__wt_glyc_aMG__3,2.2447179456,-1.2085191075
rockhopper__wt_glyc__1,0.7499496989000001,-2.408051014
rockhopper__wt_glyc__2,0.4899909814,-2.2213716596
rockhopper__wt_glyc__3,0.5270022476,-2.392615575
rockhopper__CV108_glyc_aMG__1,-1.4611800571,-2.2206104904
rockhopper__CV108_glyc_aMG__2,-0.8377524099,-1.2402318103
rockhopper__CV108_glyc_aMG__3,-0.8491319782000001,-0.8941464953
rockhopper__wt_glyc__4,-0.9955750042,-0.198825882
rockhopper__wt_glyc__5,-1.7858939244,-0.7272819739
rockhopper__wt_glyc__6,-0.1511774521,1.2198717769
rockhopper__wt_glyc_aMG__4,-0.0967849125,0.3971763179
rockhopper__wt_glyc_aMG__5,-0.8174417676,-0.7172446749
rockhopper__wt_glyc_aMG__6,-0.8235321331000001,-0.7191687871
rockhopper__wt_glyc__7,0.352436093,1.3081917426
rockhopper__wt_glyc__8,0.1245528843,0.47951000320000003
rockhopper__wt_glyc__9,0.4043605384,1.2407909532
rockhopper__wt_glyc__10,0.2858823816,1.7750283284
rockhopper__wt_glyc__11,0.0988231848,1.0982899756
rockhopper__wt_glyc__12,-0.1003516291,0.8264633247000001
rpoD__wt__1,0.19647973270000002,-0.21434442480000002
rpoD__wt__2,0.20801548590000002,0.3737222149
rpoD__rpoD_mut__1,-2.4205144739,0.6133542633
rpoD__rpoD_mut__2,-2.4743379643,0.22156329760000001
rpoD__rpoD_mut__3,-1.9529594062000002,-0.30512914010000003
rpoD__wt__3,-0.40449521860000004,-0.15937779
rpoN_peptide__ctrl__1,-0.09119679130000001,0.10312140500000001
rpoN_peptide__ctrl__2,-0.339545423,0.0519233791
rpoN_peptide__ctrl__3,0.4307422144,-0.1550447841
rpoN_peptide__nminus__1,0.07144487170000001,0.1799533948
rpoN_peptide__nminus__2,0.0260888576,0.1301476276
rpoN_peptide__nminus__3,0.2560194945,0.109917495
rpoN_peptide__nplus__1,0.0734414551,-0.7367178953
rpoN_peptide__nplus__2,0.0540110798,-0.8604360382
rpoN_peptide__nplus__3,0.3828257761,-0.8171130279000001
rpoN_peptide__s54_wt__1,-0.3796920058,-0.16546725950000002
rpoN_peptide__s54_wt__2,-0.3099634013,-0.2326929173
rpoN_peptide__s54_wt__3,-0.3034361731,-0.4173827738
rsd__wt_ee__1,0.1487599992,0.10222825490000001
rsd__wt_ee__2,-0.1487599992,-0.10222825490000001
rsd__del_rsd_ee__1,0.1792267011,0.3301081122
rsd__del_rsd_ee__2,-0.0022464499,-0.0534778967
rsd__del_ssrS_ee__1,-0.24206934870000002,0.8972535191000001
rsd__del_ssrS_ee__2,-0.5871700306000001,0.6318849814
rsd__del_rsd_ssrS_ee__1,1.3993392771,0.8693685201
rsd__del_rsd_ssrS_ee__2,1.3525935569,0.9058747099000001
rsd__del_rpoS_ee__1,-0.4037694416,0.8203465088
rsd__del_rpoS_ee__2,-0.3126118096,0.6912482033
rsd__wt_me__1,0.3437550379,0.2489856618
rsd__wt_me__2,0.1498265235,0.3576306299
rsd__del_rpoS_me__1,1.4067988877,0.9488218642
rsd__del_rpoS_me__2,2.1407083041,1.6563749176
rsd__wt_ts__1,1.8932314371,0.4068285146
rsd__wt_ts__2,1.0786020019,-0.0175835298
rsd__del_rsd_ssrS_ts__1,1.6843070369,1.0627954728
rsd__del_rsd_ssrS_ts__2,0.9469494466,0.6994719994
rsd__del_rpoS_ts__1,2.6033987174,1.1513376661
rsd__del_rpoS_ts__2,2.1654475055,1.0543205208
rsd__wt_s__1,1.0561861436,0.3955604647
rsd__wt_s__2,0.9874602652000001,0.466361925
rsd__del_rsd_s__1,1.1197360546,0.4286854308
rsd__del_rsd_s__2,1.1910421608,0.7838388736
rsd__del_rsd_ssrS_s__1,2.415179133,1.2712873627
rsd__del_rsd_ssrS_s__2,2.9787179224,1.8461334484
rsd__del_rsd_ls__1,1.6832636729,1.6515723023
rsd__del_rsd_ls__2,2.9098859815,2.2761038705
rsd__del_ssrS_ls__1,2.8518246534,1.5752165568
rsd__del_ssrS_ls__2,2.1771439206,1.393571598
rsd__del_rsd_ssrS_ls__1,2.7265217901,2.2320170166
rsd__del_rsd_ssrS_ls__2,2.6192010842,1.8929289448
rsd__del_rpoS_ls__1,4.2092068421,1.4394643791
rsd__del_rpoS_ls__2,3.7798856111,1.7364155015
sdsR_ryeA__wt_3h__1,0.1459794178,-0.0254260736
sdsR_ryeA__wt_8h__1,-0.6183448106,-1.6283105847
sdsR_ryeA__wt_3h__2,-0.1459794178,0.0254260736
sdsR_ryeA__wt_8h__2,-0.7505020616,-1.4533642358
starve_series__t00_growth1__1,0.1202870977,0.2645612522
starve_series__t00_growth1__2,0.3835513853,0.2695558087
starve_series__t00_growth1__3,0.21041551560000002,0.048449531000000004
starve_series__t00_growth1__4,-0.7142539985,-0.5825665919
starve_series__t01_starve__1,0.9447731511,0.9833443657000001
starve_series__t01_starve__2,1.6202202454,1.1156342521
starve_series__t02_starve__1,-1.405498818,0.7723734475
starve_series__t02_starve__2,-1.4630249149,1.4883058143
starve_series__t03_starve__1,-1.0739926019,1.3150330042
starve_series__t03_starve__2,-0.7843822342000001,1.3903579640000001
starve_series__t04_starve__1,-1.4504491783,1.5368723012999999
starve_series__t04_starve__2,-1.6339218578999999,1.2978068456
starve_series__t05_starve__1,-1.1589507567,1.2014819526
starve_series__t05_starve__2,-1.9801275282000002,0.9520254461000001
starve_series__t06_starve__1,-1.0383145019,1.276755934
starve_series__t06_starve__2,-1.6247160008,1.3982215681999999
starve_series__t07_starve__1,-1.6642018735000002,1.2109734111
starve_series__t07_starve__2,-1.3582615568,1.3277482527
starve_series__t08_starve__1,-1.4705927202,1.2885420516
starve_series__t08_starve__2,-1.4923888559,1.1408349197
starve_series__t09_starve__1,-1.1601062659,0.9697020068000001
starve_series__t09_starve__2,-1.3721882389,0.9090881044
starve_series__t10_starve__1,-1.2595342466,1.1203507677
starve_series__t10_starve__2,-1.7937432538,0.785421103
starve_series__t11_starve__1,-1.9876552329,0.836304672
starve_series__t11_starve__2,-1.9964027851,0.7418299928000001
starve_series__t12_starve__1,-0.5210983024,0.9416216462
starve_series__t12_starve__2,-0.6498328387,0.9763842639
starve_series__t14_starve__1,-0.7936650958,0.9907395803000001
starve_series__t14_starve__2,-1.2427263277,0.8365584083000001
starve_series__t16_starve__1,-1.3913795271,0.8077194455000001
starve_series__t16_starve__2,-1.5939421336000001,0.7681339238
starve_series__t17_starve__1,-0.9444628219000001,1.1367802965
starve_series__t17_starve__2,-1.6133997245,1.1093401966
starve_series__t18_starve__1,-1.1019711281,1.3303483129
starve_series__t18_starve__2,-1.30865015,1.1574363736
starve_series__t20_starve__1,-0.49469004660000004,-0.7287019496
starve_series__t20_starve__2,-0.1366701126,-0.9568729104
starve_series__t21_growth2__1,-1.218401134,-1.1932445760000001
starve_series__t21_growth2__2,0.3978698458,-0.9185091806000001
starve_series__t22_growth2__1,-0.0906664648,-0.007729692000000001
