,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
94,biocide__etoh_12h,4.7091209029,0.40269599244845367,3.0,356.0,5.009522218,357.0,4.8663016855,358.0,4.2515388052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,biocide__gluald_12h,3.7129360175,0.5398964371487255,3.0,359.0,3.188338295,360.0,3.6835396868,361.0,4.2669300707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,biocide__h2o2_12h,3.5873802219333335,0.4918940499419,3.0,362.0,4.1403829729,363.0,3.4231317949,364.0,3.198625898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,biocide__2ppoh_12h,5.276026406566667,0.394223718508362,3.0,365.0,5.6627047676,366.0,5.2907069945,367.0,4.8746674576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,biocide__paa_12h,4.617222064,0.15441655594193773,3.0,368.0,4.7410333066,369.0,4.6664359950000005,370.0,4.4441968904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,biocide__phe_12h,2.4377338288333337,0.7488710740020679,3.0,371.0,2.4513116013,372.0,3.179723694,373.0,1.6821661911999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,biocide__pvp-i_12h,3.0811806916,0.42233395829257786,3.0,374.0,2.6776948236,375.0,3.5201267834000003,376.0,3.0457204678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,biocide__bleach_12h,2.9764494418666665,0.3725914313844831,3.0,377.0,2.5462464317,378.0,3.1872611598,379.0,3.1958407341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,biocide__chx_12h,2.6784081393666668,0.8562161102517379,3.0,380.0,3.4741789849,381.0,2.7886246734,382.0,1.7724207598000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,biocide__bzcl_30m,-0.4518463713,0.3111420731224846,3.0,383.0,-0.4305677556,384.0,-0.1518897921,385.0,-0.7730815662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,biocide__phe_30m,-2.0605142975666664,1.4055994963662204,3.0,386.0,-1.0294474659,387.0,-3.6615825289,388.0,-1.4905128979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,biocide__pvp-i_30m,-0.4568813629333333,0.8182190569251685,3.0,389.0,-0.4809554842,390.0,-1.262797695,391.0,0.3731090904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,biocide__ctrl_12h,3.3709342914,0.403183294359447,3.0,392.0,2.9355349235,393.0,3.4458848539,394.0,3.7313830968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,biocide__ctrl_30m,0.0,0.7656551062268796,3.0,395.0,0.5005434773,396.0,0.3808541697,397.0,-0.881397647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,clpP__wt,-3.333333146541643e-11,0.40902069269656827,3.0,398.0,0.4546397588,400.0,-0.3381122272,402.0,-0.1165275317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,clpP__wt_DPTA,5.842353005700001,1.1275547470210372,3.0,399.0,6.0041007322,401.0,6.8802990396,403.0,4.6426592453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,clpP__delclpP,0.07576416626666667,0.2152260860498753,3.0,404.0,0.3080247405,406.0,-0.1169398589,408.0,0.0362076172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,clpP__delclpP_DPTA,5.664041762566668,0.32199229068763713,3.0,405.0,6.0190495337,407.0,5.5822256353,409.0,5.3908501187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,colombos2__delydcR,-0.020911300666666664,0.1181501731358148,3.0,410.0,-6.20535e-05,411.0,-0.1480982687,412.0,0.0854264202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
