,A,AraC,Crp
hns_stpA__evo100G12_delhns_delstpA__2,-4.8890562409000005,-1.3616630092,-2.0720734261000002
hns_stpA__delhns_delstpA_delrpoS__1,-3.4731100992,-1.5692470026,-2.2153905101
hns_stpA__delhns_delstpA_delrpoS__2,-4.5476215327,-1.7528023783000002,-2.5455493469
hns_stpA__wt__1,0.1149266065,0.4949563369,0.0910120247
hns_stpA__wt__2,-0.1149266065,-0.4949563369,-0.0910120247
hns_stpA__delhns_delstpA__1,-5.6019568131,-2.3254758538,-2.4304813555
hns_stpA__delhns_delstpA__2,-5.7943784124,-1.8387677011,-2.283345836
hu__wt_log_pH7__1,0.334566162,0.06413008220000001,-2.5610024343999997
hu__wt_log_pH7__2,0.2970260265,0.10420508740000001,-1.7192127447
hu__wt_log_pH7__3,0.6484511681,-0.1048445172,-2.5656982779
hu__wt_lag_pH7__1,-0.1143241244,-0.7859176605,0.2181867704
hu__wt_lag_pH7__2,0.1109068466,-1.2057348474,-0.051637196
hu__wt_lag_pH7__3,0.0034172778,1.9916525079,-0.1665495744
hu__delhupA_lag_pH7__1,-0.7849010645000001,-0.0905442639,0.5013664708
hu__delhupA_lag_pH7__2,-0.3768499887,-0.8418095255,-0.0310669673
hu__delhupA_lag_pH7__3,-0.37387598450000004,1.6398643645000002,-0.0959832862
hu__delhupB_lag_pH7__1,-0.4549692826,-0.9753297224,0.1827632689
hu__delhupB_lag_pH7__2,-0.0365874755,-1.451800956,-0.0362566025
hu__delhupB_lag_pH7__3,-0.010624626100000001,1.8370916925,-0.13451388420000002
hu__delhupAhupB_lag_pH7__1,-0.1875372706,0.077176305,-0.3668404044
hu__delhupAhupB_lag_pH7__2,-0.3234740065,-1.1314023573,-0.0648374225
hu__delhupAhupB_lag_pH7__3,0.5132347660000001,0.9677813186,0.0483373318
hu__hupAE34K_hupB_lag_pH7__1,-0.0846384081,-0.2729058471,-0.0097311396
hu__hupAE34K_hupB_lag_pH7__2,0.28317287950000003,-0.9533078602,-0.3293122911
hu__hupAE34K_hupB_lag_pH7__3,-0.033525902600000004,1.3558431622,-0.3831059042
hu__hupAE34K_delhupB_lag_pH7__1,-0.3766392706,-0.2814683769,-0.0190652403
hu__hupAE34K_delhupB_lag_pH7__2,0.26983043770000004,-0.37013291340000004,0.10856884550000001
hu__hupAE34K_delhupB_lag_pH7__3,-0.0795400772,1.700046768,-0.250826488
hu__wt_lag_pH5__1,-0.9475435292000001,-1.1103446499,-0.8913190701
hu__wt_lag_pH5__2,-0.7712916256,-0.6237714294000001,-1.4459433789
hu__wt_lag_pH5__3,-0.1125271553,0.5221389862,-1.4845663116
hu__delhupA_lag_pH5__1,-0.5984557112000001,-0.544962917,-1.0651718251
hu__delhupA_lag_pH5__2,-1.0174926856,-0.5230728328,-0.7987644547
hu__delhupA_lag_pH5__3,-1.3933801252,0.1449944278,-1.2519211603
hu__delhupAhupB_lag_pH5__1,-0.6632781918,-1.0869287306,-1.3554675684
hu__delhupAhupB_lag_pH5__2,-0.4146058056,-0.2068123476,-1.3336062681
hu__delhupAhupB_lag_pH5__3,-0.5804294661,1.2837420336,-0.8925679957
hu__hupAE34K_hupB_lag_pH5__1,-0.1272482692,-0.2984828402,-1.1430168893000001
hu__hupAE34K_hupB_lag_pH5__2,0.2342865087,0.688113889,-1.4493752758
hu__hupAE34K_hupB_lag_pH5__3,0.0733632392,1.1883608016,-1.4050641086
hu__hupAE34K_delhupB_lag_pH5__1,0.16354062,0.12083839440000001,-1.6123595908000001
hu__hupAE34K_delhupB_lag_pH5__2,-0.1012293361,-0.6148699674,-1.226893919
hu__hupAE34K_delhupB_lag_pH5__3,-0.3053864328,0.6228400980000001,-1.5448590486
hyperpersistence__low_GFP__1,1.6895141457,-2.2037528271,-0.1459188516
hyperpersistence__wt__1,-0.1346961749,-0.1885465114,-0.0579075359
hyperpersistence__high_GFP__1,2.1781132645,-2.0641413919,-0.10275380890000001
hyperpersistence__pth_mut__1,-0.5169169819,-0.0204495094,-0.0890509939
hyperpersistence__pth_mut__2,-0.2859796617,0.0811050682,-0.4156744168
hyperpersistence__metG_mut__1,-0.0161133465,0.3992944772,0.0988768356
hyperpersistence__metG_mut__2,-0.0091617938,0.038609298,-0.2628324997
hyperpersistence__high_GFP__2,2.437831969,-1.4980785642,-0.2208033278
hyperpersistence__wt__2,0.1346961749,0.1885465114,0.0579075359
hyperpersistence__low_GFP__2,2.0982833535,-2.1975165328,-0.2805843959
kan_efg__cpxAF218Y__1,0.0728320616,1.6000818277,1.0841805474
kan_efg__cpxAF218Y__2,0.2237263197,1.7038979885,1.1446573046
kan_efg__cyaAN600Y__1,0.6986180531,0.9361551850000001,0.9603956705000001
kan_efg__cyaAN600Y__2,0.37824107220000003,1.6757830731,1.5682706127000001
kan_efg__fusAA608E__1,-1.1972391156,-0.814665678,-0.4755092777
kan_efg__fusAA608E__2,-0.32441762080000003,-0.7446443639,-0.1918949817
kan_efg__fusAA608E_cpxAF218Y__1,-0.23027505080000002,0.6418391844,0.35721379940000003
kan_efg__fusAA608E_cpxAF218Y__2,0.8426063534,0.5566294154,0.3103341766
kan_efg__fusAA608E_cyaAN600Y__1,0.051738144,0.2722844082,0.8959768911
kan_efg__fusAA608E_cyaAN600Y__2,-0.2682557745,0.9658332079,1.151414448
kan_efg__fusAA608E_rpoDL261Q__1,-0.4206806677,0.8117810972,0.5787595543
kan_efg__fusAA608E_rpoDL261Q__2,-0.15299689660000002,0.3546112576,0.170452503
kan_efg__fusAA608E_topAS180L__1,0.7603116167,0.7021822485,0.2993918273
kan_efg__fusAA608E_topAS180L__2,1.5976558282000002,0.6311334921,0.3449252499
kan_efg__rpoDL261Q__1,0.39797517990000003,0.7698140485,0.2963526906
kan_efg__rpoDL261Q__2,0.6112731533,0.9447814783,0.8750640991
kan_efg__wt__1,-0.0729976052,-0.3414205822,-0.326898736
kan_efg__wt__2,0.0729976052,0.3414205822,0.326898736
lrp__wt_min_log__1,-0.0040432752,-0.0170100979,-0.07878716350000001
lrp__wt_min_log__2,0.0040432752,0.0170100979,0.07878716350000001
lrp__wt_min_trans__1,-2.2501300026,-1.4889913362,1.2078040582
lrp__wt_min_trans__2,-1.9673762702,-1.1339937321,1.3633198144
lrp__wt_min_stat__1,10.8981844292,-0.189516806,-2.4304975054
lrp__wt_min_stat__2,10.8890532164,-0.1803446529,-1.9638896553
lrp__wt_liv_log__1,-0.9596495869,-0.30722159450000003,0.23973138100000002
lrp__wt_liv_log__2,-0.6981100849,-0.5114504357,0.1717381616
lrp__wt_liv_trans__1,1.0653101905,0.1725257832,0.08582733690000001
lrp__wt_liv_trans__2,0.9481100895000001,0.4320190305,-0.0164337809
lrp__wt_liv_stat__1,10.0986423209,0.1137897286,-2.9541291327
lrp__wt_liv_stat__2,9.6949127986,-0.1844376366,-2.4056994769
lrp__wt_rich_log__1,-3.7697526312000003,-2.0105492606,-0.18704894200000002
lrp__wt_rich_log__2,-4.4322839979,-2.1051461348,-0.1143135745
lrp__wt_rich_trans__1,1.8287612121999999,-0.3421304771,0.1036684385
lrp__wt_rich_trans__2,1.0581694204,-1.1023475719,-0.5320317657
lrp__wt_rich_stat__1,6.3973191752,-0.6445405291,-0.33952435410000004
lrp__wt_rich_stat__2,6.6064684887,0.17932940090000002,-0.5029284707
lrp__dellrp_min_log__1,-0.40361943720000004,-0.2090279598,0.051597773300000004
lrp__dellrp_min_log__2,-0.45522762510000003,-0.25606868990000003,0.1695436772
lrp__dellrp_min_trans__1,-2.437627489,-0.9904198284000001,0.4016716534
lrp__dellrp_min_trans__2,-1.4800899519000001,-0.5069487875,0.0540830645
lrp__dellrp_min_stat__1,10.0257316955,-0.4960584552,-2.4044391384
lrp__dellrp_min_stat__2,9.7185298738,-0.7059369134,-2.2572603749
lrp__dellrp_liv_log__1,0.6980393091,-0.2441104597,0.15715905260000002
lrp__dellrp_liv_log__2,0.3114429399,-0.6772310716000001,0.22238625250000002
lrp__dellrp_liv_trans__1,0.4638739764,0.3828291811,0.029169605100000003
lrp__dellrp_liv_trans__2,0.9872533677,0.6792291412,0.3152681445
lrp__dellrp_liv_stat__1,9.8081602467,-0.1301931421,-2.3922730427
lrp__dellrp_liv_stat__2,9.8402410661,-0.0746325887,-2.1205585644
lrp__dellrp_rich_log__1,-4.2854267440000005,-1.986208452,-0.14166017990000002
lrp__dellrp_rich_log__2,-3.9317196009,-2.287113933,-0.1285585019
lrp__dellrp_rich_trans__1,1.811808485,-0.5756522853,-0.41390028040000004
lrp__dellrp_rich_trans__2,0.6744812969,-0.8862404284000001,-0.5311079492
lrp__dellrp_rich_stat__1,0.47592785330000004,-1.7534510972000001,0.7351458547
lrp__dellrp_rich_stat__2,1.0619746415,-1.0880708334,1.4053881684
mazF_circuit__t0__1,-0.10510352,0.5436027688,-0.004570969
mazF_circuit__t2__1,-1.1793660343,0.057108392200000004,0.0653832305
mazF_circuit__t4__1,-0.6982857429,-0.7840695066000001,0.3822852162
mazF_circuit__t6__1,-1.9849345674,-0.230209678,0.21028994880000001
mazF_circuit__t8__1,-0.566073457,-2.1737375823,-0.0570535506
mazF_circuit__t0__2,0.10510352,-0.5436027688,0.004570969
mazF_circuit__t2__2,-0.3560406025,-0.4185468044,0.051884897000000006
mazF_circuit__t4__2,-0.4224518832,0.4793643644,0.3721571684
mazF_circuit__t6__2,-1.3301037851,-0.7615787952,0.12152566340000001
mazF_circuit__t8__2,-0.4087085502,-0.4139219509,-0.0765298296
mazF_ribo__emptyvec_mrna_5m__1,-0.15942390110000002,-0.1423594632,0.020805030000000002
mazF_ribo__emptyvec_mrna_5m__2,0.15942390110000002,0.1423594632,-0.020805030000000002
mazF_ribo__mazF_mrna_5m__1,-12.0094979376,1.680309816,0.16600598560000002
mazF_ribo__mazF_mrna_5m__2,-12.339128047300001,1.6885304822,0.1916775286
mazF_ribo__emptyvec_total_5m__1,1.858075417,-0.8833562653,0.46786379100000003
mazF_ribo__emptyvec_total_5m__2,0.7871044791,-0.9439220228,0.5122323806
mazF_ribo__mazF_total_60m__1,-23.3957859402,-0.8226189947,-0.6219598177
mazF_ribo__mazF_total_60m__2,-21.2170158672,-1.0260399107,-0.6024762283
mercury__ctrl_t00__1,-0.1249260821,-0.6980357361,0.0292773526
mercury__ctrl_t10__1,0.0062768349,-0.1291353951,0.3087663784
mercury__ctrl_t30__1,0.4280285922,0.22980416780000001,0.7006973645
mercury__ctrl_t60__1,0.3389148808,0.6377808297,0.8951937533000001
mercury__hg_t10__1,2.0381183865,3.5806169623,1.5099593280999999
mercury__hg_t30__1,-0.21621403960000002,1.5022266516,1.6124665533
mercury__hg_t60__1,-0.1340931351,0.7697103461,1.3859830142
mercury__pma_t10__1,0.4432938885,-0.2193273815,0.8754740065000001
mercury__pma_t30__1,0.0460333543,0.6018434937,0.7672332111
mercury__pma_t60__1,-1.6293419482,-0.1809248743,0.2108640436
mercury__ctrl_t00__2,0.269703725,0.46364679410000004,0.0010693687
mercury__ctrl_t10__2,-0.1719944549,-0.18836125210000002,0.25878484220000003
mercury__ctrl_t30__2,0.5256550935000001,0.940911856,0.7206174857000001
mercury__ctrl_t60__2,0.46376350320000004,1.1069879548000001,0.9635479732000001
mercury__hg_t10__2,2.0180235416,3.3315372884,1.4192736061
mercury__hg_t30__2,-0.2262525498,1.2198591307,1.4553969738
mercury__hg_t60__2,-0.8698343695,-0.2369315323,-0.0283162313
mercury__pma_t10__2,0.5714095199,-0.1037187039,0.8151339384
mercury__pma_t30__2,0.17257021990000002,0.7518688638000001,0.8881257601
mercury__pma_t60__2,0.4970760402,1.2420243241,0.41748972510000004
mercury__ctrl_t00__3,-0.1447776429,0.23438894200000002,-0.0303467213
mercury__ctrl_t10__3,0.2213493762,-0.1566671493,0.12400269800000001
mercury__ctrl_t30__3,0.8086887602,0.8194989067,0.7564198440000001
mercury__ctrl_t60__3,0.7728092248,0.8116561215,0.803622138
mercury__hg_t10__3,1.7378087935000002,4.0957777456,1.7832128196
mercury__hg_t30__3,0.9403053573000001,1.8971190389,1.5344472761999999
mercury__hg_t60__3,-0.9341492202,0.3898203595,0.7437536825000001
mercury__pma_t10__3,0.747932598,-0.1090529352,1.0075067504
mercury__pma_t30__3,-0.09340123060000001,0.5268324608,0.9965341975
mercury__pma_t60__3,-0.3217190504,1.4146076251,0.6395112446
ml_abx__az_lolcde__1,1.7288636658,0.059690080900000005,0.3949028114
ml_abx__az_lolcde__2,1.3846663028,-0.30853503400000004,0.0860060487
ml_abx__az_lolcde__3,2.2811569042,-0.3165507951,0.3337373743
ml_abx__b01__1,0.038979059600000004,0.29231017,0.5086181453
ml_abx__b01__2,-0.1311973147,0.39982938430000003,0.4866754022
ml_abx__b01__3,0.22076079740000001,-0.4007483109,0.48643220260000003
ml_abx__cro__1,0.0521852677,0.3379176749,0.3779114022
ml_abx__cro__2,0.1406480542,-0.3058143412,-0.0306841953
ml_abx__cro__3,0.8439708985000001,-0.5854893625,-0.2753034439
ml_abx__chl__1,1.4026946072,-0.5987432615,-1.7807047438999999
ml_abx__chl__2,0.9456249439000001,-0.7290324107,-1.6147351356000001
ml_abx__chl__3,1.3554099324,-0.2715804826,-1.7049606803000001
ml_abx__cip__1,0.0419574388,-0.7828003091,0.468238231
ml_abx__cip__2,0.3232524295,-0.7683922953000001,0.26436147200000004
ml_abx__cip__3,0.6580140109,-1.8186002937999999,-0.3907059673
ml_abx__clr__1,2.1164755779,-0.0750050233,-2.0145250609
ml_abx__clr__2,1.7082907095,-0.0852209565,-1.8700479492
ml_abx__clr__3,2.1034691642,-0.3733755505,-1.9839799046
ml_abx__cst__1,0.27897474650000004,0.0776665508,0.4841423467
ml_abx__cst__2,0.9065809920000001,0.0298828917,0.1252630897
ml_abx__cst__3,1.4392431699000001,-0.4336499165,0.2504433165
ml_abx__ctrl__1,0.08427471730000001,0.5626212169,0.3181897135
ml_abx__ctrl__2,-0.2720805551,0.6450122498,0.33640730560000004
ml_abx__ctrl__3,-0.1177899055,-0.13635022100000002,0.1284474774
ml_abx__ctrl__4,-0.190836434,0.0789750651,0.0423286529
ml_abx__ctrl__5,0.1910196579,-0.3825926099,-0.3692971329
ml_abx__ctrl__6,0.3054125193,-0.7676657009000001,-0.4560760166
ml_abx__dox__1,2.0214320885,-0.7311221847,-2.1031438757
ml_abx__dox__2,1.8186474764,-0.3458112215,-1.9587539556
ml_abx__dox__3,1.9138876876,-0.0939244131,-2.0893289722
ml_abx__glob__1,1.6184529897000002,-0.11578979610000001,0.40077032360000003
ml_abx__glob__2,1.9177946060000002,-0.37421773700000005,0.19451078430000002
ml_abx__glob__3,2.2230030908,-0.8316642121000001,-0.3027589365
ml_abx__lvx__1,0.561536306,-0.0482149981,0.8486849750000001
ml_abx__lvx__2,0.470310616,-0.9133284604,0.3938793786
ml_abx__lvx__3,0.578052066,-1.2691741086000001,0.148786522
ml_abx__mec__1,0.0414811721,-0.0480772396,0.3369699572
ml_abx__mec__2,-0.142395884,-0.39435097960000004,0.013751511800000001
ml_abx__mec__3,0.6786331743,-0.9708022442,-0.22974107400000002
ml_abx__mem__1,0.0269953395,0.8050814557,0.35225783860000004
ml_abx__mem__2,-0.2971302233,-0.40001307540000003,-0.0962918605
ml_abx__mem__3,-0.43779704150000004,-1.0141851455,-0.4193098364
ml_abx__nit__1,1.1208492534,0.9305980874,-0.4561378538
ml_abx__nit__2,1.6839396131000002,1.9723058102,-0.3239561219
ml_abx__nit__3,1.8474384031,2.1094070146,-0.5009096485
ml_abx__ntx__1,0.1609895064,2.7636874606,-1.0066348399
ml_abx__ntx__2,1.4419620812,3.1209604975,-0.9472326698
ml_abx__nor__1,0.7569158204,-0.7621862576,0.8071856029000001
ml_abx__nor__2,0.8309289329,-0.8373590496000001,0.4894051802
ml_abx__nor__3,1.0204205143,-1.4422408489,0.12325169
ml_abx__pb__1,1.2290267917,0.4655540449,0.5965313259
ml_abx__pb__2,0.8392404111,0.4365428136,0.4467565101
ml_abx__pb__3,1.6349391349,0.2475013875,0.5066551433
ml_abx__tmp__1,0.9135880948,-0.9411927214,-0.4180190307
ml_abx__tmp__2,0.8929728085,-1.2377409802,-1.1217666797
ml_abx__tmp__3,2.1040086336,-1.1671262467,-1.5654300289
mut_abx__del_mutS_000nor__1,-0.9952866666000001,0.1306973334,-0.10736737830000001
mut_abx__del_mutS_000nor__2,0.553622309,0.054860372000000004,-0.0089077731
mut_abx__del_mutS_000nor__3,0.4416643576,-0.1855577054,0.1162751514
mut_abx__del_mutS_125nor__1,-1.3800469373,-0.033803264900000005,0.16900614320000001
mut_abx__del_mutS_125nor__2,-1.7809365531,-0.22471694790000002,0.0010292434000000001
mut_abx__del_mutS_125nor__3,-2.4175182896000003,-0.2424147716,-0.1128774423
mut_abx__del_mutS_250nor__1,-2.5154974339000002,-0.29117844870000004,-0.0133986869
mut_abx__del_mutS_250nor__2,-1.6558677742999999,-0.4106366429,0.1636110552
mut_abx__del_mutS_250nor__3,-3.3204733514,-0.5911972123,-0.331696997
mut_abx__del_mutS_375nor__1,-3.8625082117,-0.5034643652,-0.038234619500000004
mut_abx__del_mutS_375nor__2,-2.0017909526,-0.3457215363,0.0085680138
mut_abx__del_mutS_375nor__3,-4.0733743864,-0.4351758323,0.11367215480000001
mut_abx__del_mutS_500nor__1,-3.7708536108,-0.3539140176,0.3878004733
mut_abx__del_mutS_500nor__2,-3.7246322453,-0.3639614767,0.3784077044
mut_abx__del_mutS_500nor__3,-3.3915926441,-0.4842526419,0.6438706029
mut_abx__del_mutS_625nor__1,-1.7315020588999999,-0.18332877390000002,1.4015203867000001
mut_abx__del_mutS_625nor__2,-2.7967393537,0.116721352,0.8077489953
mut_abx__del_mutS_625nor__3,-3.5777178678,0.11170537700000001,0.7167135879000001
mut_abx__del_mutS_750nor__1,-3.6472450524,-0.14177676890000002,0.8733453174
mut_abx__del_mutS_750nor__2,-3.8485332843,-0.49821834880000004,0.7318804379
mut_abx__del_mutS_750nor__3,-3.5570816372,-0.2725584045,0.7265351033
mut_abx__del_mutS_875nor__1,-3.2407526597,-0.3726333505,0.5601250011000001
mut_abx__del_mutS_875nor__2,-3.7122850325,-0.2653260872,1.1423196373
mut_abx__del_mutS_875nor__3,-3.2896663394,-0.3347621467,0.8770837162
nit_yeaG__wt_Nminus__1,1.7312149662,-0.5949005806000001,-0.4060248421
nit_yeaG__wt_Nminus__2,-1.7312149662,0.5949005806000001,0.4060248421
nit_yeaG__wt_Nplus__1,0.9304385846000001,-0.3959352665,-1.860802321
nit_yeaG__wt_Nplus__2,-0.5368954117,-1.4081846729,-1.9932080196
nit_yeaG__del_yeaG_Nminus_24h__1,5.6617880109000005,0.36199324190000004,-3.95744986
nit_yeaG__del_yeaG_Nminus_24h__2,-0.1521500619,0.4679158443,-2.376849187
nit_yeaG__del_yeaG_Nminus_24h__3,3.0091019113,-0.5611555716000001,-2.4414347629
nit_yeaG__del_yeaG_Nminus__1,0.4478586614,-0.1974791633,-0.11143317250000001
nit_yeaG__del_yeaG_Nminus__2,-1.532885014,0.506300525,0.4939784118
nit_yeaG__del_yeaG_Nplus__1,0.9166340650000001,-0.7338353693,-1.9613924773
nit_yeaG__del_yeaG_Nplus__2,-0.60628048,-1.6686551928000002,-2.2687520043
opex__amp__1,0.4085810922,0.5195551076,-0.0257376573
opex__amp__2,0.1329677725,0.1046022878,0.0299666606
opex__amp__3,-0.37754804080000004,-0.39425461040000004,-0.11910927560000001
opex__bak_amp__1,-0.5461043163,0.30117777830000003,-0.14152359080000002
opex__bak_amp__2,-0.4909208487,-0.3976979235,-0.0528646626
opex__bak_amp__3,-0.2247615255,0.2969676456,0.0466087293
opex__bak_kan__1,-0.7206753939,0.0741317578,0.0888972367
opex__bak_kan__2,-0.4935059089,0.3758804129,-0.1208458188
opex__bak_kan__3,-0.2973440834,0.1663275202,-0.1901082408
opex__bak_nor__1,-0.17533474540000002,0.19925646160000002,0.4066410972
opex__bak_nor__2,-0.41967243460000003,0.4765610773,0.3008384148
opex__bak_nor__3,-0.1947532679,0.3794902338,0.1735871826
opex__bak_rif__1,0.7133719166,0.2512368501,-0.21953675190000002
opex__bak_rif__2,0.6685528851,0.3909342932,-0.3706386875
opex__bak_rif__3,1.2071414717,0.5980676582000001,-0.46689314190000003
opex__chx_amp__1,-0.9700922335000001,-0.0032128340000000003,-0.0494673563
opex__chx_amp__2,0.5885025121,0.5252893362000001,0.0487355099
opex__chx_amp__3,0.0372004234,0.2289458254,0.0882736573
opex__chx_kan__1,-0.6098934135,0.0325564982,-0.125182064
opex__chx_kan__2,-1.0103365755,0.1756148214,0.010558977
opex__chx_kan__3,-0.6040108782,0.18141854300000002,0.0951398358
opex__chx_nor__1,-0.5490589076,0.1639968041,0.1194905215
opex__chx_nor__2,-0.3396708228,0.0744154888,0.2237150322
opex__chx_nor__3,0.026162184300000002,0.0650734095,-0.1184232803
opex__chx_rif__1,0.1801061367,0.2727501533,-0.0704396684
opex__chx_rif__2,0.1465205991,0.2419109727,-0.0825438107
opex__chx_rif__3,-0.7319874818000001,0.3018300165,0.0036720471
opex__ctrl__1,-0.7952085458,-0.0882957402,0.0579740377
opex__ctrl__2,0.2339372016,-0.1526626483,-0.0560469805
opex__ctrl__3,0.5612713442,0.2409583885,-0.0019270572
opex__etoh_amp__1,-0.8043529273000001,-0.0734837529,0.0772652949
opex__etoh_amp__2,0.2152773346,0.0917991234,-0.0181962037
opex__etoh_amp__3,-0.7492525028,-0.0900548146,0.29333133570000003
opex__etoh_kan__1,-0.056474286500000005,-0.0512236614,0.038003208600000005
opex__etoh_kan__2,-1.3137903968,0.09041818880000001,0.055199946900000005
opex__etoh_kan__3,-0.4487392854,-0.013227806100000001,0.0970352661
opex__etoh_nor__1,-0.2875535292,0.003351946,0.14530002960000002
opex__etoh_nor__2,-0.6051937758,-0.0853445116,0.1482510961
opex__etoh_nor__3,-0.0334865844,0.19424041760000002,0.22872318360000002
opex__etoh_rif__1,-0.7887709001000001,-0.8171094125,-0.1834415272
opex__etoh_rif__2,-0.4204636049,-0.3105118149,-0.291745723
opex__etoh_rif__3,1.398373056,-0.1566814939,-0.2070583333
opex__glual_amp__1,-0.10094138620000001,0.1836545399,-0.28640995810000003
opex__glual_amp__2,0.4692906935,0.5044410891000001,-0.2561673142
opex__glual_amp__3,-0.7800237174,0.1303715127,-0.2033869971
opex__glual_kan__1,-0.4198274132,0.1508315324,-0.191489569
opex__glual_kan__2,0.2299340175,0.1912781324,-0.29996488930000004
opex__glual_kan__3,-0.3461206153,0.028750784600000003,-0.2739975689
opex__glual_nor__1,-0.7480688679,0.1838750573,-0.2739867065
opex__glual_nor__2,0.1788739962,-0.0337645644,-0.1411955001
opex__glual_nor__3,0.0542060344,0.386626018,-0.3968922552
opex__glual_rif__1,2.1282351937,0.1216482826,-0.7714632805
opex__glual_rif__2,1.6185236932,0.09452196680000001,-0.9445177907000001
opex__glual_rif__3,1.2829582455,0.060599496700000005,-0.6936953239
opex__h2o2_amp__1,-0.1301385041,-0.2647123611,-0.2741151042
opex__h2o2_amp__2,-1.031409241,-0.0843064954,-0.2107467671
opex__h2o2_amp__3,-0.6669339484,-0.3021129754,-0.2945587492
opex__h2o2_kan__1,-0.5025286537,-0.3165075558,-0.14377662900000002
opex__h2o2_kan__2,0.47363586630000004,-0.2832454264,-0.1917551074
opex__h2o2_kan__3,1.2328294814,0.4975705097,-0.31899979570000003
opex__h2o2_nor__1,-0.4661141486,-0.47092192660000004,-0.1429422108
opex__h2o2_nor__2,-0.23889510020000002,-0.2933556848,-0.1039371872
opex__h2o2_nor__3,1.5343520907000001,0.20525912810000002,-0.2057577352
opex__h2o2_rif__1,1.5894657714,-0.5174467325000001,-1.6721229036
opex__h2o2_rif__2,2.5880786528,0.1134976253,-1.4822713578
opex__h2o2_rif__3,2.5308886620999997,-0.0059072,-1.6233641556
opex__ippoh_amp__1,-0.8363392629,0.1688604524,0.34011186720000003
opex__ippoh_amp__2,0.0208340085,0.3584569622,0.31661900600000004
opex__ippoh_amp__3,0.2625240102,0.4153890831,0.2924930122
opex__ippoh_kan__1,-0.025012557,0.4778498843,0.20629760900000002
opex__ippoh_kan__2,1.1749478536,0.7649793432,0.1434163886
opex__ippoh_kan__3,-0.4823009258,0.4674415981,0.1449923987
opex__ippoh_nor__1,0.7615660765000001,0.6064108031000001,0.2342972617
opex__ippoh_nor__2,-0.12310832940000001,0.43309370550000004,0.1925245619
opex__ippoh_nor__3,2.2302348882,1.0397213119,0.290042195
opex__ippoh_rif__1,-0.1223538848,0.0223247703,-0.2225034427
opex__ippoh_rif__2,-0.2411837984,0.0815867567,-0.3319244188
opex__ippoh_rif__3,-0.10237580090000001,-0.1637044427,-0.2142957861
opex__kan__1,-0.049569927,-0.0773745883,-0.0727186524
opex__kan__2,-0.1312124304,0.31244381600000004,-0.1325552437
opex__kan__3,-0.43752652470000003,0.2321215087,-0.0093774403
opex__nor__1,-0.2878398826,0.1287485578,-0.0963017972
opex__nor__2,0.3555023673,0.2572349974,-0.0690723906
opex__nor__3,-0.1269165212,0.2141939797,0.0350324265
opex__paa_amp__1,-0.7588039424,0.17819953300000002,-0.10606712300000001
opex__paa_amp__2,-0.559645709,0.0959210833,-0.08314191180000001
opex__paa_amp__3,-0.7773882174000001,0.0475684537,-0.030255880500000002
opex__paa_kan__1,1.5185817582999999,0.2380901964,-0.5907121801
opex__paa_kan__2,1.2958205462,0.1316417196,-0.5373274114000001
opex__paa_kan__3,1.5050360876000002,0.1492238052,-0.5783336185
opex__paa_nor__1,0.3183731085,0.20093098880000002,0.0407122211
opex__paa_nor__2,-0.1174830785,0.0075582736,-0.0296138498
opex__paa_nor__3,-0.6450218302,0.1630647473,0.0195569859
opex__paa_rif__1,1.6010921206000002,0.1174245718,-0.7292056332
opex__paa_rif__2,1.4390431654,0.23700589630000002,-0.696285915
opex__paa_rif__3,1.2625316789,0.0469062102,-1.0564224947
opex__phenol_amp__1,-1.3196210553,-0.8298554611000001,-0.0794728993
opex__phenol_amp__2,0.3776906849,-0.5387098748,-0.1805611668
opex__phenol_amp__3,-0.9203572376,-0.4364570323,-0.1544384115
opex__phenol_kan__1,-1.9896694890000002,-0.39586773280000004,-0.18919337260000002
opex__phenol_kan__2,-1.2131211493,-0.43375418120000003,-0.29911423600000003
opex__phenol_kan__3,0.5735675516000001,-0.0136140084,-0.163664422
opex__phenol_nor__1,-0.40710644220000003,-0.8407952176,-0.1706452057
opex__phenol_nor__2,-0.5529329096,0.015076781400000001,-0.0065019301
opex__phenol_nor__3,-1.5422568154,-0.39364906190000004,-0.18035648640000002
opex__phenol_rif__1,1.4645832891000001,-0.2567838445,-1.1344697468
opex__phenol_rif__2,-0.8716083468,-0.1972656948,-0.9830774505000001
opex__phenol_rif__3,1.6919411174999999,-0.32109737,-1.1040875946
opex__pvpi_amp__1,0.0001451904,-0.061636474600000005,-0.0633550417
opex__pvpi_amp__2,-0.1912591929,0.1568003902,-0.0233358193
opex__pvpi_amp__3,-1.2642547005,0.17976612050000002,-0.0186793965
opex__pvpi_kan__1,0.21009652180000002,0.1286234892,-0.010088120800000001
opex__pvpi_kan__2,-0.7913591893,-0.0077824644,-0.0220803095
opex__pvpi_kan__3,-1.0760187705,0.2054748533,-0.006971406
opex__pvpi_nor__1,-1.1976356857,0.1102189796,0.0043966387
opex__pvpi_nor__2,0.31657520110000004,0.21731502100000002,0.1668676485
opex__pvpi_nor__3,-0.8826668452,0.0772642027,0.1832898366
opex__pvpi_rif__1,1.6688192342,-0.0862510575,-0.8509373182000001
opex__pvpi_rif__2,1.2537976069,-0.051176157,-1.0133410348
opex__pvpi_rif__3,2.2977022043,-0.28821755260000004,-0.8552114418000001
opex__rif__1,1.9939793585,0.0913948593,-1.0991152194
