,A,Nac
biocide__bzcl_12h__2,-0.0520059152,-1.8086963015
biocide__bzcl_12h__3,-0.9255208597000001,-0.9610601030000001
biocide__etoh_12h__1,1.0169740566,-1.4723331306
biocide__etoh_12h__2,0.5694090678,-1.3128796965
biocide__etoh_12h__3,0.0900173811,-1.8071161317
biocide__gluald_12h__1,0.7139931441,-0.9977761860000001
biocide__gluald_12h__2,0.9154104342,-0.9003680275
biocide__gluald_12h__3,0.6669029547,-0.7546490197
biocide__h2o2_12h__1,0.9194959853,-1.002555333
biocide__h2o2_12h__2,0.2754611654,-0.5885728976
biocide__h2o2_12h__3,0.17572636060000002,-1.751989958
biocide__2ppoh_12h__1,1.5931613166,-1.7323872022
biocide__2ppoh_12h__2,1.377523553,-1.7428814235
biocide__2ppoh_12h__3,0.6335657967,-2.1935294678
biocide__paa_12h__1,0.4415613067,-0.9236453699
biocide__paa_12h__2,0.46885588180000004,-1.0873433924
biocide__paa_12h__3,0.48319042090000003,-1.1533617287
biocide__phe_12h__1,-0.4921483474,-1.1029586825
biocide__phe_12h__2,0.0451269674,-1.4935333271
biocide__phe_12h__3,-0.0825136587,-1.5466093812000001
biocide__pvp-i_12h__1,-0.3773405151,-1.0707861477
biocide__pvp-i_12h__2,-0.3230059582,-1.0136527103
biocide__pvp-i_12h__3,-0.4797118113,-1.2176233428
biocide__bleach_12h__1,-0.3055114277,-1.2733897522
biocide__bleach_12h__2,-0.5125932638,-1.4304391945
biocide__bleach_12h__3,-0.0110001551,-1.6685284332
biocide__chx_12h__1,0.6466187431,-1.5788532963000002
biocide__chx_12h__2,0.062089681300000005,-1.616980034
biocide__chx_12h__3,0.0722421727,-1.5708320923999999
biocide__bzcl_30m__1,-0.8420845589,0.5198347619
biocide__bzcl_30m__2,-0.3449749476,0.16884280840000002
biocide__bzcl_30m__3,-0.7863807484,0.19619317490000002
biocide__phe_30m__1,-1.1880246051,0.0183433201
biocide__phe_30m__2,-0.9647749421,-0.2217287531
biocide__phe_30m__3,-1.3434376403,-0.2588786676
biocide__pvp-i_30m__1,-0.1730564064,-0.3258538623
biocide__pvp-i_30m__2,0.7667938426,-0.0970420508
biocide__pvp-i_30m__3,-0.2375435344,0.1051060218
biocide__ctrl_12h__1,0.2800946359,-0.7455412136
biocide__ctrl_12h__2,0.4551530688,-0.5449117806
biocide__ctrl_12h__3,0.26043574,-1.0789958602
biocide__ctrl_30m__1,0.43315711700000004,-0.0831427522
biocide__ctrl_30m__2,0.0113042944,0.32711491740000004
biocide__ctrl_30m__3,-0.4444614114,-0.2439721652
clpP__wt__1,-0.18055976610000002,-0.5533852514000001
clpP__wt_DPTA__1,-2.9885434281,0.5930381582
clpP__wt__2,0.20479676870000002,0.4884816934
clpP__wt_DPTA__2,-1.9345715647000001,0.5047034774
clpP__wt__3,-0.0242370027,0.06490355810000001
clpP__wt_DPTA__3,-2.1563171535,0.6358223002
clpP__delclpP__1,0.7028882249,-0.6634215222000001
clpP__delclpP_DPTA__1,-1.6091024706,-0.0777478375
clpP__delclpP__2,1.7928375091,-0.7788839339
clpP__delclpP_DPTA__2,-1.7724705038000002,-0.4738907223
clpP__delclpP__3,1.4882375414,-0.9382792566
clpP__delclpP_DPTA__3,-1.7014371673,0.5475183855
colombos2__delydcR__1,1.9127543828,0.44684425920000004
colombos2__delydcR__2,1.4466357397,-0.1163842776
colombos2__delydcR__3,1.3828498656,0.446442793
colombos2__delyjiR__1,0.8677537135000001,-0.1519532359
colombos2__delyjiR__2,0.8450401887000001,-0.4240785973
colombos2__delyjiR__3,0.1809375101,-0.3311372503
colombos2__wt__1,0.1199329539,0.20714403820000002
colombos2__wt__2,-0.2498235932,0.0988286963
colombos2__wt__3,0.1298906393,-0.3059727345
crp_k100__ar1_ar2__1,-5.0994673028,-1.0840913514
crp_k100__ar1_ar2__2,-5.5083879858,-0.7447549546000001
crp_k100__ar1_ar2__3,-5.9605303719,-0.2858229832
crp_k100__wt__1,0.6498708595,0.2636663615
crp_k100__wt__2,-0.8509120178,0.30264216110000003
crp_k100__wt__3,0.2010411584,-0.5663085226
crp_k100__K100Q__1,3.0395082339,0.5922963151
crp_k100__K100Q__2,0.3573878882,-1.9807352584000002
crp_k100__K100R__1,1.7186652821,-0.0031845242000000003
crp_k100__K100R__2,2.6418952935,1.1080712887
crp_k100__K100R__3,1.8176867902,0.8939412041
csrA__wt_t00__1,-0.3529799947,-0.3174040127
csrA__wt_t02_30__1,0.1739201518,0.2947524133
csrA__wt_t05__1,1.073669698,-0.1910832728
csrA__wt_t10__1,3.7386928418,1.17032103
csrA__wt_t15__1,4.6556822295,1.5566116184
csrA__delcsrA_t00__1,2.1111296003,0.5542049175
csrA__delcsrA_t02_30__1,2.3236756904,0.6502142035
csrA__delcsrA_t05__1,2.4221001946,-0.13079529680000002
csrA__delcsrA_t10__1,4.6339837817,0.40459741450000003
csrA__delcsrA_t15__1,4.425266651,0.8111033627
csrA__wt_t00__2,0.3529799947,0.3174040127
csrA__wt_t02_30__2,0.1386443562,0.7140626522
csrA__wt_t05__2,0.5419928012,-0.9105122706000001
csrA__wt_t10__2,4.2524439522,0.5859012728
