,213
evo_acid_w__F9_1__3,-0.09139777710000001
evo_acid_w__F9_2__3,-0.0893731947
evo_acid_w__wt__8,0.1654788413
evo_acid_w__B11_1__3,-0.2955396046
evo_acid_w__wt__9,0.26073762240000004
evo_bz__c3_1_bz__1,0.4647610917
evo_bz__c3_1_bz__2,0.28903259130000003
evo_bz__c3_1_bz__3,0.3160238064
evo_bz__c3_1_bz__4,0.4251342229
evo_bz__g5_1_bz__1,0.1391952955
evo_bz__g5_1_bz__2,0.4548295955
evo_bz__g5_1_bz__3,0.20659201200000002
evo_bz__g5_1_bz__4,-0.1581396453
evo_bz__g5_1_bz__5,-0.0157818587
evo_bz__g5_1_bz__6,-0.0958301111
evo_bz__w3110d13__1,-0.10124856510000001
evo_bz__w3110d13__2,0.2240127842
evo_bz__w3110d13__3,0.0975895812
evo_bz__w3110d13__4,0.1059242667
evo_bz__w3110d13__5,-0.2502574006
evo_bz__w3110d13__6,-0.0760206664
evo_bz__w3110d13_bz__1,0.9374985017
evo_bz__w3110d13_bz__2,0.9583697661
evo_bz__w3110d13_bz__3,0.26326987760000004
evo_bz__w3110d13_bz__4,0.9834927609
evo_bz__c3_1_bz__5,0.2179022049
evo_bz__c3_1_bz__6,0.4024403193
evo_bz__g5_2_bz__1,0.1251594123
evo_bz__g5_2_bz__2,0.19902358720000002
