,A,TdcA,CadC
cck_pts__pts_ale1__2,-0.13597696210000002,-0.989028443,-1.8067873795
cck_pts__pts_ale1__1,0.0396897254,-0.27741338400000004,-1.8547352105
cck_pts__pts_ale2__2,0.006812084600000001,-0.7666765720000001,-1.1780910725
cck_pts__pts_ale2__1,-0.0723820119,-0.7623728580000001,-1.2716531305
cck_pts__pts_ale3__2,-0.3868459007,-0.8721991990000001,-1.3184168435
cck_pts__pts_ale3__1,-0.4941281393,-0.777204286,-1.2488403875
cck_pts__pts_ale4__2,0.8495170287,-0.8713784950000001,-0.9952167335000001
cck_pts__pts_ale4__1,1.176154356,-0.208979136,-1.2708679065
cck_gnd__gmos_delgnd__1,0.4021522041,0.403914164,-0.36704877950000003
cck_gnd__gmos_delgnd__2,0.1411629277,-0.364123996,0.20574205550000002
cck_gnd__gnd_ale1__1,1.0128765849,-0.588799996,-0.7675292845
cck_gnd__gnd_ale1__2,1.1560266214000001,-0.7409246970000001,-1.2312256245
cck_gnd__gnd_ale2__1,1.2631080764,-0.7562885840000001,-1.5553139085
cck_gnd__gnd_ale2__2,0.6408397923,-0.7376159999999999,-0.9298997305000001
cck_gnd__gnd_ale3__1,1.1355729497,-0.78225112,-1.3096059115
cck_gnd__gnd_ale3__2,1.013604936,-0.44736349999999997,-1.3090858535
cck_tpiA__gmos_deltpiA__1,0.2951016984,0.9640176680000001,0.07319389350000001
cck_tpiA__gmos_deltpiA__2,2.189901544,2.153656203,0.9765540775
cck_tpiA__tpiA_ale1__1,-0.4415979041,-0.651739527,-1.1928233285
cck_tpiA__tpiA_ale1__2,-0.4307677211,-1.003936489,-1.5609021305000002
cck_tpiA__tpiA_ale2__1,-0.9966940556,-0.162358738,-1.1010467745
cck_tpiA__tpiA_ale2__2,-0.6231320897,0.005774916000000001,-0.9832366055
cck_tpiA__tpiA_ale3__1,-0.24782072460000001,-0.148454138,-0.9187635545
cck_tpiA__tpiA_ale3__2,-0.60078087,-0.47756641200000005,-0.7717724255
cck_tpiA__tpiA_ale4__1,0.21537594240000002,0.013532319000000001,-0.8130768135
cck_tpiA__tpiA_ale4__2,0.23210056040000002,-0.252766384,-0.7115945175
acid_tale__acid_ale1_pH7__1,2.859429308,0.05208395800000001,-1.0179931105
acid_tale__acid_ale1_pH7__2,2.7703354424,0.269600385,-0.9600768245
acid_tale__acid_ale1_pH5__1,0.9778371572000001,0.070733138,0.5131432275
acid_tale__acid_ale1_pH5__2,1.0725562067,0.15814619900000002,0.7211380575
acid_tale__acid_ale2_pH7__1,1.0650144956,-0.104516884,-1.1389896205
acid_tale__acid_ale2_pH7__2,0.8712868285,-0.285185681,-1.1265442305
acid_tale__acid_ale2_pH5__1,0.6634373198,-0.48991178,-0.6152700535
acid_tale__acid_ale2_pH5__2,1.038393944,-0.6531193350000001,-0.7760364955
acid_tale__low_Mg_ale_pH7__1,2.5745358144,0.70237109,-0.9109166015
acid_tale__low_Mg_ale_pH7__2,2.4342005567,0.019434681000000002,-0.8354949465
acid_tale__low_Mg_ale_pH5__1,0.5663578588,0.037609887,-0.4890128165
acid_tale__low_Mg_ale_pH5__2,1.2910970912,0.068157142,-0.6371549545
acid_tale__MES_ale_pH7__1,1.2245565352,-0.274246779,-1.1561496695
acid_tale__MES_ale_pH7__2,1.7019509605,-0.052767605,-1.1975279855
acid_tale__MES_ale_pH5__1,0.9166684621000001,-0.413173424,-0.17981104650000002
acid_tale__MES_ale_pH5__2,-0.1594468655,-0.39679996300000003,-0.27699710850000003
acid_tale__gmos_pH7__1,1.8352685841,-0.457252046,-0.7387134725000001
acid_tale__gmos_pH7__2,1.0662758866,-0.45163116200000003,-1.0102875115
acid_tale__gmos_pH5__1,1.3391598234,-0.11998552900000001,-0.5484472605
acid_tale__gmos_pH5__2,0.67507237,0.348636999,-0.41118145850000004
adnB__wt_adn__1,-0.5603687246,1.407996576,1.7377769175000002
adnB__wt_adn__2,1.1281532443,0.11770466500000001,1.8807459845
adnB__delydhB_adn__1,1.7265399209,0.8040530090000001,1.8251044635
adnB__delydhB_adn__2,0.5629725968,0.306292779,1.5310009925
ytf2__wt_glc__1,1.4801171895,-0.174804858,0.5466865955
ytf2__wt_glc__2,1.3210860783,0.351367633,0.2873591225
ytf2__ybcM_glc__1,1.6002923977,-0.12112771400000001,-0.008824364500000001
ytf2__ybcM_glc__2,1.7678856232,0.517640283,0.6086198065
ytf2__ydhB_glc__1,1.2262806671,0.19610315,-0.23136211950000002
ytf2__ydhB_glc__2,1.7472620864000001,0.31176832400000004,0.0643519245
ytf2__yfeC_glc__1,0.9204092920000001,0.15816817600000002,-0.0867969255
ytf2__yfeC_glc__2,1.2176307027,0.44607784300000003,-0.2814109275
ytf2__yciT_glc__1,1.7077193032,0.563036693,0.2227825655
ytf2__yciT_glc__2,1.6664191402,0.966369365,0.5920103335
ytf2__ydiZ_glc__1,1.6576286747,0.37584012,0.39050730650000004
ytf2__ydiZ_glc__2,1.9051979289,0.24371376200000003,0.1678495955
ytf2__ynfL_glc__1,0.8124492074,0.20713339700000002,0.0796755265
ytf2__ynfL_glc__2,0.7155829850000001,0.036166168000000005,0.34559662550000003
misc2__dellon_glc__1,0.44433344750000003,-0.7042594950000001,0.2469820445
misc2__dellon_glc__2,0.9305706705000001,0.053025106,0.2280420005
ytf3__wt_glc2__1,2.2191719389,0.279441877,0.6040524485000001
ytf3__wt_glc2__2,2.160872742,0.34852507800000004,0.1305643535
ytf3__wt_pH7_lactate__1,2.8963231852,0.290892592,0.5341473665
ytf3__wt_pH7_lactate__2,2.9685852806,0.251378423,0.20758259950000002
ytf3__wt_pH55_lactate__1,2.6667205889,0.32884112400000004,0.6399914445
ytf3__wt_pH55_lactate__2,2.6551031416,-0.06415227300000001,0.5956588515
ytf3__wt_pH55_HCl__1,2.225273885,-0.02067754,0.6836632985000001
ytf3__wt_pH55_HCl__2,2.8489009716,0.657110951,0.7396279735
ytf3__dyieP_pH7__1,2.0733844592,0.031339225000000005,0.0068179475
ytf3__dyieP_pH7__2,2.3285456729,0.520464527,0.4858263725
ytf3__dyieP_pH55__1,2.8692383043,-0.196852254,0.3939994985
ytf3__dyieP_pH55__2,2.981064118,-0.134535037,0.3794787585
