,A,RpoS,DhaR
hns_stpA__evo100G12_delhns_delstpA__1,-3.9245760547,-2.1551091053,-0.3033792899
hns_stpA__evo100G12_delhns_delstpA__2,-3.7372818801000003,-2.271826186,-0.6299849175000001
hns_stpA__delhns_delstpA_delrpoS__1,-2.876962364,-8.919357295,-0.0387236352
hns_stpA__delhns_delstpA_delrpoS__2,-3.6325398072,-8.5537604829,-0.142324901
hns_stpA__wt__1,0.4761736284,0.2355117427,0.4367317053
hns_stpA__wt__2,-0.4761736284,-0.2355117427,-0.4367317053
hns_stpA__delhns_delstpA__1,-2.2817092544,-3.123507769,-0.5346157883
hns_stpA__delhns_delstpA__2,-1.999125666,-2.652046765,-0.3118413823
hu__wt_log_pH7__1,-1.5502846276,-0.07601669750000001,-1.0756432858
hu__wt_log_pH7__2,-0.5772284299,-0.2865615411,-0.9202101287000001
hu__wt_log_pH7__3,-1.0579251642,0.200378254,-0.9715212298
hu__wt_lag_pH7__1,0.5797405437,-0.2852539933,-0.2725100522
hu__wt_lag_pH7__2,-1.9484748872000002,-0.38528219900000005,-0.2443702896
hu__wt_lag_pH7__3,1.3687343435,0.6705361923000001,0.5168803418
hu__delhupA_lag_pH7__1,0.41535643800000005,-0.2520204133,0.076143688
hu__delhupA_lag_pH7__2,-2.0738837672,-0.561476191,-0.39754608610000003
hu__delhupA_lag_pH7__3,1.4229067776,0.3723034616,0.1751143855
hu__delhupB_lag_pH7__1,-2.0022535433,-0.4987923756,-0.0243346603
hu__delhupB_lag_pH7__2,-2.7758423458,-0.40853676120000004,-0.10284428570000001
hu__delhupB_lag_pH7__3,1.5304917692000002,0.4330006176,0.20329074830000002
hu__delhupAhupB_lag_pH7__1,-0.2442180287,-0.1061310161,-0.7645672839000001
hu__delhupAhupB_lag_pH7__2,-1.6780798,-0.26026007500000004,-0.6891443034
hu__delhupAhupB_lag_pH7__3,0.7173227983,1.1858326733,0.4441586282
hu__hupAE34K_hupB_lag_pH7__1,0.7386722247,0.1802800029,-0.0651962209
hu__hupAE34K_hupB_lag_pH7__2,-1.5796529915000002,0.0778207767,-0.13035698710000002
hu__hupAE34K_hupB_lag_pH7__3,1.7370422137000001,0.5343687421000001,0.6798953737
hu__hupAE34K_delhupB_lag_pH7__1,1.6023345315,0.0135547038,-0.1078534403
hu__hupAE34K_delhupB_lag_pH7__2,-1.2052015837,0.2293122333,0.0136547501
hu__hupAE34K_delhupB_lag_pH7__3,1.7739013959,0.5407124442,0.5697983234
hu__wt_lag_pH5__1,-0.3097553161,0.8095686286,-0.5730462785
hu__wt_lag_pH5__2,0.1152496417,1.2513711449,-0.4654310135
hu__wt_lag_pH5__3,0.109210414,1.548525294,0.0266557476
hu__delhupA_lag_pH5__1,-0.8325198891000001,0.8769834036,-0.5965358469
hu__delhupA_lag_pH5__2,-0.1383751602,1.2547770457,-0.27719672300000003
hu__delhupA_lag_pH5__3,-0.9594331575,1.1842660553,-0.0678103859
hu__delhupAhupB_lag_pH5__1,0.4229685896,1.1372458531,-0.8507844234
hu__delhupAhupB_lag_pH5__2,1.1099601696,1.1463289075,-0.40585716800000005
hu__delhupAhupB_lag_pH5__3,-0.5336755765,1.7365144753,0.36350004
hu__hupAE34K_hupB_lag_pH5__1,-0.1001322825,1.1354345071,-0.7910813903
hu__hupAE34K_hupB_lag_pH5__2,0.18715435830000002,1.3896646958,0.0404757331
hu__hupAE34K_hupB_lag_pH5__3,0.5770406558,1.7925796462,0.1850673525
hu__hupAE34K_delhupB_lag_pH5__1,0.8266620122,1.4298720576,-0.2293376952
hu__hupAE34K_delhupB_lag_pH5__2,0.519354085,1.5256808674,-0.17703751850000002
hu__hupAE34K_delhupB_lag_pH5__3,-0.1380458924,1.7725243485000002,0.088542492
hyperpersistence__low_GFP__1,-0.6906605123,0.8576281599000001,-0.4518351118
hyperpersistence__wt__1,0.0603380736,-0.0357922916,-0.18442034440000002
hyperpersistence__high_GFP__1,-1.4590046603,1.0718098388,-0.4262985486
hyperpersistence__pth_mut__1,1.4675575195000001,2.7106892852,-0.1100878351
hyperpersistence__pth_mut__2,1.3171504905,2.5173608643,-0.16669696850000001
hyperpersistence__metG_mut__1,2.4434826054,2.0887380381,0.19405410080000002
hyperpersistence__metG_mut__2,2.53096142,1.6333807607000002,-0.2027139682
hyperpersistence__high_GFP__2,-0.5440176221,1.8894668441,-0.5805094541
hyperpersistence__wt__2,-0.0603380736,0.0357922916,0.18442034440000002
hyperpersistence__low_GFP__2,-0.9361266463000001,1.1493698707,-0.6001596041
kan_efg__cpxAF218Y__1,3.8352152087,0.1023595369,0.3479205737
kan_efg__cpxAF218Y__2,3.5238346284,0.1403495972,0.2350352792
kan_efg__cyaAN600Y__1,3.0789093473,0.2159801222,0.6025753216
kan_efg__cyaAN600Y__2,4.9331933375,0.9006441864,0.6716099018
kan_efg__fusAA608E__1,-0.6583241129,0.2114957314,0.3490032099
kan_efg__fusAA608E__2,-1.1348135370999999,0.0341085542,-0.0266325873
kan_efg__fusAA608E_cpxAF218Y__1,0.7617825906,0.0574789951,0.5059456539
kan_efg__fusAA608E_cpxAF218Y__2,1.2239642641,0.1905253961,0.1257282937
kan_efg__fusAA608E_cyaAN600Y__1,1.7519625996000001,0.2715029668,1.0208336657
kan_efg__fusAA608E_cyaAN600Y__2,2.6766758909,0.3383597293,1.1518088751
kan_efg__fusAA608E_rpoDL261Q__1,0.5068690766,-0.0762878141,1.0104568195
kan_efg__fusAA608E_rpoDL261Q__2,-0.3498926492,0.0644537729,0.4273114624
kan_efg__fusAA608E_topAS180L__1,-0.0360405954,0.4682717709,1.4367293522
kan_efg__fusAA608E_topAS180L__2,-0.5656895073,0.4622266492,1.2684287658
kan_efg__rpoDL261Q__1,-0.52688578,0.10568250550000001,0.340065439
kan_efg__rpoDL261Q__2,0.1863021095,0.1224065695,0.7723291242
kan_efg__wt__1,-0.5994829292,0.0291191404,-0.049436933200000005
kan_efg__wt__2,0.5994829292,-0.0291191404,0.049436933200000005
lrp__wt_min_log__1,-0.079249598,-0.0916816194,-0.1227688999
lrp__wt_min_log__2,0.079249598,0.0916816194,0.1227688999
lrp__wt_min_trans__1,0.24200663700000002,2.344864249,0.020392652100000002
lrp__wt_min_trans__2,-1.2093245634,2.4750359464000002,0.2380835321
lrp__wt_min_stat__1,-5.2860735425,-1.3283950462,-1.3235786382999999
lrp__wt_min_stat__2,-4.6103780685,-0.7012450246,-0.9306721882000001
lrp__wt_liv_log__1,-0.4242329358,-0.4062392875,0.1457735368
lrp__wt_liv_log__2,-0.2269377763,-0.34427511600000005,0.1092416702
lrp__wt_liv_trans__1,2.7196637131,0.5652722018,-0.17132664820000001
lrp__wt_liv_trans__2,4.6922921348,0.3501828524,-0.0738647791
lrp__wt_liv_stat__1,-5.5815649574,-0.80333658,-1.4580929569
lrp__wt_liv_stat__2,-5.3592557563,-0.6902801887000001,-0.9896632498000001
lrp__wt_rich_log__1,0.7354401844,-2.9091474858,-0.7333002735
lrp__wt_rich_log__2,0.9103964293000001,-2.3521656947,-0.6919629528
lrp__wt_rich_trans__1,11.6862515128,0.47658346360000003,0.24815280520000002
lrp__wt_rich_trans__2,10.9272338862,0.729636558,0.2687874012
lrp__wt_rich_stat__1,-2.1557204592,0.7320597323,-0.8115067331
lrp__wt_rich_stat__2,-2.5389883642999997,0.5104468489,-1.2536071084
lrp__dellrp_min_log__1,-0.6425990184,-0.0841837064,0.1576070542
lrp__dellrp_min_log__2,-0.1526077153,-0.0998972396,-0.0576648492
lrp__dellrp_min_trans__1,3.1191264371,1.9498139023,0.4043280662
lrp__dellrp_min_trans__2,2.5420803266,1.9358189895,0.7535030426
lrp__dellrp_min_stat__1,-5.027997704,-0.6457053986,-0.8582981899000001
lrp__dellrp_min_stat__2,-4.6233838818,-0.4989868059,-0.4908867086
lrp__dellrp_liv_log__1,-0.3032513082,-0.1532633284,0.10319410400000001
lrp__dellrp_liv_log__2,-0.6688069098,-0.046939220100000005,0.030957913700000003
lrp__dellrp_liv_trans__1,6.673866065,0.687795469,-0.12183559220000001
lrp__dellrp_liv_trans__2,6.3190657037,0.6605843735,-0.1144499883
lrp__dellrp_liv_stat__1,-5.6026542114,-1.0321942078,-0.9998366975
lrp__dellrp_liv_stat__2,-4.8786350403,-0.8593466625,-1.0759066734
lrp__dellrp_rich_log__1,0.8720153533,-2.7138238342000003,-0.4723547299
lrp__dellrp_rich_log__2,0.9746239089000001,-2.7299371422,-0.4914069576
lrp__dellrp_rich_trans__1,9.7633360871,0.7771902454,0.2507550528
lrp__dellrp_rich_trans__2,9.0887220988,0.797993669,0.4958451486
lrp__dellrp_rich_stat__1,-2.4628523733,1.279288052,-0.44333656930000004
lrp__dellrp_rich_stat__2,-1.5301094879,1.7053157904,-0.6654772997
mazF_circuit__t0__1,0.0043785048,0.1461162477,0.1592663695
mazF_circuit__t2__1,-1.0137402132,-0.020551822,-0.5916852383
mazF_circuit__t4__1,0.1647610474,0.15772488810000002,-0.0853880945
mazF_circuit__t6__1,-0.16994393500000002,0.3089530048,-0.8734746352
mazF_circuit__t8__1,0.0304852426,0.2899842541,-0.6251194653000001
mazF_circuit__t0__2,-0.0043785048,-0.1461162477,-0.1592663695
mazF_circuit__t2__2,-0.0270216444,0.1798188618,-0.6487779661
mazF_circuit__t4__2,-0.2124606674,0.2526851056,-1.101279327
mazF_circuit__t6__2,-1.1437436773,0.4086042501,-0.1429202602
mazF_circuit__t8__2,-0.5578431963,0.3222732267,0.0901817104
mazF_ribo__emptyvec_mrna_5m__1,-0.240888605,-0.07999675860000001,-0.1321619239
mazF_ribo__emptyvec_mrna_5m__2,0.240888605,0.07999675860000001,0.1321619239
mazF_ribo__mazF_mrna_5m__1,-1.7310635097,2.21455483,0.3342846679
mazF_ribo__mazF_mrna_5m__2,-1.6063563785000001,2.2086473136,0.2532336761
mazF_ribo__emptyvec_total_5m__1,-1.4577926134,1.0580199114,-1.5021018316
mazF_ribo__emptyvec_total_5m__2,-2.6329061249,1.2026957582,-1.5893316667000001
mazF_ribo__mazF_total_60m__1,-8.0896983486,2.6979928653,-0.9007145454000001
mazF_ribo__mazF_total_60m__2,-8.5928798401,2.6302038766,-0.8880805667
mercury__ctrl_t00__1,0.0884074561,-0.5337059959,-0.2701981014
mercury__ctrl_t10__1,1.294363835,-0.1635605399,-0.3720720028
mercury__ctrl_t30__1,1.1599856984999999,0.1325029659,0.5819958827
mercury__ctrl_t60__1,2.8071103315,0.8571396955,0.2575064221
mercury__hg_t10__1,-0.6065441008,1.8040685218,0.6443927679
mercury__hg_t30__1,-1.525594736,2.5588181405,1.4267933777000001
mercury__hg_t60__1,0.1309372703,2.1459085474,2.0294933492
mercury__pma_t10__1,-2.5721750581,3.5449880117,1.0223063894
mercury__pma_t30__1,-1.083450003,4.1241387708,1.8202415431999999
mercury__pma_t60__1,1.214761066,0.2977607853,0.5230555401
mercury__ctrl_t00__2,-0.11516508210000001,0.0968916092,0.1664556173
mercury__ctrl_t10__2,0.9956341110000001,-0.284636787,-0.164716422
mercury__ctrl_t30__2,2.7274037232,0.3814882827,0.4719945095
mercury__ctrl_t60__2,4.2828650556,0.8690545116,0.0422886826
mercury__hg_t10__2,-1.3691642517,1.8463263833,0.5580161696
mercury__hg_t30__2,-0.9986767116,2.4568582165,1.6356989511000002
mercury__hg_t60__2,1.8708165297,0.5165504453,0.1483191486
mercury__pma_t10__2,-2.5621746657,3.5279899726,1.0961405234
mercury__pma_t30__2,-0.4196860589,3.7561546539,1.8269950919
mercury__pma_t60__2,4.1011436815,0.8064589602000001,0.5825406881
mercury__ctrl_t00__3,0.0267576261,0.4368143867,0.1037424841
mercury__ctrl_t10__3,0.8965518924,-0.11785692700000001,-0.0625264536
mercury__ctrl_t30__3,1.8006384152,1.1255933549,0.6651316572
mercury__ctrl_t60__3,3.3093669399,1.2018958327,0.164134258
mercury__hg_t10__3,-0.1489141195,1.0764145541,0.7258838629000001
mercury__hg_t30__3,-1.1192007164,2.708395189,1.8746300629000001
mercury__hg_t60__3,0.4057480075,1.2190296143000001,1.5872967227
mercury__pma_t10__3,-2.353375442,3.5203569044,0.9762893502000001
mercury__pma_t30__3,-1.2791059002,3.7505145403,1.7959712894000002
mercury__pma_t60__3,3.4154138678,0.9223888326,0.6436004642
ml_abx__az_lolcde__1,-0.2872525157,1.2813327857,0.0515396611
ml_abx__az_lolcde__2,-0.0070377779,1.2918556638,0.041565952100000005
ml_abx__az_lolcde__3,-1.0730140996,1.0617941999,0.2901060431
ml_abx__b01__1,1.7185700788,0.3899976357,-0.1423473574
ml_abx__b01__2,1.1976160471,0.38265135850000004,-0.28121208870000003
ml_abx__b01__3,0.7099465892,-0.5066040390000001,-0.282368656
ml_abx__cro__1,-0.1623705721,0.4890193962,0.2854398989
ml_abx__cro__2,-0.26729003430000003,-0.1720930533,-0.329046506
ml_abx__cro__3,-0.3456768617,-1.0793935658,-0.34082665370000004
ml_abx__chl__1,-2.9267831663,-1.628562212,-0.8291304948
ml_abx__chl__2,-1.1756127352,-1.8506553259,-0.8090531870000001
ml_abx__chl__3,-2.7942908492000003,-1.9486581607,-0.7929530831
ml_abx__cip__1,0.6649280166,-0.3863526714,-0.40407463920000003
ml_abx__cip__2,1.0970955154,-0.9344155819000001,-0.6726724285
ml_abx__cip__3,0.29684403470000004,-1.8430642022,-1.1788907409
ml_abx__clr__1,-4.6732661712,-0.8777755761,-0.2999908263
ml_abx__clr__2,-1.2073962942,-1.3232566766,-0.8230234614
ml_abx__clr__3,-0.9200180697,-1.7497224228000001,-0.9884930426
ml_abx__cst__1,-0.0685291271,1.2737024227,0.7098076162
ml_abx__cst__2,0.404170572,1.0669748566,-0.1940656872
ml_abx__cst__3,-0.5588709058,0.637671764,0.1521284759
ml_abx__ctrl__1,0.3437414773,0.5841203684,0.530898462
ml_abx__ctrl__2,0.4333878625,0.4824521506,0.48394755850000004
ml_abx__ctrl__3,-0.2912430917,0.1844250812,0.1835946543
ml_abx__ctrl__4,-0.0296205012,0.22881093560000001,-0.0894737979
ml_abx__ctrl__5,-0.1257672059,-0.7688513023,-0.4277512411
ml_abx__ctrl__6,-0.3304985409,-0.7109572334,-0.6812156358
ml_abx__dox__1,-4.0742164701,-1.3587263126,-0.8359865259
ml_abx__dox__2,-1.5122955967,-1.5023786238999999,-1.0694783807000001
ml_abx__dox__3,-2.5270401558,-1.8185073468000001,-0.9437120273
ml_abx__glob__1,-0.4737070129,1.6406304361,0.3046594401
ml_abx__glob__2,-0.036586616,1.4064873591,0.03768857
ml_abx__glob__3,-0.2192686012,0.8833531094,-0.3563996694
ml_abx__lvx__1,1.4954498154,-0.2932550022,-0.4917756796
ml_abx__lvx__2,1.1402935767,-0.8542505494,-1.2394915153000001
ml_abx__lvx__3,0.6875153259,-1.5023638337,-1.1182575383
ml_abx__mec__1,-0.0136675301,0.40427102140000004,0.1190539917
ml_abx__mec__2,0.0858313404,-0.2577374156,-0.2502664183
ml_abx__mec__3,-0.6172826794,-0.9409997916,-0.5022629989
ml_abx__mem__1,0.26846744370000003,0.5837345436,0.5463187945
ml_abx__mem__2,-0.3136130399,0.0902869364,-0.164628672
ml_abx__mem__3,-0.3973352446,-0.7698091765,-0.4517296912
ml_abx__nit__1,-4.3175736688,0.44197674950000004,1.0652111109
ml_abx__nit__2,-3.9907891413,0.034000331200000004,0.9124035623000001
ml_abx__nit__3,-4.7329458324,-0.137000533,0.7774936158
ml_abx__ntx__1,-3.1942881195,0.1485850829,0.3140710057
ml_abx__ntx__2,-3.1085974225,1.0582931561,0.5301435142
ml_abx__nor__1,1.0338381582,-0.7087952087,-0.5940776873
ml_abx__nor__2,1.289715013,-1.2029033298,-0.9124310427000001
ml_abx__nor__3,0.3805664226,-1.9240518601,-1.6218264702
ml_abx__pb__1,-0.3938159337,2.0690177556,1.1500651399
ml_abx__pb__2,0.6250584194000001,1.6090559771000001,0.5361188846
ml_abx__pb__3,0.4571462995,1.5775247982,0.5408533718
ml_abx__tmp__1,0.0010240304000000001,-0.6240161282000001,-0.6275715712000001
ml_abx__tmp__2,-0.1939539035,-1.9402690559,-1.0620789091
ml_abx__tmp__3,-1.5139286969999999,-2.132153923,-0.9026384955000001
mut_abx__del_mutS_000nor__1,0.33462974900000003,0.18580474060000002,-0.3036355904
mut_abx__del_mutS_000nor__2,-0.32541789330000004,-0.245199834,-0.1044527479
mut_abx__del_mutS_000nor__3,-0.0092118558,0.0593950934,0.4080883382
mut_abx__del_mutS_125nor__1,-0.1950359579,0.1284205203,-0.5617092444
mut_abx__del_mutS_125nor__2,-0.3517976162,-0.1296258211,-0.7968126974
mut_abx__del_mutS_125nor__3,-0.219831296,-0.101794808,-0.8987849346000001
mut_abx__del_mutS_250nor__1,0.0105382804,0.3329651382,-0.5883930444000001
mut_abx__del_mutS_250nor__2,-0.1289231976,0.3481114645,-0.2710386675
mut_abx__del_mutS_250nor__3,-0.2260635208,-0.08103505130000001,-1.0406837143
mut_abx__del_mutS_375nor__1,-0.7332225894000001,0.17400483800000002,-0.8180193669
mut_abx__del_mutS_375nor__2,-0.7642226708000001,0.10058938390000001,-0.36419034
mut_abx__del_mutS_375nor__3,-0.6652991121,0.29491788220000004,-0.6723787041
mut_abx__del_mutS_500nor__1,-0.5037806121,0.52747549,-0.6159565944000001
mut_abx__del_mutS_500nor__2,-0.6017057183,0.5450834841000001,-0.4808121564
mut_abx__del_mutS_500nor__3,-0.6761629956,0.8761143504000001,-0.5894317010000001
mut_abx__del_mutS_625nor__1,0.3119367936,1.1550946162,0.058807325
mut_abx__del_mutS_625nor__2,0.331769239,0.8360120361000001,-0.5104802241
mut_abx__del_mutS_625nor__3,-0.6809713384,0.8291963575,-0.3905981043
mut_abx__del_mutS_750nor__1,-0.1448813896,1.1040100908000001,-0.40548266580000003
mut_abx__del_mutS_750nor__2,0.3304251851,0.8268015523000001,-0.48194640460000004
mut_abx__del_mutS_750nor__3,-0.6233204029,1.0060448172,-0.556495418
mut_abx__del_mutS_875nor__1,0.9830755276,0.8821868115,-0.4254870699
mut_abx__del_mutS_875nor__2,0.1851854638,1.2472319873,-0.5099967252000001
mut_abx__del_mutS_875nor__3,1.1511571059,1.4115921695,-0.4210235794
nit_yeaG__wt_Nminus__1,-0.9750386967,-0.7252934599,-0.18186238070000002
nit_yeaG__wt_Nminus__2,0.9750386967,0.7252934599,0.18186238070000002
nit_yeaG__wt_Nplus__1,1.4950612904,-2.7033383756,-0.4795324333
nit_yeaG__wt_Nplus__2,2.3069291013,-2.2001975636,-0.6069294515
nit_yeaG__del_yeaG_Nminus_24h__1,-0.7517924512,-2.1774189962,-0.7582003143
nit_yeaG__del_yeaG_Nminus_24h__2,0.4139504042,-0.09927470740000001,-0.0535179022
nit_yeaG__del_yeaG_Nminus_24h__3,0.3112848439,-2.0561125053,-0.3471559949
nit_yeaG__del_yeaG_Nminus__1,-0.1549757342,-0.0943064106,-0.0189601829
nit_yeaG__del_yeaG_Nminus__2,1.1503635358,1.001260313,0.2402302741
nit_yeaG__del_yeaG_Nplus__1,1.7208139122000001,-2.9131443995,-0.5355626041
nit_yeaG__del_yeaG_Nplus__2,2.095873934,-1.941806254,-1.0795742568
opex__amp__1,-0.5951670871,-0.030003674900000003,0.4921549926
opex__amp__2,-0.2195865331,0.0006828879000000001,0.4025657566
opex__amp__3,-1.0321445908,-0.2134378054,0.2626555044
opex__bak_amp__1,-1.4835123089,0.5539209533,-0.09343316700000001
opex__bak_amp__2,-1.012870548,-0.250321877,0.13241496190000002
opex__bak_amp__3,-1.1985846751,-0.22530390360000002,0.448696782
opex__bak_kan__1,-1.4557335832,-0.2844248223,0.5693340362
opex__bak_kan__2,-1.0753052672,0.48057923350000004,0.0712884703
opex__bak_kan__3,-1.1216298021,-0.3789450861,0.258992489
opex__bak_nor__1,-1.3266015361,-0.1156065339,-0.40869386960000004
opex__bak_nor__2,-1.2687350439,0.059920629,-0.37107794200000005
opex__bak_nor__3,-0.7597027073,-0.4335421148,-0.0593891727
opex__bak_rif__1,-2.5347524299,-0.1059411786,-0.24402325660000002
opex__bak_rif__2,-3.5942287062,-0.9716186473,0.6978463001
opex__bak_rif__3,-2.6968265327000003,-0.410310624,0.23330185520000002
opex__chx_amp__1,0.1543370017,-0.0912760936,-0.2907248853
opex__chx_amp__2,-0.2712736056,0.0047456326,-0.0213047691
opex__chx_amp__3,0.3640061423,0.1174309922,-0.1540170848
opex__chx_kan__1,-0.4376651535,0.13320861050000002,-0.12970745050000002
opex__chx_kan__2,-0.2222835192,0.09741494070000001,-0.1380351755
opex__chx_kan__3,0.2436293968,0.0747847398,-0.0846608101
opex__chx_nor__1,-0.7206427974,0.025383005400000002,-0.2698576068
opex__chx_nor__2,-0.45715364690000004,-0.06562568070000001,-0.36274456200000005
opex__chx_nor__3,-0.7377222027,0.0434702763,-0.107007717
opex__chx_rif__1,-0.1416787849,-0.010301298,-0.0064734706000000005
opex__chx_rif__2,-0.2285087268,0.0226823555,0.1748816035
opex__chx_rif__3,0.1780740408,0.197593493,-0.0644016703
opex__ctrl__1,0.0860691613,0.0212876626,-0.25830936320000003
opex__ctrl__2,0.21644302880000002,0.033199395900000005,0.1529996579
opex__ctrl__3,-0.30251219,-0.0544870586,0.1053097053
opex__etoh_amp__1,1.380858854,-0.2981164616,-0.1115916784
opex__etoh_amp__2,2.4709154286,-0.3365990741,-0.20739375940000002
opex__etoh_amp__3,0.9501933488000001,-0.058678455000000004,-0.1766820542
opex__etoh_kan__1,2.8039031712,-0.4131554773,-0.6666573629
opex__etoh_kan__2,1.8303422321,-0.2408321666,-0.2355895143
opex__etoh_kan__3,2.4767614976,-0.3010119106,-0.3682034999
opex__etoh_nor__1,2.6623378198000003,-0.2739027744,-0.2676777665
opex__etoh_nor__2,1.7727083725,-0.183949927,-0.2741291979
opex__etoh_nor__3,0.709268883,-0.093272011,0.049615482700000005
opex__etoh_rif__1,0.8874023475,-0.9638522317,-0.7140722744
opex__etoh_rif__2,2.1210860253,-1.0805675496,-0.6198753619
opex__etoh_rif__3,-0.0832740814,-0.9470924321,-0.733362578
opex__glual_amp__1,-0.856297164,0.0077854127,-0.0568471027
opex__glual_amp__2,-1.2030057148,0.04012457,0.2088563518
opex__glual_amp__3,-0.3012003692,0.0688807132,0.0019085615
opex__glual_kan__1,-0.7556028331,0.0447225962,-0.18592664320000002
opex__glual_kan__2,0.0070902926,-0.0224064831,-0.166111111
opex__glual_kan__3,-0.8725686691000001,0.0701036778,-0.0497138456
opex__glual_nor__1,-0.6888289289,0.052062795200000005,-0.1606713261
opex__glual_nor__2,-0.7050225888,-0.0410110852,0.10888673500000001
opex__glual_nor__3,-0.5926495288,0.0852455602,0.0101745247
opex__glual_rif__1,-2.9394016008,-1.0950920761,-0.035043328000000006
opex__glual_rif__2,-2.2596936831,-1.1591921735,-0.46171387540000003
opex__glual_rif__3,-2.9285374236,-1.0910792912,0.0510518899
opex__h2o2_amp__1,-0.7758998747,0.1417429504,0.1448973194
opex__h2o2_amp__2,-0.9549118128,0.1309369812,0.22367171130000002
opex__h2o2_amp__3,-0.908550311,-0.0147825052,0.0987348307
opex__h2o2_kan__1,-0.8128862866000001,0.1365142628,0.010985015400000001
opex__h2o2_kan__2,-1.5462271719,0.1204825179,0.3254620962
opex__h2o2_kan__3,-1.8391823429,-0.0291858048,0.319130482
opex__h2o2_nor__1,-1.5036284466,0.06750252080000001,-0.5491341217
opex__h2o2_nor__2,-0.8700809382,0.0248241179,-0.32159235820000004
opex__h2o2_nor__3,-1.7603571106,-0.0247290361,0.2170798405
opex__h2o2_rif__1,-3.7827005902,-2.2781277604,-0.7396792952
opex__h2o2_rif__2,-4.1290930322,-2.1022615758,0.0391840565
opex__h2o2_rif__3,-3.4416498572,-2.0089569257,-0.4654694842
opex__ippoh_amp__1,1.8829510504,0.029445596100000002,0.1743195459
opex__ippoh_amp__2,1.7905998279,0.0568581467,-0.057303357900000004
opex__ippoh_amp__3,2.3087570117,0.049875633600000004,-0.0750362329
opex__ippoh_kan__1,2.117256214,0.052415413,-0.0701792826
opex__ippoh_kan__2,1.599829423,-0.0951217072,0.059700676
opex__ippoh_kan__3,2.1603143252,0.0187352258,-0.2945711574
opex__ippoh_nor__1,2.3052580726,0.00048654110000000004,-0.14793195280000002
opex__ippoh_nor__2,2.1668907772,0.0592165054,-0.301910167
opex__ippoh_nor__3,0.5943197627,-0.05925036,0.8254070800000001
opex__ippoh_rif__1,0.5205910693,-0.9278027822,-0.6424485355
opex__ippoh_rif__2,0.7830479809,-0.9182682764000001,-0.7056549336
opex__ippoh_rif__3,1.0305061587,-0.9544779598,-0.7786954139000001
opex__kan__1,-0.124546635,0.029409014100000002,-0.0281858927
opex__kan__2,0.2377223847,0.09104996600000001,0.1639143444
opex__kan__3,-0.1783749218,0.0239745599,0.1435996588
opex__nor__1,-0.0909217506,-0.058374450700000004,-0.2475951089
opex__nor__2,0.1715455127,0.014242171000000001,-0.1490079433
opex__nor__3,0.1230602727,0.0280024769,-0.31852424690000003
opex__paa_amp__1,-0.0969180253,0.2226559314,0.0429168864
opex__paa_amp__2,-0.2776010816,-0.0533962907,0.1039684033
opex__paa_amp__3,0.1696059673,0.0601324015,0.0130157303
opex__paa_kan__1,-2.9219069571,-1.0461988515,0.19198420900000002
opex__paa_kan__2,-2.6503330181,-1.2746334037,0.0586971255
opex__paa_kan__3,-1.5040614962999999,-0.9578011568,-0.23655086300000003
opex__paa_nor__1,-0.4114727817,-0.186678224,0.1696708357
opex__paa_nor__2,0.38610321010000004,0.0030290471,-0.1889392946
opex__paa_nor__3,-0.6057546579,-0.10137925880000001,0.38736080640000004
opex__paa_rif__1,-2.6178736027,-1.1506933224,-0.41509302200000003
opex__paa_rif__2,-2.6887239458,-1.0510690873,-0.17149217790000001
opex__paa_rif__3,-1.5233774359,-1.273283582,-0.6588030142
opex__phenol_amp__1,-0.2666185828,-0.39253960120000003,0.16113549230000002
opex__phenol_amp__2,-1.575084272,-0.0934734489,0.5526490374
opex__phenol_amp__3,-0.4582448045,-0.36600400380000003,0.15387828
opex__phenol_kan__1,-0.4753508983,0.019149974400000002,-0.287392272
opex__phenol_kan__2,-0.7127002515,-0.0190233565,0.1874906242
opex__phenol_kan__3,0.0394894115,-0.254533984,0.2771501107
opex__phenol_nor__1,-0.028632315800000002,-0.5436081508,0.0784345098
opex__phenol_nor__2,0.123147108,-0.259329066,-0.1271895332
opex__phenol_nor__3,-0.6368920694,-0.8140519046,0.0601711531
opex__phenol_rif__1,-2.3035736789,-1.3522464799,-0.29572945700000003
opex__phenol_rif__2,-2.9601238740999998,-1.5365368363,0.53476367
opex__phenol_rif__3,-3.6539345224,-1.610786383,0.4492111688
opex__pvpi_amp__1,0.0475843956,0.1090293227,0.32117847520000004
opex__pvpi_amp__2,0.48225823090000003,0.0692554287,0.19290760680000002
opex__pvpi_amp__3,-0.1793566994,0.08691342540000001,0.0616556118
opex__pvpi_kan__1,0.07130706740000001,0.0789592211,0.28203261820000003
opex__pvpi_kan__2,0.20101592000000001,0.038404718500000004,0.3283175541
opex__pvpi_kan__3,0.310873573,0.1081129044,0.2972464454
opex__pvpi_nor__1,-0.4736631491,0.0183279279,-0.5591135995000001
opex__pvpi_nor__2,-0.0496060902,0.0148994259,-0.2269269798
opex__pvpi_nor__3,-0.1597720889,-0.0668753099,-0.476007716
opex__pvpi_rif__1,-3.6368843579,-1.4075502318,-0.0214396567
opex__pvpi_rif__2,-3.5464136663,-1.3550532097999999,0.1887658016
opex__pvpi_rif__3,-2.8555368043,-1.4304213190000001,0.21073390050000002
opex__rif__1,-3.974965465,-1.4990902568,0.440163689
opex__rif__2,-3.4062812362,-1.1472838336,0.4044854472
opex__rif__3,-3.2253478946,-1.3442921584,0.1526209621
