,A,Zur,ZntR,CueR
SRX5694377,2.4340578869,-2.1830101611,-1.4669604381,-1.8225263067
SRX5694378,-1.8212524282,-0.0395004954,-1.4022275673,-0.6266936784
SRX5694379,-2.6656032981999997,-0.30797878300000003,-1.0470805025,-0.881672196
SRX5694380,2.1336313332,-0.295923364,-0.0571175887,0.030763407700000002
SRX5694381,1.4269638061,-0.7708811996,3.0487445164,0.2475360168
SRX5694382,1.8433647031,0.15093434090000002,-0.086161181,0.48566100640000004
SRX5694383,0.133799308,-0.3008084889,-1.1437201635,-1.1916796337
SRX5694384,1.9548751354,0.3581433267,-0.45280471180000004,0.4971228755
SRX5694385,-1.6923458483,0.40619404200000003,2.3214397157,1.7578098793999999
SRX5694386,-0.3888485051,-2.1331251326,-0.8374176234,-1.92955827
SRX5694387,1.7152220215,0.4194562678,-0.488864051,0.0408826719
SRX5694388,1.2660846115,-2.0356251017,1.4628639730000002,0.2636030885
SRX5694389,-1.6028797922,-0.0051964574,-1.0352218889,-0.6905326075
SRX5694390,0.1320073024,-0.0653586292,-1.3213443249,-0.8155118925
SRX5694391,-2.0140935778,0.0188418328,-0.2048036491,-0.3228382296
SRX5694392,-0.9624417819000001,-0.044397451000000004,-0.6530977671,-0.5594196312
SRX5694393,1.8323382973000002,0.3124144779,-0.3545163605,0.4057825981
SRX5694394,0.19571369530000002,0.2841772851,-0.3033010798,-0.5412688663
